,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2010-03-16-arkansas-pine-bluff.html,"Tue, Mar 16, 2010",NCAA,N,/cbb/schools/winthrop/men/2010.html,Winthrop,/cbb/conferences/big-south/men/2010.html,Big South,-8.68,W,61,44,18,15,W 5,University of Dayton Arena,/cbb/schools/arkansas-pine-bluff/men/2010.html,
1,/cbb/boxscores/2010-03-19-arkansas-pine-bluff.html,"Fri, Mar 19, 2010",NCAA,N,/cbb/schools/duke/men/2010.html,Duke,/cbb/conferences/acc/men/2010.html,ACC,25.21,L,44,73,18,16,L 1,Jacksonville Veteran's Memorial Arena,/cbb/schools/arkansas-pine-bluff/men/2010.html,
2,/cbb/boxscores/2010-03-18-baylor.html,"Thu, Mar 18, 2010",NCAA,N,/cbb/schools/sam-houston-state/men/2010.html,Sam Houston,/cbb/conferences/southland/men/2010.html,Southland,3.71,W,68,59,26,7,W 1,New Orleans Arena,/cbb/schools/baylor/men/2010.html,
3,/cbb/boxscores/2010-03-20-baylor.html,"Sat, Mar 20, 2010",NCAA,N,/cbb/schools/old-dominion/men/2010.html,Old Dominion,/cbb/conferences/colonial/men/2010.html,CAA,11.39,W,76,68,27,7,W 2,New Orleans Arena,/cbb/schools/baylor/men/2010.html,
4,/cbb/boxscores/2010-03-26-baylor.html,"Fri, Mar 26, 2010",NCAA,N,/cbb/schools/saint-marys-ca/men/2010.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2010.html,WCC,13.38,W,72,49,28,7,W 3,Reliant Stadium,/cbb/schools/baylor/men/2010.html,
5,/cbb/boxscores/2010-03-28-baylor.html,"Sun, Mar 28, 2010",NCAA,N,/cbb/schools/duke/men/2010.html,Duke,/cbb/conferences/acc/men/2010.html,ACC,25.21,L,71,78,28,8,L 1,Reliant Stadium,/cbb/schools/baylor/men/2010.html,
6,/cbb/boxscores/2010-03-18-brigham-young.html,"Thu, Mar 18, 2010",NCAA,N,/cbb/schools/florida/men/2010.html,Florida,/cbb/conferences/sec/men/2010.html,SEC,11.89,W,99,92,30,5,W 1,Ford Center,/cbb/schools/brigham-young/men/2010.html,2OT
7,/cbb/boxscores/2010-03-20-brigham-young.html,"Sat, Mar 20, 2010",NCAA,N,/cbb/schools/kansas-state/men/2010.html,Kansas State,/cbb/conferences/big-12/men/2010.html,Big 12,19.88,L,72,84,30,6,L 1,Ford Center,/cbb/schools/brigham-young/men/2010.html,
8,/cbb/boxscores/2010-03-18-butler.html,"Thu, Mar 18, 2010",NCAA,N,/cbb/schools/texas-el-paso/men/2010.html,UTEP,/cbb/conferences/cusa/men/2010.html,CUSA,12.66,W,77,59,29,4,W 21,SAP Center,/cbb/schools/butler/men/2010.html,
9,/cbb/boxscores/2010-03-20-butler.html,"Sat, Mar 20, 2010",NCAA,N,/cbb/schools/murray-state/men/2010.html,Murray State,/cbb/conferences/ovc/men/2010.html,OVC,8.69,W,54,52,30,4,W 22,SAP Center,/cbb/schools/butler/men/2010.html,
10,/cbb/boxscores/2010-03-25-butler.html,"Thu, Mar 25, 2010",NCAA,N,/cbb/schools/syracuse/men/2010.html,Syracuse,/cbb/conferences/big-east/men/2010.html,Big East,21.72,W,63,59,31,4,W 23,EnergySolutions Arena,/cbb/schools/butler/men/2010.html,
