,school_name,link,Tourney,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_pace,opp_off_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
0,Air Force,/cbb/schools/air-force/men/2010.html,False,31,10,21,.323,-4.90,3.13,1,15,8,10,0,10,1773,1957,59.6,96.0,.367,.394,.529,46.8,61.6,8.4,6.2,.504,19.0,24.2,.233,59.6,106.0,.400,.440,.558,53.2,59.8,9.7,10.0,.527,17.2,30.4,.273
1,Akron,/cbb/schools/akron/men/2010.html,False,35,24,11,.686,2.82,-1.50,12,4,13,5,7,4,2472,2293,65.9,104.9,.363,.343,.521,51.6,53.9,9.0,8.5,.491,16.4,37.2,.239,65.9,97.3,.405,.293,.510,48.4,47.9,10.1,6.6,.464,18.1,33.3,.287
2,Alabama,/cbb/schools/alabama/men/2010.html,False,32,17,15,.531,10.34,6.62,6,10,11,6,3,6,2192,2073,65.7,104.2,.343,.279,.525,50.5,54.2,11.8,10.9,.490,16.4,35.0,.242,65.7,98.6,.365,.329,.509,49.5,48.6,8.8,10.1,.477,18.0,34.2,.242
3,Alabama A&M,/cbb/schools/alabama-am/men/2010.html,False,27,11,16,.407,-20.19,-13.71,8,10,8,5,3,9,1778,1881,73.2,89.5,.474,.237,.463,46.8,48.1,12.5,12.7,.416,18.8,33.9,.301,73.2,94.7,.416,.285,.500,53.2,56.8,11.3,11.4,.469,21.4,39.4,.261
4,Alabama State,/cbb/schools/alabama-state/men/2010.html,False,31,16,15,.516,-14.41,-12.02,12,6,9,3,6,11,1998,2043,67.8,94.7,.448,.356,.499,51.3,60.0,10.8,11.1,.462,20.0,35.6,.287,67.8,96.8,.479,.270,.523,48.7,49.1,11.7,10.2,.482,19.9,31.4,.320
5,Albany (NY),/cbb/schools/albany-ny/men/2010.html,False,32,7,25,.219,-11.94,-5.53,2,14,4,9,3,15,2007,2212,65.7,94.8,.314,.337,.503,52.0,53.5,8.8,8.2,.465,20.6,36.0,.226,65.7,104.4,.351,.341,.530,48.0,55.7,12.3,11.2,.497,15.8,31.9,.243
6,Alcorn State,/cbb/schools/alcorn-state/men/2010.html,False,31,2,29,.065,-30.36,-9.00,2,16,2,8,0,18,1880,2542,75.3,80.2,.422,.255,.456,44.5,41.3,9.1,7.4,.418,23.7,29.2,.258,75.3,108.5,.447,.304,.548,55.5,63.7,14.3,13.1,.523,17.4,39.7,.284
7,American,/cbb/schools/american/men/2010.html,False,31,11,20,.355,-11.47,-6.89,7,7,7,8,4,12,1941,2083,64.1,95.7,.356,.333,.518,52.4,65.6,5.4,6.6,.482,19.6,30.2,.246,64.1,102.7,.389,.279,.514,47.6,52.9,12.1,8.4,.478,12.8,27.0,.263
8,Appalachian State,/cbb/schools/appalachian-state/men/2010.html,False,37,24,13,.649,1.80,-2.76,13,5,14,4,8,8,2766,2567,67.5,110.0,.391,.350,.581,55.7,46.9,8.0,7.7,.545,18.6,35.3,.289,67.5,102.1,.325,.388,.514,44.3,55.8,10.5,7.4,.486,13.8,27.4,.214
9,Arizona,/cbb/schools/arizona/men/2010.html,False,31,16,15,.516,7.97,8.10,10,8,11,5,4,7,2229,2233,68.4,102.6,.443,.322,.548,49.9,51.5,8.6,6.4,.501,17.6,29.6,.324,68.4,102.8,.383,.319,.525,50.1,50.2,8.3,9.5,.487,15.8,31.5,.266
10,Arizona State,/cbb/schools/arizona-state/men/2010.html,False,33,22,11,.667,13.80,5.83,12,6,16,4,5,5,2202,1938,62.1,107.4,.380,.447,.567,49.9,62.0,10.5,7.2,.534,16.8,28.3,.271,62.1,94.5,.348,.338,.493,50.1,59.7,9.0,8.9,.456,17.8,31.0,.238
11,Arkansas,/cbb/schools/arkansas/men/2010.html,False,32,14,18,.438,5.87,5.09,7,9,12,8,2,7,2391,2366,71.3,103.5,.421,.311,.536,48.2,53.1,10.0,10.1,.500,16.4,30.7,.286,71.3,102.5,.350,.328,.531,51.8,50.3,9.2,11.6,.493,17.4,34.5,.253
12,Arkansas State,/cbb/schools/arkansas-state/men/2010.html,False,31,17,14,.548,-4.01,-4.39,11,7,10,5,5,8,2160,2065,67.6,102.3,.396,.286,.528,52.6,52.9,7.5,10.3,.496,17.4,33.8,.263,67.6,97.8,.337,.305,.493,47.4,52.4,10.5,8.1,.454,15.3,30.1,.237
13,Arkansas-Pine Bluff,/cbb/schools/arkansas-pine-bluff/men/2010.html,True,34,18,16,.529,-8.29,-7.68,14,4,8,1,5,14,2166,2187,67.4,93.1,.484,.262,.495,54.2,58.1,9.8,10.2,.447,20.6,35.6,.323,67.4,94.0,.545,.307,.505,45.8,56.2,11.2,11.4,.455,17.9,27.1,.361
14,Army,/cbb/schools/army/men/2010.html,False,29,14,15,.483,-9.11,-7.96,4,10,10,4,4,11,1749,1768,64.9,92.5,.314,.317,.495,49.3,52.4,12.6,9.8,.466,19.6,30.5,.205,64.9,93.5,.468,.446,.532,50.7,59.1,8.7,8.5,.487,23.0,30.1,.328
15,Auburn,/cbb/schools/auburn/men/2010.html,False,32,15,17,.469,5.49,4.68,6,10,12,5,1,9,2422,2373,71.0,105.7,.360,.428,.541,49.6,49.3,11.0,7.5,.515,16.3,32.5,.236,71.0,103.6,.378,.347,.553,50.4,51.6,9.3,10.8,.518,18.4,31.6,.270
16,Austin Peay,/cbb/schools/austin-peay/men/2010.html,False,32,17,15,.531,-3.85,-1.68,11,7,11,4,5,9,2320,2317,67.6,105.1,.457,.317,.552,49.2,54.6,8.6,8.6,.513,17.9,32.0,.317,67.6,105.0,.333,.329,.537,50.8,52.8,10.6,10.7,.505,16.7,34.4,.233
17,Ball State,/cbb/schools/ball-state/men/2010.html,False,30,15,15,.500,-4.85,-1.48,8,8,11,6,4,8,1818,1871,62.7,94.4,.461,.209,.502,51.0,53.8,7.9,8.4,.453,19.4,32.0,.317,62.7,97.1,.314,.351,.490,49.0,59.1,10.5,8.5,.455,15.7,31.7,.216
18,Baylor,/cbb/schools/baylor/men/2010.html,True,36,28,8,.778,17.97,8.03,11,5,15,1,6,4,2771,2362,67.2,113.7,.358,.325,.580,54.4,51.2,9.7,17.4,.549,17.1,38.5,.260,67.2,97.0,.331,.351,.478,45.6,57.7,8.9,6.2,.440,15.0,32.8,.225
