,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2009-11-14-california-santa-barbara.html,"Sat, Nov 14, 2009",REG,Cal State Los Angeles,,W,85,57,1,0,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,,,,,
1,/cbb/boxscores/2009-11-17-california-santa-barbara.html,"Tue, Nov 17, 2009",REG,Weber State,Big Sky,W,66,57,2,0,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/weber-state/men/2010.html,/cbb/conferences/big-sky/men/2010.html,3.71,,
2,/cbb/boxscores/2009-11-23-california-santa-barbara.html,"Mon, Nov 23, 2009",REG,San Francisco,WCC,W,76,65,3,0,W 3,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/san-francisco/men/2010.html,/cbb/conferences/wcc/men/2010.html,-3.48,,
3,/cbb/boxscores/2009-11-28-loyola-marymount.html,"Sat, Nov 28, 2009",REG,Loyola Marymount,WCC,W,89,84,4,0,W 4,Gersten Pavilion,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/loyola-marymount/men/2010.html,/cbb/conferences/wcc/men/2010.html,-1.47,@,
4,/cbb/boxscores/2009-12-01-california-santa-barbara.html,"Tue, Dec 1, 2009",REG,Santa Clara,WCC,L,68,79,4,1,L 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/santa-clara/men/2010.html,/cbb/conferences/wcc/men/2010.html,-5.84,,
5,/cbb/boxscores/2009-12-05-california-santa-barbara.html,"Sat, Dec 5, 2009",REG,San Diego State,MWC,L,61,69,4,2,L 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/san-diego-state/men/2010.html,/cbb/conferences/mwc/men/2010.html,11.34,,
6,/cbb/boxscores/2009-12-18-montana-state.html,"Fri, Dec 18, 2009",REG,Montana State,Big Sky,L,64,76,4,3,L 3,Worthington Arena,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/montana-state/men/2010.html,/cbb/conferences/big-sky/men/2010.html,-3.18,@,
7,/cbb/boxscores/2009-12-21-arizona-state.html,"Mon, Dec 21, 2009",REG,Arizona State,Pac-10,L,42,69,4,4,L 4,Wells Fargo Arena,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/arizona-state/men/2010.html,/cbb/conferences/pac-10/men/2010.html,13.80,@,
8,/cbb/boxscores/2009-12-28-furman.html,"Mon, Dec 28, 2009",REG,Furman,Southern,W,72,60,5,4,W 1,Haas Pavilion,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/furman/men/2010.html,/cbb/conferences/southern/men/2010.html,-7.01,N,
9,/cbb/boxscores/2009-12-29-california.html,"Tue, Dec 29, 2009",REG,California,Pac-10,L,66,87,5,5,L 1,Haas Pavilion,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/california/men/2010.html,/cbb/conferences/pac-10/men/2010.html,17.29,@,
10,/cbb/boxscores/2010-01-02-california-irvine.html,"Sat, Jan 2, 2010",REG,UC Irvine,Big West,L,55,57,5,6,L 2,Bren Events Center,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/california-irvine/men/2010.html,/cbb/conferences/big-west/men/2010.html,-7.49,@,
11,/cbb/boxscores/2010-01-04-california-riverside.html,"Mon, Jan 4, 2010",REG,UC Riverside,Big West,W,57,53,6,6,W 1,UCR Student Rec Center,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/california-riverside/men/2010.html,/cbb/conferences/big-west/men/2010.html,-6.99,@,
12,/cbb/boxscores/2010-01-08-california-santa-barbara.html,"Fri, Jan 8, 2010",REG,UC Davis,Big West,W,68,47,7,6,W 2,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/california-davis/men/2010.html,/cbb/conferences/big-west/men/2010.html,-6.23,,
13,/cbb/boxscores/2010-01-10-california-santa-barbara.html,"Sun, Jan 10, 2010",REG,Pacific,Big West,W,68,67,8,6,W 3,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/pacific/men/2010.html,/cbb/conferences/big-west/men/2010.html,2.90,,
14,/cbb/boxscores/2010-01-14-long-beach-state.html,"Thu, Jan 14, 2010",REG,Long Beach State,Big West,L,47,67,8,7,L 1,The Walter Pyramid,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/long-beach-state/men/2010.html,/cbb/conferences/big-west/men/2010.html,-0.42,@,
15,/cbb/boxscores/2010-01-16-california-santa-barbara.html,"Sat, Jan 16, 2010",REG,UC Riverside,Big West,W,63,56,9,7,W 1,The Thunderdome,/cbb/schools/california-santa-barbara/men/2010.html,/cbb/schools/california-riverside/men/2010.html,/cbb/conferences/big-west/men/2010.html,-6.99,,
