,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-09-california.html,"Mon, Nov 9, 2009",REG,/cbb/schools/murray-state/men/2010.html,Murray State,/cbb/conferences/ovc/men/2010.html,OVC,8.69,W,75,70,1,0,W 1,Haas Pavilion,/cbb/schools/california/men/2010.html,,
1,/cbb/boxscores/2009-11-11-california.html,"Wed, Nov 11, 2009",REG,/cbb/schools/detroit-mercy/men/2010.html,Detroit Mercy,/cbb/conferences/horizon/men/2010.html,Horizon,1.35,W,95,61,2,0,W 2,Haas Pavilion,/cbb/schools/california/men/2010.html,,
2,/cbb/boxscores/2009-11-19-california.html,"Thu, Nov 19, 2009",REG,/cbb/schools/syracuse/men/2010.html,Syracuse,/cbb/conferences/big-east/men/2010.html,Big East,21.72,L,73,95,2,1,L 1,Madison Square Garden (IV),/cbb/schools/california/men/2010.html,N,
3,/cbb/boxscores/2009-11-20-california.html,"Fri, Nov 20, 2009",REG,/cbb/schools/ohio-state/men/2010.html,Ohio State,/cbb/conferences/big-ten/men/2010.html,Big Ten,19.49,L,70,76,2,2,L 2,Madison Square Garden (IV),/cbb/schools/california/men/2010.html,N,
4,/cbb/boxscores/2009-11-24-california.html,"Tue, Nov 24, 2009",REG,/cbb/schools/jacksonville/men/2010.html,Jacksonville,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,-1.71,W,79,47,3,2,W 1,Haas Pavilion,/cbb/schools/california/men/2010.html,,
5,/cbb/boxscores/2009-11-29-california.html,"Sun, Nov 29, 2009",REG,/cbb/schools/princeton/men/2010.html,Princeton,/cbb/conferences/ivy/men/2010.html,Ivy,-0.02,W,81,60,4,2,W 2,Haas Pavilion,/cbb/schools/california/men/2010.html,,
6,/cbb/boxscores/2009-12-02-new-mexico.html,"Wed, Dec 2, 2009",REG,/cbb/schools/new-mexico/men/2010.html,New Mexico,/cbb/conferences/mwc/men/2010.html,MWC,12.49,L,78,86,4,3,L 1,University Arena,/cbb/schools/california/men/2010.html,@,
7,/cbb/boxscores/2009-12-05-california.html,"Sat, Dec 5, 2009",REG,/cbb/schools/iowa-state/men/2010.html,Iowa State,/cbb/conferences/big-12/men/2010.html,Big 12,9.60,W,82,63,5,3,W 1,Haas Pavilion,/cbb/schools/california/men/2010.html,,
8,/cbb/boxscores/2009-12-09-pacific.html,"Wed, Dec 9, 2009",REG,/cbb/schools/pacific/men/2010.html,Pacific,/cbb/conferences/big-west/men/2010.html,Big West,2.90,W,79,54,6,3,W 2,Alex G. Spanos Center,/cbb/schools/california/men/2010.html,@,
9,/cbb/boxscores/2009-12-22-kansas.html,"Tue, Dec 22, 2009",REG,/cbb/schools/kansas/men/2010.html,Kansas,/cbb/conferences/big-12/men/2010.html,Big 12,24.68,L,69,84,6,4,L 1,Allen Fieldhouse,/cbb/schools/california/men/2010.html,@,
10,/cbb/boxscores/2009-12-28-california.html,"Mon, Dec 28, 2009",REG,/cbb/schools/utah-valley/men/2010.html,Utah Valley,/cbb/conferences/great-west/men/2010.html,GWC,-16.18,W,85,51,7,4,W 1,Haas Pavilion,/cbb/schools/california/men/2010.html,,
11,/cbb/boxscores/2009-12-29-california.html,"Tue, Dec 29, 2009",REG,/cbb/schools/california-santa-barbara/men/2010.html,UC Santa Barbara,/cbb/conferences/big-west/men/2010.html,Big West,-0.13,W,87,66,8,4,W 2,Haas Pavilion,/cbb/schools/california/men/2010.html,,
12,/cbb/boxscores/2010-01-02-california.html,"Sat, Jan 2, 2010",REG,/cbb/schools/stanford/men/2010.html,Stanford,/cbb/conferences/pac-10/men/2010.html,Pac-10,5.71,W,92,66,9,4,W 3,Haas Pavilion,/cbb/schools/california/men/2010.html,,
13,/cbb/boxscores/2010-01-06-california.html,"Wed, Jan 6, 2010",REG,/cbb/schools/ucla/men/2010.html,UCLA,/cbb/conferences/pac-10/men/2010.html,Pac-10,5.70,L,75,76,9,5,L 1,Haas Pavilion,/cbb/schools/california/men/2010.html,,OT
14,/cbb/boxscores/2010-01-09-california.html,"Sat, Jan 9, 2010",REG,/cbb/schools/southern-california/men/2010.html,Southern California,/cbb/conferences/pac-10/men/2010.html,Pac-10,8.93,W,67,59,10,5,W 1,Haas Pavilion,/cbb/schools/california/men/2010.html,,
15,/cbb/boxscores/2010-01-14-washington-state.html,"Thu, Jan 14, 2010",REG,/cbb/schools/washington-state/men/2010.html,Washington State,/cbb/conferences/pac-10/men/2010.html,Pac-10,5.31,W,93,88,11,5,W 2,Friel Court at Beasley Coliseum,/cbb/schools/california/men/2010.html,@,
16,/cbb/boxscores/2010-01-16-washington.html,"Sat, Jan 16, 2010",REG,/cbb/schools/washington/men/2010.html,Washington,/cbb/conferences/pac-10/men/2010.html,Pac-10,15.64,L,69,84,11,6,L 1,Bank of America Arena,/cbb/schools/california/men/2010.html,@,
17,/cbb/boxscores/2010-01-21-california.html,"Thu, Jan 21, 2010",REG,/cbb/schools/oregon/men/2010.html,Oregon,/cbb/conferences/pac-10/men/2010.html,Pac-10,4.00,W,89,57,12,6,W 1,Haas Pavilion,/cbb/schools/california/men/2010.html,,
18,/cbb/boxscores/2010-01-23-california.html,"Sat, Jan 23, 2010",REG,/cbb/schools/oregon-state/men/2010.html,Oregon State,/cbb/conferences/pac-10/men/2010.html,Pac-10,3.76,W,65,61,13,6,W 2,Haas Pavilion,/cbb/schools/california/men/2010.html,,
19,/cbb/boxscores/2010-01-28-arizona-state.html,"Thu, Jan 28, 2010",REG,/cbb/schools/arizona-state/men/2010.html,Arizona State,/cbb/conferences/pac-10/men/2010.html,Pac-10,13.80,W,78,70,14,6,W 3,Wells Fargo Arena,/cbb/schools/california/men/2010.html,@,
20,/cbb/boxscores/2010-01-31-arizona.html,"Sun, Jan 31, 2010",REG,/cbb/schools/arizona/men/2010.html,Arizona,/cbb/conferences/pac-10/men/2010.html,Pac-10,7.97,L,72,76,14,7,L 1,McKale Center,/cbb/schools/california/men/2010.html,@,
21,/cbb/boxscores/2010-02-04-southern-california.html,"Thu, Feb 4, 2010",REG,/cbb/schools/southern-california/men/2010.html,Southern California,/cbb/conferences/pac-10/men/2010.html,Pac-10,8.93,L,63,66,14,8,L 2,Galen Center,/cbb/schools/california/men/2010.html,@,
