,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-14-east-tennessee-state.html,"Sat, Nov 14, 2009",REG,/cbb/schools/appalachian-state/men/2010.html,Appalachian State,/cbb/conferences/southern/men/2010.html,Southern,1.80,W,62,58,1,0,W 1,Memorial Center,/cbb/schools/east-tennessee-state/men/2010.html,,
1,/cbb/boxscores/2009-11-17-chattanooga.html,"Tue, Nov 17, 2009",REG,/cbb/schools/chattanooga/men/2010.html,Chattanooga,/cbb/conferences/southern/men/2010.html,Southern,-8.56,L,76,85,1,1,L 1,McKenzie Arena,/cbb/schools/east-tennessee-state/men/2010.html,@,
2,/cbb/boxscores/2009-11-19-morgan-state.html,"Thu, Nov 19, 2009",REG,/cbb/schools/morgan-state/men/2010.html,Morgan State,/cbb/conferences/meac/men/2010.html,MEAC,-1.18,L,61,72,1,2,L 2,Talmadge L. Hill Field House,/cbb/schools/east-tennessee-state/men/2010.html,@,
3,/cbb/boxscores/2009-11-21-louisville.html,"Sat, Nov 21, 2009",REG,/cbb/schools/louisville/men/2010.html,Louisville,/cbb/conferences/big-east/men/2010.html,Big East,14.08,L,56,69,1,3,L 3,Freedom Hall,/cbb/schools/east-tennessee-state/men/2010.html,@,
4,/cbb/boxscores/2009-11-25-east-tennessee-state.html,"Wed, Nov 25, 2009",REG,/cbb/schools/college-of-charleston/men/2010.html,College of Charleston,/cbb/conferences/southern/men/2010.html,Southern,-0.81,W,77,71,2,3,W 1,Memorial Center,/cbb/schools/east-tennessee-state/men/2010.html,,
5,/cbb/boxscores/2009-11-27-arkansas.html,"Fri, Nov 27, 2009",REG,/cbb/schools/arkansas/men/2010.html,Arkansas,/cbb/conferences/sec/men/2010.html,SEC,5.87,W,94,85,3,3,W 2,Bud Walton Arena,/cbb/schools/east-tennessee-state/men/2010.html,@,
6,/cbb/boxscores/2009-11-29-east-tennessee-state.html,"Sun, Nov 29, 2009",REG,/cbb/schools/north-florida/men/2010.html,North Florida,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,-9.53,W,82,56,4,3,W 3,Memorial Center,/cbb/schools/east-tennessee-state/men/2010.html,,
7,/cbb/boxscores/2009-12-02-tennessee.html,"Wed, Dec 2, 2009",REG,/cbb/schools/tennessee/men/2010.html,Tennessee,/cbb/conferences/sec/men/2010.html,SEC,16.05,L,66,78,4,4,L 1,Thompson-Boling Arena,/cbb/schools/east-tennessee-state/men/2010.html,@,
8,/cbb/boxscores/2009-12-04-alabama-birmingham.html,"Fri, Dec 4, 2009",REG,/cbb/schools/alabama-birmingham/men/2010.html,UAB,/cbb/conferences/cusa/men/2010.html,CUSA,9.46,L,52,74,4,5,L 2,Bartow Arena,/cbb/schools/east-tennessee-state/men/2010.html,@,
9,/cbb/boxscores/2009-12-10-east-tennessee-state.html,"Thu, Dec 10, 2009",REG,,North Georgia,,,,W,75,71,5,5,W 1,Memorial Center,/cbb/schools/east-tennessee-state/men/2010.html,,
