,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-15-florida.html,"Sun, Nov 15, 2009",REG,/cbb/schools/stetson/men/2010.html,Stetson,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,-17.62,W,74,46,1,0,W 1,Stephen C. O''Connell Center,/cbb/schools/florida/men/2010.html,,
1,/cbb/boxscores/2009-11-18-florida.html,"Wed, Nov 18, 2009",REG,/cbb/schools/georgia-southern/men/2010.html,Georgia Southern,/cbb/conferences/southern/men/2010.html,Southern,-12.57,W,69,49,2,0,W 2,Stephen C. O''Connell Center,/cbb/schools/florida/men/2010.html,,
2,/cbb/boxscores/2009-11-20-florida.html,"Fri, Nov 20, 2009",REG,/cbb/schools/troy/men/2010.html,Troy,/cbb/conferences/sun-belt/men/2010.html,Sun Belt,-3.04,W,80,58,3,0,W 3,Stephen C. O''Connell Center,/cbb/schools/florida/men/2010.html,,
3,/cbb/boxscores/2009-11-24-florida.html,"Tue, Nov 24, 2009",REG,/cbb/schools/florida-state/men/2010.html,Florida State,/cbb/conferences/acc/men/2010.html,ACC,14.64,W,68,52,4,0,W 4,Stephen C. O''Connell Center,/cbb/schools/florida/men/2010.html,,
4,/cbb/boxscores/2009-11-27-michigan-state.html,"Fri, Nov 27, 2009",REG,/cbb/schools/michigan-state/men/2010.html,Michigan State,/cbb/conferences/big-ten/men/2010.html,Big Ten,15.33,W,77,74,5,0,W 5,Boardwalk Hall,/cbb/schools/florida/men/2010.html,N,
5,/cbb/boxscores/2009-11-28-rutgers.html,"Sat, Nov 28, 2009",REG,/cbb/schools/rutgers/men/2010.html,Rutgers,/cbb/conferences/big-east/men/2010.html,Big East,1.29,W,73,58,6,0,W 6,Boardwalk Hall,/cbb/schools/florida/men/2010.html,N,
6,/cbb/boxscores/2009-12-01-florida.html,"Tue, Dec 1, 2009",REG,/cbb/schools/florida-am/men/2010.html,Florida A&M,/cbb/conferences/meac/men/2010.html,MEAC,-18.80,W,80,59,7,0,W 7,Stephen C. O''Connell Center,/cbb/schools/florida/men/2010.html,,
7,/cbb/boxscores/2009-12-04-jacksonville.html,"Fri, Dec 4, 2009",REG,/cbb/schools/jacksonville/men/2010.html,Jacksonville,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,-1.71,W,85,67,8,0,W 8,Jacksonville Veteran's Memorial Arena,/cbb/schools/florida/men/2010.html,@,
8,/cbb/boxscores/2009-12-10-florida.html,"Thu, Dec 10, 2009",REG,/cbb/schools/syracuse/men/2010.html,Syracuse,/cbb/conferences/big-east/men/2010.html,Big East,21.72,L,73,85,8,1,L 1,St. Pete Times Forum,/cbb/schools/florida/men/2010.html,N,
9,/cbb/boxscores/2009-12-19-florida.html,"Sat, Dec 19, 2009",REG,/cbb/schools/richmond/men/2010.html,Richmond,/cbb/conferences/atlantic-10/men/2010.html,A-10,10.03,L,53,56,8,2,L 2,BankAtlantic Center,/cbb/schools/florida/men/2010.html,N,
10,/cbb/boxscores/2009-12-22-florida.html,"Tue, Dec 22, 2009",REG,/cbb/schools/south-alabama/men/2010.html,South Alabama,/cbb/conferences/sun-belt/men/2010.html,Sun Belt,-7.72,L,66,67,8,3,L 3,Stephen C. O''Connell Center,/cbb/schools/florida/men/2010.html,,
