,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-kansas-state.html,"Fri, Nov 13, 2009",REG,/cbb/schools/loyola-il/men/2010.html,Loyola (IL),/cbb/conferences/horizon/men/2010.html,Horizon,-4.85,W,92,54,1,0,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2010.html,,
1,/cbb/boxscores/2009-11-15-kansas-state.html,"Sun, Nov 15, 2009",REG,/cbb/schools/western-illinois/men/2010.html,Western Illinois,/cbb/conferences/summit/men/2010.html,Summit,-11.84,W,82,50,2,0,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2010.html,,
2,/cbb/boxscores/2009-11-19-boston-university.html,"Thu, Nov 19, 2009",REG,/cbb/schools/boston-university/men/2010.html,Boston University,/cbb/conferences/america-east/men/2010.html,AEC,0.57,W,80,70,3,0,W 3,José Miguel Agrelot Coliseum,/cbb/schools/kansas-state/men/2010.html,N,
3,/cbb/boxscores/2009-11-20-kansas-state.html,"Fri, Nov 20, 2009",REG,/cbb/schools/mississippi/men/2010.html,Mississippi,/cbb/conferences/sec/men/2010.html,SEC,13.46,L,74,86,3,1,L 1,José Miguel Agrelot Coliseum,/cbb/schools/kansas-state/men/2010.html,N,
4,/cbb/boxscores/2009-11-22-dayton.html,"Sun, Nov 22, 2009",REG,/cbb/schools/dayton/men/2010.html,Dayton,/cbb/conferences/atlantic-10/men/2010.html,A-10,13.25,W,83,75,4,1,W 1,José Miguel Agrelot Coliseum,/cbb/schools/kansas-state/men/2010.html,N,
5,/cbb/boxscores/2009-11-28-iupui.html,"Sat, Nov 28, 2009",REG,/cbb/schools/iupui/men/2010.html,IUPUI,/cbb/conferences/summit/men/2010.html,Summit,1.63,W,70,57,5,1,W 2,Sprint Center,/cbb/schools/kansas-state/men/2010.html,N,
6,/cbb/boxscores/2009-12-01-kansas-state.html,"Tue, Dec 1, 2009",REG,,Fort Hays State,,,,W,83,76,6,1,W 3,Bramlage Coliseum,/cbb/schools/kansas-state/men/2010.html,,
7,/cbb/boxscores/2009-12-05-kansas-state.html,"Sat, Dec 5, 2009",REG,/cbb/schools/washington-state/men/2010.html,Washington State,/cbb/conferences/pac-10/men/2010.html,Pac-10,5.31,W,86,69,7,1,W 4,Bramlage Coliseum,/cbb/schools/kansas-state/men/2010.html,,
8,/cbb/boxscores/2009-12-08-kansas-state.html,"Tue, Dec 8, 2009",REG,/cbb/schools/xavier/men/2010.html,Xavier,/cbb/conferences/atlantic-10/men/2010.html,A-10,16.23,W,71,56,8,1,W 5,Bramlage Coliseum,/cbb/schools/kansas-state/men/2010.html,,
9,/cbb/boxscores/2009-12-12-nevada-las-vegas.html,"Sat, Dec 12, 2009",REG,/cbb/schools/nevada-las-vegas/men/2010.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2010.html,MWC,12.57,W,95,80,9,1,W 6,Thomas & Mack Center,/cbb/schools/kansas-state/men/2010.html,@,
10,/cbb/boxscores/2009-12-19-alabama.html,"Sat, Dec 19, 2009",REG,/cbb/schools/alabama/men/2010.html,Alabama,/cbb/conferences/sec/men/2010.html,SEC,10.34,W,87,74,10,1,W 7,Mitchell Center,/cbb/schools/kansas-state/men/2010.html,N,
