,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-marquette.html,"Fri, Nov 13, 2009",REG,/cbb/schools/centenary-la/men/2010.html,Centenary (LA),/cbb/conferences/summit/men/2010.html,Summit,-17.16,W,85,62,1,0,W 1,Bradley Center,/cbb/schools/marquette/men/2010.html,,
1,/cbb/boxscores/2009-11-17-marquette.html,"Tue, Nov 17, 2009",REG,/cbb/schools/maryland-eastern-shore/men/2010.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2010.html,MEAC,-16.18,W,86,60,2,0,W 2,Bradley Center,/cbb/schools/marquette/men/2010.html,,
2,/cbb/boxscores/2009-11-21-marquette.html,"Sat, Nov 21, 2009",REG,/cbb/schools/grambling/men/2010.html,Grambling,/cbb/conferences/swac/men/2010.html,SWAC,-23.05,W,87,41,3,0,W 3,Bradley Center,/cbb/schools/marquette/men/2010.html,,
3,/cbb/boxscores/2009-11-24-marquette.html,"Tue, Nov 24, 2009",REG,,South Dakota,/cbb/conferences/great-west/men/2010.html,GWC,,W,93,68,4,0,W 4,Bradley Center,/cbb/schools/marquette/men/2010.html,,
4,/cbb/boxscores/2009-11-26-xavier.html,"Thu, Nov 26, 2009",REG,/cbb/schools/xavier/men/2010.html,Xavier,/cbb/conferences/atlantic-10/men/2010.html,A-10,16.23,W,71,61,5,0,W 5,State Farm Field House,/cbb/schools/marquette/men/2010.html,N,
5,/cbb/boxscores/2009-11-27-michigan.html,"Fri, Nov 27, 2009",REG,/cbb/schools/michigan/men/2010.html,Michigan,/cbb/conferences/big-ten/men/2010.html,Big Ten,10.04,W,79,65,6,0,W 6,State Farm Field House,/cbb/schools/marquette/men/2010.html,N,
6,/cbb/boxscores/2009-11-29-marquette.html,"Sun, Nov 29, 2009",REG,/cbb/schools/florida-state/men/2010.html,Florida State,/cbb/conferences/acc/men/2010.html,ACC,14.64,L,56,57,6,1,L 1,State Farm Field House,/cbb/schools/marquette/men/2010.html,N,
7,/cbb/boxscores/2009-12-05-marquette.html,"Sat, Dec 5, 2009",REG,/cbb/schools/north-carolina-state/men/2010.html,NC State,/cbb/conferences/acc/men/2010.html,ACC,8.47,L,73,77,6,2,L 2,Bradley Center,/cbb/schools/marquette/men/2010.html,,
8,/cbb/boxscores/2009-12-08-marquette.html,"Tue, Dec 8, 2009",REG,/cbb/schools/milwaukee/men/2010.html,Milwaukee,/cbb/conferences/horizon/men/2010.html,Horizon,1.23,W,71,51,7,2,W 1,Bradley Center,/cbb/schools/marquette/men/2010.html,,
9,/cbb/boxscores/2009-12-12-wisconsin.html,"Sat, Dec 12, 2009",REG,/cbb/schools/wisconsin/men/2010.html,Wisconsin,/cbb/conferences/big-ten/men/2010.html,Big Ten,17.84,L,63,72,7,3,L 1,Kohl Center,/cbb/schools/marquette/men/2010.html,@,
