,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-maryland.html,"Fri, Nov 13, 2009",REG,/cbb/schools/charleston-southern/men/2010.html,Charleston Southern,/cbb/conferences/big-south/men/2010.html,Big South,-13.25,W,89,51,1,0,W 1,Comcast Center,/cbb/schools/maryland/men/2010.html,,
1,/cbb/boxscores/2009-11-17-maryland.html,"Tue, Nov 17, 2009",REG,/cbb/schools/fairfield/men/2010.html,Fairfield,/cbb/conferences/maac/men/2010.html,MAAC,0.40,W,71,42,2,0,W 2,Comcast Center,/cbb/schools/maryland/men/2010.html,,
2,/cbb/boxscores/2009-11-20-maryland.html,"Fri, Nov 20, 2009",REG,/cbb/schools/new-hampshire/men/2010.html,New Hampshire,/cbb/conferences/america-east/men/2010.html,AEC,-9.54,W,82,55,3,0,W 3,Comcast Center,/cbb/schools/maryland/men/2010.html,,
3,/cbb/boxscores/2009-11-23-chaminade.html,"Mon, Nov 23, 2009",REG,,Chaminade,,,,W,79,51,4,0,W 4,Lahaina Civic Center,/cbb/schools/maryland/men/2010.html,N,
4,/cbb/boxscores/2009-11-24-maryland.html,"Tue, Nov 24, 2009",REG,/cbb/schools/cincinnati/men/2010.html,Cincinnati,/cbb/conferences/big-east/men/2010.html,Big East,9.98,L,57,69,4,1,L 1,Lahaina Civic Center,/cbb/schools/maryland/men/2010.html,N,
5,/cbb/boxscores/2009-11-25-maryland.html,"Wed, Nov 25, 2009",REG,/cbb/schools/wisconsin/men/2010.html,Wisconsin,/cbb/conferences/big-ten/men/2010.html,Big Ten,17.84,L,69,78,4,2,L 2,Lahaina Civic Center,/cbb/schools/maryland/men/2010.html,N,
6,/cbb/boxscores/2009-12-01-indiana.html,"Tue, Dec 1, 2009",REG,/cbb/schools/indiana/men/2010.html,Indiana,/cbb/conferences/big-ten/men/2010.html,Big Ten,0.76,W,80,68,5,2,W 1,Assembly Hall,/cbb/schools/maryland/men/2010.html,@,
7,/cbb/boxscores/2009-12-06-maryland.html,"Sun, Dec 6, 2009",REG,/cbb/schools/villanova/men/2010.html,Villanova,/cbb/conferences/big-east/men/2010.html,Big East,16.72,L,86,95,5,3,L 1,Verizon Center,/cbb/schools/maryland/men/2010.html,N,
8,/cbb/boxscores/2009-12-12-maryland.html,"Sat, Dec 12, 2009",REG,/cbb/schools/eastern-kentucky/men/2010.html,Eastern Kentucky,/cbb/conferences/ovc/men/2010.html,OVC,-2.07,W,83,72,6,3,W 1,Comcast Center,/cbb/schools/maryland/men/2010.html,,
9,/cbb/boxscores/2009-12-22-maryland.html,"Tue, Dec 22, 2009",REG,,Winston-Salem,/cbb/conferences/meac/men/2010.html,MEAC,,W,98,55,7,3,W 2,Comcast Center,/cbb/schools/maryland/men/2010.html,,
10,/cbb/boxscores/2009-12-27-maryland.html,"Sun, Dec 27, 2009",REG,/cbb/schools/florida-atlantic/men/2010.html,Florida Atlantic,/cbb/conferences/sun-belt/men/2010.html,Sun Belt,-4.48,W,72,59,8,3,W 3,Comcast Center,/cbb/schools/maryland/men/2010.html,,
11,/cbb/boxscores/2009-12-30-maryland.html,"Wed, Dec 30, 2009",REG,/cbb/schools/william-mary/men/2010.html,William & Mary,/cbb/conferences/colonial/men/2010.html,CAA,2.82,L,77,83,8,4,L 1,Comcast Center,/cbb/schools/maryland/men/2010.html,,
12,/cbb/boxscores/2010-01-03-north-carolina-greensboro.html,"Sun, Jan 3, 2010",REG,/cbb/schools/north-carolina-greensboro/men/2010.html,UNC Greensboro,/cbb/conferences/southern/men/2010.html,Southern,-8.24,W,97,63,9,4,W 1,Fleming Gymnasium,/cbb/schools/maryland/men/2010.html,@,
13,/cbb/boxscores/2010-01-10-maryland.html,"Sun, Jan 10, 2010",REG,/cbb/schools/florida-state/men/2010.html,Florida State,/cbb/conferences/acc/men/2010.html,ACC,14.64,W,77,68,10,4,W 2,Comcast Center,/cbb/schools/maryland/men/2010.html,,
14,/cbb/boxscores/2010-01-12-wake-forest.html,"Tue, Jan 12, 2010",REG,/cbb/schools/wake-forest/men/2010.html,Wake Forest,/cbb/conferences/acc/men/2010.html,ACC,11.45,L,83,85,10,5,L 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/maryland/men/2010.html,@,OT
15,/cbb/boxscores/2010-01-16-boston-college.html,"Sat, Jan 16, 2010",REG,/cbb/schools/boston-college/men/2010.html,Boston College,/cbb/conferences/acc/men/2010.html,ACC,9.58,W,73,57,11,5,W 1,Silvio O. Conte Forum,/cbb/schools/maryland/men/2010.html,@,
16,/cbb/boxscores/2010-01-19-maryland.html,"Tue, Jan 19, 2010",REG,/cbb/schools/longwood/men/2010.html,Longwood,/cbb/conferences/independent/men/2010.html,Ind,-14.69,W,106,55,12,5,W 2,Comcast Center,/cbb/schools/maryland/men/2010.html,,
17,/cbb/boxscores/2010-01-23-maryland.html,"Sat, Jan 23, 2010",REG,/cbb/schools/north-carolina-state/men/2010.html,NC State,/cbb/conferences/acc/men/2010.html,ACC,8.47,W,88,64,13,5,W 3,Comcast Center,/cbb/schools/maryland/men/2010.html,,
18,/cbb/boxscores/2010-01-26-maryland.html,"Tue, Jan 26, 2010",REG,/cbb/schools/miami-fl/men/2010.html,Miami (FL),/cbb/conferences/acc/men/2010.html,ACC,11.35,W,81,59,14,5,W 4,Comcast Center,/cbb/schools/maryland/men/2010.html,,
19,/cbb/boxscores/2010-01-31-clemson.html,"Sun, Jan 31, 2010",REG,/cbb/schools/clemson/men/2010.html,Clemson,/cbb/conferences/acc/men/2010.html,ACC,15.71,L,53,62,14,6,L 1,Littlejohn Coliseum,/cbb/schools/maryland/men/2010.html,@,
