,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2009-11-13-albany-ny.html,"Fri, Nov 13, 2009",REG,@,/cbb/schools/albany-ny/men/2010.html,Albany (NY),/cbb/conferences/america-east/men/2010.html,AEC,-11.94,W,69,65,1,0,W 1,SEFCU Arena,/cbb/schools/morgan-state/men/2010.html,
1,/cbb/boxscores/2009-11-15-maryland-baltimore-county.html,"Sun, Nov 15, 2009",REG,@,/cbb/schools/maryland-baltimore-county/men/2010.html,Maryland-Baltimore County,/cbb/conferences/america-east/men/2010.html,AEC,-16.92,W,72,57,2,0,W 2,RAC Arena,/cbb/schools/morgan-state/men/2010.html,
2,/cbb/boxscores/2009-11-19-morgan-state.html,"Thu, Nov 19, 2009",REG,,/cbb/schools/east-tennessee-state/men/2010.html,East Tennessee State,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,-0.83,W,72,61,3,0,W 3,Talmadge L. Hill Field House,/cbb/schools/morgan-state/men/2010.html,
3,/cbb/boxscores/2009-11-22-louisville.html,"Sun, Nov 22, 2009",REG,@,/cbb/schools/louisville/men/2010.html,Louisville,/cbb/conferences/big-east/men/2010.html,Big East,14.08,L,81,90,3,1,L 1,Freedom Hall,/cbb/schools/morgan-state/men/2010.html,
4,/cbb/boxscores/2009-11-24-arkansas.html,"Tue, Nov 24, 2009",REG,@,/cbb/schools/arkansas/men/2010.html,Arkansas,/cbb/conferences/sec/men/2010.html,SEC,5.87,W,97,94,4,1,W 1,Bud Walton Arena,/cbb/schools/morgan-state/men/2010.html,
5,/cbb/boxscores/2009-11-28-appalachian-state.html,"Sat, Nov 28, 2009",REG,@,/cbb/schools/appalachian-state/men/2010.html,Appalachian State,/cbb/conferences/southern/men/2010.html,Southern,1.80,L,92,93,4,2,L 1,George M. Holmes Convocation Center,/cbb/schools/morgan-state/men/2010.html,OT
6,/cbb/boxscores/2009-12-01-loyola-md.html,"Tue, Dec 1, 2009",REG,@,/cbb/schools/loyola-md/men/2010.html,Loyola (MD),/cbb/conferences/maac/men/2010.html,MAAC,-5.23,L,66,78,4,3,L 2,Reitz Arena,/cbb/schools/morgan-state/men/2010.html,
7,/cbb/boxscores/2009-12-05-coppin-state.html,"Sat, Dec 5, 2009",REG,@,/cbb/schools/coppin-state/men/2010.html,Coppin State,/cbb/conferences/meac/men/2010.html,MEAC,-14.89,W,80,67,5,3,W 1,Coppin Center,/cbb/schools/morgan-state/men/2010.html,
8,/cbb/boxscores/2009-12-08-minnesota.html,"Tue, Dec 8, 2009",REG,@,/cbb/schools/minnesota/men/2010.html,Minnesota,/cbb/conferences/big-ten/men/2010.html,Big Ten,15.64,L,64,94,5,4,L 1,Williams Arena,/cbb/schools/morgan-state/men/2010.html,
9,/cbb/boxscores/2009-12-12-morgan-state.html,"Sat, Dec 12, 2009",REG,,/cbb/schools/manhattan/men/2010.html,Manhattan,/cbb/conferences/maac/men/2010.html,MAAC,-4.68,W,83,74,6,4,W 1,Talmadge L. Hill Field House,/cbb/schools/morgan-state/men/2010.html,
