,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-14-new-mexico.html,"Sat, Nov 14, 2009",REG,/cbb/schools/california-riverside/men/2010.html,UC Riverside,/cbb/conferences/big-west/men/2010.html,Big West,-6.99,W,67,51,1,0,W 1,University Arena,/cbb/schools/new-mexico/men/2010.html,,
1,/cbb/boxscores/2009-11-17-new-mexico-state.html,"Tue, Nov 17, 2009",REG,/cbb/schools/new-mexico-state/men/2010.html,New Mexico State,/cbb/conferences/wac/men/2010.html,WAC,2.06,W,97,87,2,0,W 2,Pan American Center,/cbb/schools/new-mexico/men/2010.html,@,
2,/cbb/boxscores/2009-11-20-new-mexico.html,"Fri, Nov 20, 2009",REG,/cbb/schools/nicholls-state/men/2010.html,Nicholls State,/cbb/conferences/southland/men/2010.html,Southland,-10.99,W,83,59,3,0,W 3,University Arena,/cbb/schools/new-mexico/men/2010.html,,
3,/cbb/boxscores/2009-11-21-new-mexico.html,"Sat, Nov 21, 2009",REG,/cbb/schools/louisiana-tech/men/2010.html,Louisiana Tech,/cbb/conferences/wac/men/2010.html,WAC,2.89,W,81,52,4,0,W 4,University Arena,/cbb/schools/new-mexico/men/2010.html,,
4,/cbb/boxscores/2009-11-22-new-mexico.html,"Sun, Nov 22, 2009",REG,/cbb/schools/miami-oh/men/2010.html,Miami (OH),/cbb/conferences/mac/men/2010.html,MAC,0.56,W,85,60,5,0,W 5,University Arena,/cbb/schools/new-mexico/men/2010.html,,
5,/cbb/boxscores/2009-11-27-hawaii.html,"Fri, Nov 27, 2009",REG,/cbb/schools/hawaii/men/2010.html,Hawaii,/cbb/conferences/wac/men/2010.html,WAC,-4.91,W,83,71,6,0,W 6,Stan Sheriff Center,/cbb/schools/new-mexico/men/2010.html,@,
6,/cbb/boxscores/2009-12-02-new-mexico.html,"Wed, Dec 2, 2009",REG,/cbb/schools/california/men/2010.html,California,/cbb/conferences/pac-10/men/2010.html,Pac-10,17.29,W,86,78,7,0,W 7,University Arena,/cbb/schools/new-mexico/men/2010.html,,
7,/cbb/boxscores/2009-12-05-new-mexico.html,"Sat, Dec 5, 2009",REG,/cbb/schools/new-mexico-state/men/2010.html,New Mexico State,/cbb/conferences/wac/men/2010.html,WAC,2.06,W,75,58,8,0,W 8,University Arena,/cbb/schools/new-mexico/men/2010.html,,
8,/cbb/boxscores/2009-12-09-san-diego.html,"Wed, Dec 9, 2009",REG,/cbb/schools/san-diego/men/2010.html,San Diego,/cbb/conferences/wcc/men/2010.html,WCC,-2.60,W,82,78,9,0,W 9,Jenny Craig Pavilion,/cbb/schools/new-mexico/men/2010.html,@,
9,/cbb/boxscores/2009-12-12-texas-am.html,"Sat, Dec 12, 2009",REG,/cbb/schools/texas-am/men/2010.html,Texas A&M,/cbb/conferences/big-12/men/2010.html,Big 12,15.24,W,84,81,10,0,W 10,Toyota Center,/cbb/schools/new-mexico/men/2010.html,N,
10,/cbb/boxscores/2009-12-16-new-mexico.html,"Wed, Dec 16, 2009",REG,/cbb/schools/northern-arizona/men/2010.html,Northern Arizona,/cbb/conferences/big-sky/men/2010.html,Big Sky,-7.54,W,96,57,11,0,W 11,University Arena,/cbb/schools/new-mexico/men/2010.html,,
11,/cbb/boxscores/2009-12-19-new-mexico.html,"Sat, Dec 19, 2009",REG,/cbb/schools/creighton/men/2010.html,Creighton,/cbb/conferences/mvc/men/2010.html,MVC,3.59,W,66,61,12,0,W 12,University Arena,/cbb/schools/new-mexico/men/2010.html,,
12,/cbb/boxscores/2009-12-23-oral-roberts.html,"Wed, Dec 23, 2009",REG,/cbb/schools/oral-roberts/men/2010.html,Oral Roberts,/cbb/conferences/summit/men/2010.html,Summit,-0.88,L,66,75,12,1,L 1,Mabee Center,/cbb/schools/new-mexico/men/2010.html,@,
