,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2009-11-13-denver.html,"Fri, Nov 13, 2009",REG,@,/cbb/schools/denver/men/2010.html,Denver,/cbb/conferences/sun-belt/men/2010.html,Sun Belt,-2.76,W,71,65,1,0,W 1,Magness Arena,/cbb/schools/northern-iowa/men/2010.html
1,/cbb/boxscores/2009-11-20-northern-iowa.html,"Fri, Nov 20, 2009",REG,N,/cbb/schools/depaul/men/2010.html,DePaul,/cbb/conferences/big-east/men/2010.html,Big East,1.61,L,52,60,1,1,L 1,Virgin Islands Sport & Fitness Center,/cbb/schools/northern-iowa/men/2010.html
2,/cbb/boxscores/2009-11-21-east-carolina.html,"Sat, Nov 21, 2009",REG,N,/cbb/schools/east-carolina/men/2010.html,East Carolina,/cbb/conferences/cusa/men/2010.html,CUSA,-5.91,W,74,68,2,1,W 1,Virgin Islands Sport & Fitness Center,/cbb/schools/northern-iowa/men/2010.html
3,/cbb/boxscores/2009-11-23-boston-college.html,"Mon, Nov 23, 2009",REG,N,/cbb/schools/boston-college/men/2010.html,Boston College,/cbb/conferences/acc/men/2010.html,ACC,9.58,W,81,69,3,1,W 2,Virgin Islands Sport & Fitness Center,/cbb/schools/northern-iowa/men/2010.html
4,/cbb/boxscores/2009-11-28-northern-iowa.html,"Sat, Nov 28, 2009",REG,,/cbb/schools/northern-illinois/men/2010.html,Northern Illinois,/cbb/conferences/mac/men/2010.html,MAC,-7.64,W,52,45,4,1,W 3,McLeod Center,/cbb/schools/northern-iowa/men/2010.html
5,/cbb/boxscores/2009-12-02-iowa-state.html,"Wed, Dec 2, 2009",REG,@,/cbb/schools/iowa-state/men/2010.html,Iowa State,/cbb/conferences/big-12/men/2010.html,Big 12,9.60,W,63,60,5,1,W 4,James H. Hilton Coliseum,/cbb/schools/northern-iowa/men/2010.html
6,/cbb/boxscores/2009-12-08-northern-iowa.html,"Tue, Dec 8, 2009",REG,,/cbb/schools/iowa/men/2010.html,Iowa,/cbb/conferences/big-ten/men/2010.html,Big Ten,2.12,W,67,50,6,1,W 5,McLeod Center,/cbb/schools/northern-iowa/men/2010.html
7,/cbb/boxscores/2009-12-12-northern-iowa.html,"Sat, Dec 12, 2009",REG,,/cbb/schools/siena/men/2010.html,Siena,/cbb/conferences/maac/men/2010.html,MAAC,8.48,W,82,65,7,1,W 6,McLeod Center,/cbb/schools/northern-iowa/men/2010.html
8,/cbb/boxscores/2009-12-19-north-dakota.html,"Sat, Dec 19, 2009",REG,@,,North Dakota,/cbb/conferences/great-west/men/2010.html,GWC,,W,64,41,8,1,W 7,Betty Engelstad Sioux Center,/cbb/schools/northern-iowa/men/2010.html
9,/cbb/boxscores/2009-12-23-northern-iowa.html,"Wed, Dec 23, 2009",REG,,/cbb/schools/wyoming/men/2010.html,Wyoming,/cbb/conferences/mwc/men/2010.html,MWC,-4.58,W,72,54,9,1,W 8,McLeod Center,/cbb/schools/northern-iowa/men/2010.html
10,/cbb/boxscores/2009-12-29-creighton.html,"Tue, Dec 29, 2009",REG,@,/cbb/schools/creighton/men/2010.html,Creighton,/cbb/conferences/mvc/men/2010.html,MVC,3.59,W,60,52,10,1,W 9,Qwest Center Omaha,/cbb/schools/northern-iowa/men/2010.html
11,/cbb/boxscores/2010-01-01-northern-iowa.html,"Fri, Jan 1, 2010",REG,,/cbb/schools/evansville/men/2010.html,Evansville,/cbb/conferences/mvc/men/2010.html,MVC,-4.61,W,65,46,11,1,W 10,McLeod Center,/cbb/schools/northern-iowa/men/2010.html
12,/cbb/boxscores/2010-01-03-northern-iowa.html,"Sun, Jan 3, 2010",REG,,/cbb/schools/missouri-state/men/2010.html,Missouri State,/cbb/conferences/mvc/men/2010.html,MVC,7.57,W,84,76,12,1,W 11,McLeod Center,/cbb/schools/northern-iowa/men/2010.html
