,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-14-notre-dame.html,"Sat, Nov 14, 2009",REG,/cbb/schools/north-florida/men/2010.html,North Florida,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,-9.53,W,86,65,1,0,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
1,/cbb/boxscores/2009-11-16-notre-dame.html,"Mon, Nov 16, 2009",REG,/cbb/schools/saint-francis-pa/men/2010.html,Saint Francis (PA),/cbb/conferences/northeast/men/2010.html,NEC,-15.87,W,95,72,2,0,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
2,/cbb/boxscores/2009-11-19-notre-dame.html,"Thu, Nov 19, 2009",REG,/cbb/schools/long-beach-state/men/2010.html,Long Beach State,/cbb/conferences/big-west/men/2010.html,Big West,-0.42,W,82,62,3,0,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
3,/cbb/boxscores/2009-11-22-notre-dame.html,"Sun, Nov 22, 2009",REG,/cbb/schools/liberty/men/2010.html,Liberty,/cbb/conferences/big-south/men/2010.html,Big South,-13.22,W,91,72,4,0,W 4,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
4,/cbb/boxscores/2009-11-24-notre-dame.html,"Tue, Nov 24, 2009",REG,/cbb/schools/kennesaw-state/men/2010.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,-10.08,W,80,62,5,0,W 5,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
5,/cbb/boxscores/2009-11-27-notre-dame.html,"Fri, Nov 27, 2009",REG,/cbb/schools/northwestern/men/2010.html,Northwestern,/cbb/conferences/big-ten/men/2010.html,Big Ten,8.32,L,58,72,5,1,L 1,UIC Pavilion,/cbb/schools/notre-dame/men/2010.html,N,
6,/cbb/boxscores/2009-11-28-saint-louis.html,"Sat, Nov 28, 2009",REG,/cbb/schools/saint-louis/men/2010.html,Saint Louis,/cbb/conferences/atlantic-10/men/2010.html,A-10,5.46,W,64,52,6,1,W 1,UIC Pavilion,/cbb/schools/notre-dame/men/2010.html,N,
7,/cbb/boxscores/2009-12-01-notre-dame.html,"Tue, Dec 1, 2009",REG,/cbb/schools/idaho-state/men/2010.html,Idaho State,/cbb/conferences/big-sky/men/2010.html,Big Sky,-10.29,W,80,70,7,1,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
8,/cbb/boxscores/2009-12-06-notre-dame.html,"Sun, Dec 6, 2009",REG,/cbb/schools/central-florida/men/2010.html,UCF,/cbb/conferences/cusa/men/2010.html,CUSA,-0.03,W,90,72,8,1,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
9,/cbb/boxscores/2009-12-09-notre-dame.html,"Wed, Dec 9, 2009",REG,/cbb/schools/iupui/men/2010.html,IUPUI,/cbb/conferences/summit/men/2010.html,Summit,1.63,W,93,70,9,1,W 4,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
10,/cbb/boxscores/2009-12-12-notre-dame.html,"Sat, Dec 12, 2009",REG,/cbb/schools/loyola-marymount/men/2010.html,Loyola Marymount,/cbb/conferences/wcc/men/2010.html,WCC,-1.47,L,85,87,9,2,L 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
11,/cbb/boxscores/2009-12-19-notre-dame.html,"Sat, Dec 19, 2009",REG,/cbb/schools/ucla/men/2010.html,UCLA,/cbb/conferences/pac-10/men/2010.html,Pac-10,5.70,W,84,73,10,2,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
12,/cbb/boxscores/2009-12-22-notre-dame.html,"Tue, Dec 22, 2009",REG,/cbb/schools/bucknell/men/2010.html,Bucknell,/cbb/conferences/patriot/men/2010.html,Patriot,-7.94,W,101,69,11,2,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
13,/cbb/boxscores/2009-12-30-notre-dame.html,"Wed, Dec 30, 2009",REG,/cbb/schools/providence/men/2010.html,Providence,/cbb/conferences/big-east/men/2010.html,Big East,7.04,W,93,78,12,2,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
14,/cbb/boxscores/2010-01-02-connecticut.html,"Sat, Jan 2, 2010",REG,/cbb/schools/connecticut/men/2010.html,Connecticut,/cbb/conferences/big-east/men/2010.html,Big East,12.50,L,70,82,12,3,L 1,Harry A. Gampel Pavilion,/cbb/schools/notre-dame/men/2010.html,@,
15,/cbb/boxscores/2010-01-05-south-florida.html,"Tue, Jan 5, 2010",REG,/cbb/schools/south-florida/men/2010.html,South Florida,/cbb/conferences/big-east/men/2010.html,Big East,8.72,W,74,73,13,3,W 1,Sun Dome,/cbb/schools/notre-dame/men/2010.html,@,
16,/cbb/boxscores/2010-01-09-notre-dame.html,"Sat, Jan 9, 2010",REG,/cbb/schools/west-virginia/men/2010.html,West Virginia,/cbb/conferences/big-east/men/2010.html,Big East,19.16,W,70,68,14,3,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
17,/cbb/boxscores/2010-01-16-cincinnati.html,"Sat, Jan 16, 2010",REG,/cbb/schools/cincinnati/men/2010.html,Cincinnati,/cbb/conferences/big-east/men/2010.html,Big East,9.98,L,58,60,14,4,L 1,Fifth Third Arena,/cbb/schools/notre-dame/men/2010.html,@,
18,/cbb/boxscores/2010-01-18-notre-dame.html,"Mon, Jan 18, 2010",REG,/cbb/schools/syracuse/men/2010.html,Syracuse,/cbb/conferences/big-east/men/2010.html,Big East,21.72,L,71,84,14,5,L 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
19,/cbb/boxscores/2010-01-23-notre-dame.html,"Sat, Jan 23, 2010",REG,/cbb/schools/depaul/men/2010.html,DePaul,/cbb/conferences/big-east/men/2010.html,Big East,1.61,W,87,77,15,5,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
20,/cbb/boxscores/2010-01-27-villanova.html,"Wed, Jan 27, 2010",REG,/cbb/schools/villanova/men/2010.html,Villanova,/cbb/conferences/big-east/men/2010.html,Big East,16.72,L,72,90,15,6,L 1,Wachovia Center,/cbb/schools/notre-dame/men/2010.html,@,
21,/cbb/boxscores/2010-01-30-rutgers.html,"Sat, Jan 30, 2010",REG,/cbb/schools/rutgers/men/2010.html,Rutgers,/cbb/conferences/big-east/men/2010.html,Big East,1.29,L,73,74,15,7,L 2,Louis Brown Athletic Center,/cbb/schools/notre-dame/men/2010.html,@,
22,/cbb/boxscores/2010-02-04-notre-dame.html,"Thu, Feb 4, 2010",REG,/cbb/schools/cincinnati/men/2010.html,Cincinnati,/cbb/conferences/big-east/men/2010.html,Big East,9.98,W,83,65,16,7,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
23,/cbb/boxscores/2010-02-07-notre-dame.html,"Sun, Feb 7, 2010",REG,/cbb/schools/south-florida/men/2010.html,South Florida,/cbb/conferences/big-east/men/2010.html,Big East,8.72,W,65,62,17,7,W 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
24,/cbb/boxscores/2010-02-11-seton-hall.html,"Thu, Feb 11, 2010",REG,/cbb/schools/seton-hall/men/2010.html,Seton Hall,/cbb/conferences/big-east/men/2010.html,Big East,10.43,L,87,90,17,8,L 1,Prudential Center,/cbb/schools/notre-dame/men/2010.html,@,
25,/cbb/boxscores/2010-02-14-notre-dame.html,"Sun, Feb 14, 2010",REG,/cbb/schools/st-johns-ny/men/2010.html,St. John's (NY),/cbb/conferences/big-east/men/2010.html,Big East,9.23,L,68,69,17,9,L 2,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
26,/cbb/boxscores/2010-02-17-louisville.html,"Wed, Feb 17, 2010",REG,/cbb/schools/louisville/men/2010.html,Louisville,/cbb/conferences/big-east/men/2010.html,Big East,14.08,L,89,91,17,10,L 3,Freedom Hall,/cbb/schools/notre-dame/men/2010.html,@,2OT
27,/cbb/boxscores/2010-02-24-notre-dame.html,"Wed, Feb 24, 2010",REG,/cbb/schools/pittsburgh/men/2010.html,Pittsburgh,/cbb/conferences/big-east/men/2010.html,Big East,14.30,W,68,53,18,10,W 1,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
28,/cbb/boxscores/2010-02-27-georgetown.html,"Sat, Feb 27, 2010",REG,/cbb/schools/georgetown/men/2010.html,Georgetown,/cbb/conferences/big-east/men/2010.html,Big East,17.03,W,78,64,19,10,W 2,Verizon Center,/cbb/schools/notre-dame/men/2010.html,@,
29,/cbb/boxscores/2010-03-03-notre-dame.html,"Wed, Mar 3, 2010",REG,/cbb/schools/connecticut/men/2010.html,Connecticut,/cbb/conferences/big-east/men/2010.html,Big East,12.50,W,58,50,20,10,W 3,Purcell Pavilion at the Joyce Center,/cbb/schools/notre-dame/men/2010.html,,
30,/cbb/boxscores/2010-03-06-marquette.html,"Sat, Mar 6, 2010",REG,/cbb/schools/marquette/men/2010.html,Marquette,/cbb/conferences/big-east/men/2010.html,Big East,15.17,W,63,60,21,10,W 4,Bradley Center,/cbb/schools/notre-dame/men/2010.html,@,OT
31,/cbb/boxscores/2010-03-10-seton-hall.html,"Wed, Mar 10, 2010",CTOURN,/cbb/schools/seton-hall/men/2010.html,Seton Hall,/cbb/conferences/big-east/men/2010.html,Big East,10.43,W,68,56,22,10,W 5,Madison Square Garden (IV),/cbb/schools/notre-dame/men/2010.html,N,
32,/cbb/boxscores/2010-03-11-pittsburgh.html,"Thu, Mar 11, 2010",CTOURN,/cbb/schools/pittsburgh/men/2010.html,Pittsburgh,/cbb/conferences/big-east/men/2010.html,Big East,14.30,W,50,45,23,10,W 6,Madison Square Garden (IV),/cbb/schools/notre-dame/men/2010.html,N,
33,/cbb/boxscores/2010-03-12-notre-dame.html,"Fri, Mar 12, 2010",CTOURN,/cbb/schools/west-virginia/men/2010.html,West Virginia,/cbb/conferences/big-east/men/2010.html,Big East,19.16,L,51,53,23,11,L 1,Madison Square Garden (IV),/cbb/schools/notre-dame/men/2010.html,N,
34,/cbb/boxscores/2010-03-18-notre-dame.html,"Thu, Mar 18, 2010",NCAA,/cbb/schools/old-dominion/men/2010.html,Old Dominion,/cbb/conferences/colonial/men/2010.html,CAA,11.39,L,50,51,23,12,L 2,New Orleans Arena,/cbb/schools/notre-dame/men/2010.html,N,
