,boxScorelink,date,game_type,opp,confLink,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,srs,game_location,overtimes
0,/cbb/boxscores/2009-11-14-oklahoma-state.html,"Sat, Nov 14, 2009",REG,Seattle,/cbb/conferences/independent/men/2010.html,Ind,W,86,64,1,0,W 1,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,,,,
1,/cbb/boxscores/2009-11-18-oklahoma-state.html,"Wed, Nov 18, 2009",REG,Southern,/cbb/conferences/swac/men/2010.html,SWAC,W,93,61,2,0,W 2,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/southern/men/2010.html,-23.96,,
2,/cbb/boxscores/2009-11-21-oklahoma-state.html,"Sat, Nov 21, 2009",REG,North Texas,/cbb/conferences/sun-belt/men/2010.html,Sun Belt,W,82,68,3,0,W 3,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/north-texas/men/2010.html,-2.49,,
3,/cbb/boxscores/2009-11-24-oklahoma-state.html,"Tue, Nov 24, 2009",REG,Prairie View,/cbb/conferences/swac/men/2010.html,SWAC,W,80,58,4,0,W 4,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/prairie-view/men/2010.html,-15.79,,
4,/cbb/boxscores/2009-11-27-bradley.html,"Fri, Nov 27, 2009",REG,Bradley,/cbb/conferences/mvc/men/2010.html,MVC,W,68,57,5,0,W 5,Orleans Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/bradley/men/2010.html,3.74,N,
5,/cbb/boxscores/2009-11-28-utah.html,"Sat, Nov 28, 2009",REG,Utah,/cbb/conferences/mwc/men/2010.html,MWC,W,77,55,6,0,W 6,Orleans Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/utah/men/2010.html,4.29,N,
6,/cbb/boxscores/2009-12-02-tulsa.html,"Wed, Dec 2, 2009",REG,Tulsa,/cbb/conferences/cusa/men/2010.html,CUSA,L,65,86,6,1,L 1,Donald W. Reynolds Center,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/tulsa/men/2010.html,8.46,@,
7,/cbb/boxscores/2009-12-05-oklahoma-state.html,"Sat, Dec 5, 2009",REG,UTSA,/cbb/conferences/southland/men/2010.html,Southland,W,61,55,7,1,W 1,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/texas-san-antonio/men/2010.html,-2.90,,
8,/cbb/boxscores/2009-12-13-oklahoma-state.html,"Sun, Dec 13, 2009",REG,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2010.html,SWAC,W,81,66,8,1,W 2,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/arkansas-pine-bluff/men/2010.html,-8.29,,
9,/cbb/boxscores/2009-12-16-stanford.html,"Wed, Dec 16, 2009",REG,Stanford,/cbb/conferences/pac-10/men/2010.html,Pac-10,W,71,70,9,1,W 3,Maples Pavilion,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/stanford/men/2010.html,5.71,@,
10,/cbb/boxscores/2009-12-21-la-salle.html,"Mon, Dec 21, 2009",REG,La Salle,/cbb/conferences/atlantic-10/men/2010.html,A-10,W,77,62,10,1,W 4,Ford Center,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/la-salle/men/2010.html,-0.28,N,
11,/cbb/boxscores/2009-12-29-oklahoma-state.html,"Tue, Dec 29, 2009",REG,Pacific,/cbb/conferences/big-west/men/2010.html,Big West,W,66,50,11,1,W 5,Gallagher-Iba Arena,/cbb/schools/oklahoma-state/men/2010.html,/cbb/schools/pacific/men/2010.html,2.90,,
