,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-purdue.html,"Fri, Nov 13, 2009",REG,/cbb/schools/cal-state-northridge/men/2010.html,Cal State Northridge,/cbb/conferences/big-west/men/2010.html,Big West,-5.81,W,89,64,1,0,W 1,Mackey Arena,/cbb/schools/purdue/men/2010.html,,
1,/cbb/boxscores/2009-11-20-south-dakota-state.html,"Fri, Nov 20, 2009",REG,/cbb/schools/south-dakota-state/men/2010.html,South Dakota State,/cbb/conferences/summit/men/2010.html,Summit,-6.05,W,74,63,2,0,W 2,Virgin Islands Sport & Fitness Center,/cbb/schools/purdue/men/2010.html,N,
2,/cbb/boxscores/2009-11-22-saint-josephs.html,"Sun, Nov 22, 2009",REG,/cbb/schools/saint-josephs/men/2010.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2010.html,A-10,-2.13,W,85,60,3,0,W 3,Virgin Islands Sport & Fitness Center,/cbb/schools/purdue/men/2010.html,N,
3,/cbb/boxscores/2009-11-23-tennessee.html,"Mon, Nov 23, 2009",REG,/cbb/schools/tennessee/men/2010.html,Tennessee,/cbb/conferences/sec/men/2010.html,SEC,16.05,W,73,72,4,0,W 4,Virgin Islands Sport & Fitness Center,/cbb/schools/purdue/men/2010.html,N,
4,/cbb/boxscores/2009-11-28-purdue.html,"Sat, Nov 28, 2009",REG,/cbb/schools/central-michigan/men/2010.html,Central Michigan,/cbb/conferences/mac/men/2010.html,MAC,-3.58,W,64,38,5,0,W 5,Mackey Arena,/cbb/schools/purdue/men/2010.html,,
5,/cbb/boxscores/2009-12-01-purdue.html,"Tue, Dec 1, 2009",REG,/cbb/schools/wake-forest/men/2010.html,Wake Forest,/cbb/conferences/acc/men/2010.html,ACC,11.45,W,69,58,6,0,W 6,Mackey Arena,/cbb/schools/purdue/men/2010.html,,
6,/cbb/boxscores/2009-12-05-purdue.html,"Sat, Dec 5, 2009",REG,/cbb/schools/buffalo/men/2010.html,Buffalo,/cbb/conferences/mac/men/2010.html,MAC,-2.03,W,101,65,7,0,W 7,Mackey Arena,/cbb/schools/purdue/men/2010.html,,
7,/cbb/boxscores/2009-12-09-purdue.html,"Wed, Dec 9, 2009",REG,/cbb/schools/valparaiso/men/2010.html,Valparaiso,/cbb/conferences/horizon/men/2010.html,Horizon,-2.90,W,86,62,8,0,W 8,Mackey Arena,/cbb/schools/purdue/men/2010.html,,
8,/cbb/boxscores/2009-12-12-alabama.html,"Sat, Dec 12, 2009",REG,/cbb/schools/alabama/men/2010.html,Alabama,/cbb/conferences/sec/men/2010.html,SEC,10.34,W,73,65,9,0,W 9,Coleman Coliseum,/cbb/schools/purdue/men/2010.html,@,
9,/cbb/boxscores/2009-12-19-ball-state.html,"Sat, Dec 19, 2009",REG,/cbb/schools/ball-state/men/2010.html,Ball State,/cbb/conferences/mac/men/2010.html,MAC,-4.85,W,69,49,10,0,W 10,Conseco Fieldhouse,/cbb/schools/purdue/men/2010.html,N,
