,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-richmond.html,"Fri, Nov 13, 2009",REG,/cbb/schools/lehigh/men/2010.html,Lehigh,/cbb/conferences/patriot/men/2010.html,Patriot,-3.33,W,65,53,1,0,W 1,Robins Center,/cbb/schools/richmond/men/2010.html,,
1,/cbb/boxscores/2009-11-16-richmond.html,"Mon, Nov 16, 2009",REG,/cbb/schools/virginia-military-institute/men/2010.html,Virginia Military Institute,/cbb/conferences/big-south/men/2010.html,Big South,-19.91,W,103,59,2,0,W 2,Robins Center,/cbb/schools/richmond/men/2010.html,,
2,/cbb/boxscores/2009-11-19-william-mary.html,"Thu, Nov 19, 2009",REG,/cbb/schools/william-mary/men/2010.html,William & Mary,/cbb/conferences/colonial/men/2010.html,CAA,2.82,L,71,78,2,1,L 1,Kaplan Arena at William and Mary Hall,/cbb/schools/richmond/men/2010.html,@,
3,/cbb/boxscores/2009-11-22-richmond.html,"Sun, Nov 22, 2009",REG,/cbb/schools/chattanooga/men/2010.html,Chattanooga,/cbb/conferences/southern/men/2010.html,Southern,-8.56,W,75,49,3,1,W 1,Robins Center,/cbb/schools/richmond/men/2010.html,,
4,/cbb/boxscores/2009-11-24-richmond.html,"Tue, Nov 24, 2009",REG,/cbb/schools/longwood/men/2010.html,Longwood,/cbb/conferences/independent/men/2010.html,Ind,-14.69,W,65,52,4,1,W 2,Robins Center,/cbb/schools/richmond/men/2010.html,,
5,/cbb/boxscores/2009-11-27-mississippi-state.html,"Fri, Nov 27, 2009",REG,/cbb/schools/mississippi-state/men/2010.html,Mississippi State,/cbb/conferences/sec/men/2010.html,SEC,12.55,W,63,62,5,1,W 3,South Padre Island Convention Centre,/cbb/schools/richmond/men/2010.html,N,
6,/cbb/boxscores/2009-11-28-missouri.html,"Sat, Nov 28, 2009",REG,/cbb/schools/missouri/men/2010.html,Missouri,/cbb/conferences/big-12/men/2010.html,Big 12,17.39,W,59,52,6,1,W 4,South Padre Island Convention Centre,/cbb/schools/richmond/men/2010.html,N,
7,/cbb/boxscores/2009-12-02-richmond.html,"Wed, Dec 2, 2009",REG,/cbb/schools/old-dominion/men/2010.html,Old Dominion,/cbb/conferences/colonial/men/2010.html,CAA,11.39,W,67,60,7,1,W 5,Robins Center,/cbb/schools/richmond/men/2010.html,,
8,/cbb/boxscores/2009-12-12-virginia-commonwealth.html,"Sat, Dec 12, 2009",REG,/cbb/schools/virginia-commonwealth/men/2010.html,Virginia Commonwealth,/cbb/conferences/colonial/men/2010.html,CAA,10.23,L,57,65,7,2,L 1,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/richmond/men/2010.html,@,
9,/cbb/boxscores/2009-12-16-south-carolina.html,"Wed, Dec 16, 2009",REG,/cbb/schools/south-carolina/men/2010.html,South Carolina,/cbb/conferences/sec/men/2010.html,SEC,8.26,L,58,76,7,3,L 2,Colonial Life Arena,/cbb/schools/richmond/men/2010.html,@,
10,/cbb/boxscores/2009-12-19-florida.html,"Sat, Dec 19, 2009",REG,/cbb/schools/florida/men/2010.html,Florida,/cbb/conferences/sec/men/2010.html,SEC,11.89,W,56,53,8,3,W 1,BankAtlantic Center,/cbb/schools/richmond/men/2010.html,N,
11,/cbb/boxscores/2009-12-22-richmond.html,"Tue, Dec 22, 2009",REG,/cbb/schools/north-carolina-greensboro/men/2010.html,UNC Greensboro,/cbb/conferences/southern/men/2010.html,Southern,-8.24,W,89,63,9,3,W 2,Robins Center,/cbb/schools/richmond/men/2010.html,,
12,/cbb/boxscores/2009-12-28-richmond.html,"Mon, Dec 28, 2009",REG,/cbb/schools/north-carolina-wilmington/men/2010.html,UNC Wilmington,/cbb/conferences/colonial/men/2010.html,CAA,-4.35,W,66,64,10,3,W 3,Robins Center,/cbb/schools/richmond/men/2010.html,,
