,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2009-11-11-syracuse.html,"Wed, Nov 11, 2009",REG,@,/cbb/schools/syracuse/men/2010.html,Syracuse,/cbb/conferences/big-east/men/2010.html,Big East,21.72,L,60,100,0,1,L 1,Carrier Dome,/cbb/schools/robert-morris/men/2010.html,
1,/cbb/boxscores/2009-11-16-penn-state.html,"Mon, Nov 16, 2009",REG,@,/cbb/schools/penn-state/men/2010.html,Penn State,/cbb/conferences/big-ten/men/2010.html,Big Ten,6.58,L,61,80,0,2,L 2,Bryce Jordan Center,/cbb/schools/robert-morris/men/2010.html,
2,/cbb/boxscores/2009-11-20-robert-morris.html,"Fri, Nov 20, 2009",REG,N,/cbb/schools/detroit-mercy/men/2010.html,Detroit Mercy,/cbb/conferences/horizon/men/2010.html,Horizon,1.35,L,59,71,0,3,L 3,SEFCU Arena,/cbb/schools/robert-morris/men/2010.html,
3,/cbb/boxscores/2009-11-21-alcorn-state.html,"Sat, Nov 21, 2009",REG,N,/cbb/schools/alcorn-state/men/2010.html,Alcorn State,/cbb/conferences/swac/men/2010.html,SWAC,-30.36,W,107,76,1,3,W 1,SEFCU Arena,/cbb/schools/robert-morris/men/2010.html,
4,/cbb/boxscores/2009-11-22-albany-ny.html,"Sun, Nov 22, 2009",REG,@,/cbb/schools/albany-ny/men/2010.html,Albany (NY),/cbb/conferences/america-east/men/2010.html,AEC,-11.94,L,66,71,1,4,L 1,SEFCU Arena,/cbb/schools/robert-morris/men/2010.html,
5,/cbb/boxscores/2009-12-03-robert-morris.html,"Thu, Dec 3, 2009",REG,,/cbb/schools/mount-st-marys/men/2010.html,Mount St. Mary's,/cbb/conferences/northeast/men/2010.html,NEC,-4.38,W,63,57,2,4,W 1,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2010.html,
6,/cbb/boxscores/2009-12-05-robert-morris.html,"Sat, Dec 5, 2009",REG,,/cbb/schools/wagner/men/2010.html,Wagner,/cbb/conferences/northeast/men/2010.html,NEC,-18.05,W,73,70,3,4,W 2,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2010.html,
7,/cbb/boxscores/2009-12-12-duquesne.html,"Sat, Dec 12, 2009",REG,@,/cbb/schools/duquesne/men/2010.html,Duquesne,/cbb/conferences/atlantic-10/men/2010.html,A-10,0.79,L,54,59,3,5,L 1,A.J. Palumbo Center,/cbb/schools/robert-morris/men/2010.html,
8,/cbb/boxscores/2009-12-15-cleveland-state.html,"Tue, Dec 15, 2009",REG,@,/cbb/schools/cleveland-state/men/2010.html,Cleveland State,/cbb/conferences/horizon/men/2010.html,Horizon,0.57,W,78,70,4,5,W 1,Henry J. Goodman Arena,/cbb/schools/robert-morris/men/2010.html,
9,/cbb/boxscores/2009-12-19-robert-morris.html,"Sat, Dec 19, 2009",REG,,/cbb/schools/appalachian-state/men/2010.html,Appalachian State,/cbb/conferences/southern/men/2010.html,Southern,1.80,L,52,65,4,6,L 1,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2010.html,
10,/cbb/boxscores/2009-12-22-robert-morris.html,"Tue, Dec 22, 2009",REG,,/cbb/schools/kent-state/men/2010.html,Kent State,/cbb/conferences/mac/men/2010.html,MAC,5.28,L,57,71,4,7,L 2,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2010.html,
11,/cbb/boxscores/2009-12-30-youngstown-state.html,"Wed, Dec 30, 2009",REG,@,/cbb/schools/youngstown-state/men/2010.html,Youngstown State,/cbb/conferences/horizon/men/2010.html,Horizon,-6.41,W,72,67,5,7,W 1,Beeghly Center,/cbb/schools/robert-morris/men/2010.html,
12,/cbb/boxscores/2010-01-02-robert-morris.html,"Sat, Jan 2, 2010",REG,,/cbb/schools/ohio/men/2010.html,Ohio,/cbb/conferences/mac/men/2010.html,MAC,4.56,W,81,79,6,7,W 2,Charles L. Sewall Center,/cbb/schools/robert-morris/men/2010.html,
