,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-saint-marys-ca.html,"Fri, Nov 13, 2009",REG,/cbb/schools/new-mexico-state/men/2010.html,New Mexico State,/cbb/conferences/wac/men/2010.html,WAC,2.06,W,100,68,1,0,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
1,/cbb/boxscores/2009-11-16-saint-marys-ca.html,"Mon, Nov 16, 2009",REG,/cbb/schools/san-diego-state/men/2010.html,San Diego State,/cbb/conferences/mwc/men/2010.html,MWC,11.34,W,80,58,2,0,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
2,/cbb/boxscores/2009-11-20-saint-marys-ca.html,"Fri, Nov 20, 2009",REG,/cbb/schools/vanderbilt/men/2010.html,Vanderbilt,/cbb/conferences/sec/men/2010.html,SEC,15.24,L,70,72,2,1,L 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
3,/cbb/boxscores/2009-11-23-saint-marys-ca.html,"Mon, Nov 23, 2009",REG,/cbb/schools/cal-poly/men/2010.html,Cal Poly,/cbb/conferences/big-west/men/2010.html,Big West,-7.99,W,92,67,3,1,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
4,/cbb/boxscores/2009-11-25-saint-marys-ca.html,"Wed, Nov 25, 2009",REG,,Cal State Maritime,,,,W,100,59,4,1,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
5,/cbb/boxscores/2009-11-30-san-jose-state.html,"Mon, Nov 30, 2009",REG,/cbb/schools/san-jose-state/men/2010.html,San Jose State,/cbb/conferences/wac/men/2010.html,WAC,-2.06,W,78,71,5,1,W 3,The Event Center,/cbb/schools/saint-marys-ca/men/2010.html,@,
6,/cbb/boxscores/2009-12-05-utah-state.html,"Sat, Dec 5, 2009",REG,/cbb/schools/utah-state/men/2010.html,Utah State,/cbb/conferences/wac/men/2010.html,WAC,13.62,W,68,63,6,1,W 4,Dee Glen Smith Spectrum,/cbb/schools/saint-marys-ca/men/2010.html,@,
7,/cbb/boxscores/2009-12-12-oregon.html,"Sat, Dec 12, 2009",REG,/cbb/schools/oregon/men/2010.html,Oregon,/cbb/conferences/pac-10/men/2010.html,Pac-10,4.00,W,81,76,7,1,W 5,McArthur Court,/cbb/schools/saint-marys-ca/men/2010.html,@,
8,/cbb/boxscores/2009-12-15-saint-marys-ca.html,"Tue, Dec 15, 2009",REG,/cbb/schools/portland-state/men/2010.html,Portland State,/cbb/conferences/big-sky/men/2010.html,Big Sky,-3.49,W,101,80,8,1,W 6,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
9,/cbb/boxscores/2009-12-18-saint-marys-ca.html,"Fri, Dec 18, 2009",REG,/cbb/schools/pacific/men/2010.html,Pacific,/cbb/conferences/big-west/men/2010.html,Big West,2.90,W,80,65,9,1,W 7,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
10,/cbb/boxscores/2009-12-22-northeastern.html,"Tue, Dec 22, 2009",REG,/cbb/schools/northeastern/men/2010.html,Northeastern,/cbb/conferences/colonial/men/2010.html,CAA,6.48,W,78,67,10,1,W 8,Stan Sheriff Center,/cbb/schools/saint-marys-ca/men/2010.html,N,
11,/cbb/boxscores/2009-12-23-saint-marys-ca.html,"Wed, Dec 23, 2009",REG,/cbb/schools/southern-california/men/2010.html,Southern California,/cbb/conferences/pac-10/men/2010.html,Pac-10,8.93,L,49,60,10,2,L 1,Stan Sheriff Center,/cbb/schools/saint-marys-ca/men/2010.html,N,
12,/cbb/boxscores/2009-12-25-hawaii.html,"Fri, Dec 25, 2009",REG,/cbb/schools/hawaii/men/2010.html,Hawaii,/cbb/conferences/wac/men/2010.html,WAC,-4.91,W,84,75,11,2,W 1,Stan Sheriff Center,/cbb/schools/saint-marys-ca/men/2010.html,@,
13,/cbb/boxscores/2009-12-29-saint-marys-ca.html,"Tue, Dec 29, 2009",REG,/cbb/schools/binghamton/men/2010.html,Binghamton,/cbb/conferences/america-east/men/2010.html,AEC,-10.60,W,85,57,12,2,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
14,/cbb/boxscores/2009-12-30-saint-marys-ca.html,"Wed, Dec 30, 2009",REG,/cbb/schools/howard/men/2010.html,Howard,/cbb/conferences/meac/men/2010.html,MEAC,-19.49,W,94,46,13,2,W 3,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
15,/cbb/boxscores/2010-01-08-san-francisco.html,"Fri, Jan 8, 2010",REG,/cbb/schools/san-francisco/men/2010.html,San Francisco,/cbb/conferences/wcc/men/2010.html,WCC,-3.48,W,83,62,14,2,W 4,War Memorial Gymnasium,/cbb/schools/saint-marys-ca/men/2010.html,@,
16,/cbb/boxscores/2010-01-10-santa-clara.html,"Sun, Jan 10, 2010",REG,/cbb/schools/santa-clara/men/2010.html,Santa Clara,/cbb/conferences/wcc/men/2010.html,WCC,-5.84,W,80,72,15,2,W 5,Leavey Center,/cbb/schools/saint-marys-ca/men/2010.html,@,
17,/cbb/boxscores/2010-01-14-saint-marys-ca.html,"Thu, Jan 14, 2010",REG,/cbb/schools/gonzaga/men/2010.html,Gonzaga,/cbb/conferences/wcc/men/2010.html,WCC,12.11,L,82,89,15,3,L 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
18,/cbb/boxscores/2010-01-16-saint-marys-ca.html,"Sat, Jan 16, 2010",REG,/cbb/schools/portland/men/2010.html,Portland,/cbb/conferences/wcc/men/2010.html,WCC,6.35,W,77,72,16,3,W 1,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
19,/cbb/boxscores/2010-01-21-saint-marys-ca.html,"Thu, Jan 21, 2010",REG,/cbb/schools/san-diego/men/2010.html,San Diego,/cbb/conferences/wcc/men/2010.html,WCC,-2.60,W,71,56,17,3,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
20,/cbb/boxscores/2010-01-28-pepperdine.html,"Thu, Jan 28, 2010",REG,/cbb/schools/pepperdine/men/2010.html,Pepperdine,/cbb/conferences/wcc/men/2010.html,WCC,-8.44,W,88,71,18,3,W 3,Firestone Fieldhouse,/cbb/schools/saint-marys-ca/men/2010.html,@,
21,/cbb/boxscores/2010-01-30-loyola-marymount.html,"Sat, Jan 30, 2010",REG,/cbb/schools/loyola-marymount/men/2010.html,Loyola Marymount,/cbb/conferences/wcc/men/2010.html,WCC,-1.47,W,85,67,19,3,W 4,Gersten Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,@,
22,/cbb/boxscores/2010-02-04-saint-marys-ca.html,"Thu, Feb 4, 2010",REG,/cbb/schools/santa-clara/men/2010.html,Santa Clara,/cbb/conferences/wcc/men/2010.html,WCC,-5.84,W,74,62,20,3,W 5,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
23,/cbb/boxscores/2010-02-06-saint-marys-ca.html,"Sat, Feb 6, 2010",REG,/cbb/schools/san-francisco/men/2010.html,San Francisco,/cbb/conferences/wcc/men/2010.html,WCC,-3.48,W,73,57,21,3,W 6,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
24,/cbb/boxscores/2010-02-11-gonzaga.html,"Thu, Feb 11, 2010",REG,/cbb/schools/gonzaga/men/2010.html,Gonzaga,/cbb/conferences/wcc/men/2010.html,WCC,12.11,L,61,80,21,4,L 1,McCarthey Athletic Center,/cbb/schools/saint-marys-ca/men/2010.html,@,
25,/cbb/boxscores/2010-02-13-portland.html,"Sat, Feb 13, 2010",REG,/cbb/schools/portland/men/2010.html,Portland,/cbb/conferences/wcc/men/2010.html,WCC,6.35,L,75,80,21,5,L 2,Chiles Center,/cbb/schools/saint-marys-ca/men/2010.html,@,OT
26,/cbb/boxscores/2010-02-18-san-diego.html,"Thu, Feb 18, 2010",REG,/cbb/schools/san-diego/men/2010.html,San Diego,/cbb/conferences/wcc/men/2010.html,WCC,-2.60,W,61,49,22,5,W 1,Jenny Craig Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,@,
27,/cbb/boxscores/2010-02-25-saint-marys-ca.html,"Thu, Feb 25, 2010",REG,/cbb/schools/pepperdine/men/2010.html,Pepperdine,/cbb/conferences/wcc/men/2010.html,WCC,-8.44,W,76,49,23,5,W 2,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
28,/cbb/boxscores/2010-02-27-saint-marys-ca.html,"Sat, Feb 27, 2010",REG,/cbb/schools/loyola-marymount/men/2010.html,Loyola Marymount,/cbb/conferences/wcc/men/2010.html,WCC,-1.47,W,88,80,24,5,W 3,McKeon Pavilion,/cbb/schools/saint-marys-ca/men/2010.html,,
29,/cbb/boxscores/2010-03-07-portland.html,"Sun, Mar 7, 2010",CTOURN,/cbb/schools/portland/men/2010.html,Portland,/cbb/conferences/wcc/men/2010.html,WCC,6.35,W,69,55,25,5,W 4,Orleans Arena,/cbb/schools/saint-marys-ca/men/2010.html,N,
30,/cbb/boxscores/2010-03-08-gonzaga.html,"Mon, Mar 8, 2010",CTOURN,/cbb/schools/gonzaga/men/2010.html,Gonzaga,/cbb/conferences/wcc/men/2010.html,WCC,12.11,W,81,62,26,5,W 5,Orleans Arena,/cbb/schools/saint-marys-ca/men/2010.html,N,
31,/cbb/boxscores/2010-03-18-richmond.html,"Thu, Mar 18, 2010",NCAA,/cbb/schools/richmond/men/2010.html,Richmond,/cbb/conferences/atlantic-10/men/2010.html,A-10,10.03,W,80,71,27,5,W 6,Dunkin Donuts Center,/cbb/schools/saint-marys-ca/men/2010.html,N,
32,/cbb/boxscores/2010-03-20-saint-marys-ca.html,"Sat, Mar 20, 2010",NCAA,/cbb/schools/villanova/men/2010.html,Villanova,/cbb/conferences/big-east/men/2010.html,Big East,16.72,W,75,68,28,5,W 7,Dunkin Donuts Center,/cbb/schools/saint-marys-ca/men/2010.html,N,
33,/cbb/boxscores/2010-03-26-baylor.html,"Fri, Mar 26, 2010",NCAA,/cbb/schools/baylor/men/2010.html,Baylor,/cbb/conferences/big-12/men/2010.html,Big 12,17.97,L,49,72,28,6,L 1,Reliant Stadium,/cbb/schools/saint-marys-ca/men/2010.html,N,
