,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2009-11-14-sam-houston-state.html,"Sat, Nov 14, 2009",REG,LeTourneau,,W,73,42,1,0,W 1,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,,,,
1,/cbb/boxscores/2009-11-16-sam-houston-state.html,"Mon, Nov 16, 2009",REG,Texas College,,W,91,54,2,0,W 2,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,,,,
2,/cbb/boxscores/2009-11-19-kentucky.html,"Thu, Nov 19, 2009",REG,Kentucky,SEC,L,92,102,2,1,L 1,Rupp Arena,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/kentucky/men/2010.html,/cbb/conferences/sec/men/2010.html,21.13,
3,/cbb/boxscores/2009-11-21-cleveland-state.html,"Sat, Nov 21, 2009",REG,Cleveland State,Horizon,L,65,80,2,2,L 2,Henry J. Goodman Arena,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/cleveland-state/men/2010.html,/cbb/conferences/horizon/men/2010.html,0.57,
4,/cbb/boxscores/2009-11-24-oral-roberts.html,"Tue, Nov 24, 2009",REG,Oral Roberts,Summit,W,71,65,3,2,W 1,Moon Palace Resort,/cbb/schools/sam-houston-state/men/2010.html,N,/cbb/schools/oral-roberts/men/2010.html,/cbb/conferences/summit/men/2010.html,-0.88,
5,/cbb/boxscores/2009-11-25-rider.html,"Wed, Nov 25, 2009",REG,Rider,MAAC,W,80,68,4,2,W 2,Moon Palace Resort,/cbb/schools/sam-houston-state/men/2010.html,N,/cbb/schools/rider/men/2010.html,/cbb/conferences/maac/men/2010.html,-3.71,
6,/cbb/boxscores/2009-11-30-sam-houston-state.html,"Mon, Nov 30, 2009",REG,Mid-America Christian,,W,87,55,5,2,W 3,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,,,,
7,/cbb/boxscores/2009-12-05-sam-houston-state.html,"Sat, Dec 5, 2009",REG,Louisiana,Sun Belt,L,85,95,5,3,L 1,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,/cbb/schools/louisiana-lafayette/men/2010.html,/cbb/conferences/sun-belt/men/2010.html,-4.74,
8,/cbb/boxscores/2009-12-12-sam-houston-state.html,"Sat, Dec 12, 2009",REG,Ecclesia,,W,69,40,6,3,W 1,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,,,,
9,/cbb/boxscores/2009-12-20-auburn.html,"Sun, Dec 20, 2009",REG,Auburn,SEC,W,107,89,7,3,W 2,Beard–Eaves–Memorial Coliseum,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/auburn/men/2010.html,/cbb/conferences/sec/men/2010.html,5.49,
10,/cbb/boxscores/2009-12-22-sam-houston-state.html,"Tue, Dec 22, 2009",REG,Florida International,Sun Belt,W,93,63,8,3,W 3,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,/cbb/schools/florida-international/men/2010.html,/cbb/conferences/sun-belt/men/2010.html,-12.81,
11,/cbb/boxscores/2009-12-28-wright-state.html,"Mon, Dec 28, 2009",REG,Wright State,Horizon,L,48,88,8,4,L 1,Ervin J. Nutter Center,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/wright-state/men/2010.html,/cbb/conferences/horizon/men/2010.html,6.81,
12,/cbb/boxscores/2010-01-03-western-michigan.html,"Sun, Jan 3, 2010",REG,Western Michigan,MAC,L,73,74,8,5,L 2,University Arena,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/western-michigan/men/2010.html,/cbb/conferences/mac/men/2010.html,0.43,
13,/cbb/boxscores/2010-01-09-sam-houston-state.html,"Sat, Jan 9, 2010",REG,Stephen F. Austin,Southland,W,66,57,9,5,W 1,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,/cbb/schools/stephen-f-austin/men/2010.html,/cbb/conferences/southland/men/2010.html,-2.42,
14,/cbb/boxscores/2010-01-16-southeastern-louisiana.html,"Sat, Jan 16, 2010",REG,Southeastern Louisiana,Southland,W,84,79,10,5,W 2,University Center,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/southeastern-louisiana/men/2010.html,/cbb/conferences/southland/men/2010.html,-3.97,
15,/cbb/boxscores/2010-01-20-sam-houston-state.html,"Wed, Jan 20, 2010",REG,Texas State,Southland,W,95,64,11,5,W 3,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,/cbb/schools/texas-state/men/2010.html,/cbb/conferences/southland/men/2010.html,-7.38,
16,/cbb/boxscores/2010-01-23-texas-arlington.html,"Sat, Jan 23, 2010",REG,UT Arlington,Southland,W,67,64,12,5,W 4,Texas Hall,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/texas-arlington/men/2010.html,/cbb/conferences/southland/men/2010.html,-8.06,
17,/cbb/boxscores/2010-01-27-sam-houston-state.html,"Wed, Jan 27, 2010",REG,Lamar,Southland,W,90,63,13,5,W 5,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,/cbb/schools/lamar/men/2010.html,/cbb/conferences/southland/men/2010.html,-11.11,
18,/cbb/boxscores/2010-01-30-texas-am-corpus-christi.html,"Sat, Jan 30, 2010",REG,Texas A&M-Corpus Christi,Southland,W,70,58,14,5,W 6,American Bank Center,/cbb/schools/sam-houston-state/men/2010.html,@,/cbb/schools/texas-am-corpus-christi/men/2010.html,/cbb/conferences/southland/men/2010.html,-2.05,
19,/cbb/boxscores/2010-02-03-sam-houston-state.html,"Wed, Feb 3, 2010",REG,UTSA,Southland,W,73,67,15,5,W 7,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,/cbb/schools/texas-san-antonio/men/2010.html,/cbb/conferences/southland/men/2010.html,-2.90,
20,/cbb/boxscores/2010-02-06-sam-houston-state.html,"Sat, Feb 6, 2010",REG,Central Arkansas,Southland,W,75,70,16,5,W 8,Bernard Johnson Coliseum,/cbb/schools/sam-houston-state/men/2010.html,,,/cbb/conferences/southland/men/2010.html,,
