,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2009-11-13-tennessee-state.html,"Fri, Nov 13, 2009",REG,@,/cbb/schools/tennessee-state/men/2010.html,Tennessee State,/cbb/conferences/ovc/men/2010.html,OVC,-9.57,W,85,69,1,0,W 1,Gentry Center Complex,/cbb/schools/siena/men/2010.html,
1,/cbb/boxscores/2009-11-17-siena.html,"Tue, Nov 17, 2009",REG,,/cbb/schools/northeastern/men/2010.html,Northeastern,/cbb/conferences/colonial/men/2010.html,CAA,6.48,W,59,53,2,0,W 2,Times Union Center,/cbb/schools/siena/men/2010.html,
2,/cbb/boxscores/2009-11-21-temple.html,"Sat, Nov 21, 2009",REG,@,/cbb/schools/temple/men/2010.html,Temple,/cbb/conferences/atlantic-10/men/2010.html,A-10,12.44,L,69,73,2,1,L 1,Liacouras Center,/cbb/schools/siena/men/2010.html,
3,/cbb/boxscores/2009-11-24-siena.html,"Tue, Nov 24, 2009",REG,,/cbb/schools/delaware/men/2010.html,Delaware,/cbb/conferences/colonial/men/2010.html,CAA,-7.86,W,90,56,3,1,W 1,Times Union Center,/cbb/schools/siena/men/2010.html,
4,/cbb/boxscores/2009-11-27-siena.html,"Fri, Nov 27, 2009",REG,N,/cbb/schools/st-johns-ny/men/2010.html,St. John's (NY),/cbb/conferences/big-east/men/2010.html,Big East,9.23,L,68,77,3,2,L 1,The Palestra,/cbb/schools/siena/men/2010.html,
5,/cbb/boxscores/2009-11-28-brown.html,"Sat, Nov 28, 2009",REG,N,/cbb/schools/brown/men/2010.html,Brown,/cbb/conferences/ivy/men/2010.html,Ivy,-10.68,W,99,79,4,2,W 1,The Palestra,/cbb/schools/siena/men/2010.html,
6,/cbb/boxscores/2009-12-02-georgia-tech.html,"Wed, Dec 2, 2009",REG,@,/cbb/schools/georgia-tech/men/2010.html,Georgia Tech,/cbb/conferences/acc/men/2010.html,ACC,14.11,L,61,74,4,3,L 1,Alexander Memorial Coliseum,/cbb/schools/siena/men/2010.html,
7,/cbb/boxscores/2009-12-05-siena.html,"Sat, Dec 5, 2009",REG,,/cbb/schools/albany-ny/men/2010.html,Albany (NY),/cbb/conferences/america-east/men/2010.html,AEC,-11.94,W,83,54,5,3,W 1,Times Union Center,/cbb/schools/siena/men/2010.html,
8,/cbb/boxscores/2009-12-07-iona.html,"Mon, Dec 7, 2009",REG,@,/cbb/schools/iona/men/2010.html,Iona,/cbb/conferences/maac/men/2010.html,MAAC,2.31,W,73,60,6,3,W 2,Hynes Athletic Center,/cbb/schools/siena/men/2010.html,
9,/cbb/boxscores/2009-12-12-northern-iowa.html,"Sat, Dec 12, 2009",REG,@,/cbb/schools/northern-iowa/men/2010.html,Northern Iowa,/cbb/conferences/mvc/men/2010.html,MVC,12.03,L,65,82,6,4,L 1,McLeod Center,/cbb/schools/siena/men/2010.html,
10,/cbb/boxscores/2009-12-23-siena.html,"Wed, Dec 23, 2009",REG,,/cbb/schools/rider/men/2010.html,Rider,/cbb/conferences/maac/men/2010.html,MAAC,-3.71,W,84,62,7,4,W 1,Times Union Center,/cbb/schools/siena/men/2010.html,
11,/cbb/boxscores/2009-12-29-siena.html,"Tue, Dec 29, 2009",REG,,/cbb/schools/saint-josephs/men/2010.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2010.html,A-10,-2.13,W,92,75,8,4,W 2,Times Union Center,/cbb/schools/siena/men/2010.html,
12,/cbb/boxscores/2009-12-31-siena.html,"Thu, Dec 31, 2009",REG,,/cbb/schools/saint-peters/men/2010.html,Saint Peter's,/cbb/conferences/maac/men/2010.html,MAAC,-2.73,W,64,53,9,4,W 3,Times Union Center,/cbb/schools/siena/men/2010.html,
13,/cbb/boxscores/2010-01-02-siena.html,"Sat, Jan 2, 2010",REG,,/cbb/schools/mount-st-marys/men/2010.html,Mount St. Mary's,/cbb/conferences/northeast/men/2010.html,NEC,-4.38,W,79,76,10,4,W 4,Times Union Center,/cbb/schools/siena/men/2010.html,OT
14,/cbb/boxscores/2010-01-04-loyola-md.html,"Mon, Jan 4, 2010",REG,@,/cbb/schools/loyola-md/men/2010.html,Loyola (MD),/cbb/conferences/maac/men/2010.html,MAAC,-5.23,W,76,56,11,4,W 5,Reitz Arena,/cbb/schools/siena/men/2010.html,
15,/cbb/boxscores/2010-01-09-siena.html,"Sat, Jan 9, 2010",REG,,/cbb/schools/niagara/men/2010.html,Niagara,/cbb/conferences/maac/men/2010.html,MAAC,0.32,W,83,65,12,4,W 6,Times Union Center,/cbb/schools/siena/men/2010.html,
16,/cbb/boxscores/2010-01-11-siena.html,"Mon, Jan 11, 2010",REG,,/cbb/schools/canisius/men/2010.html,Canisius,/cbb/conferences/maac/men/2010.html,MAAC,-5.19,W,82,70,13,4,W 7,Times Union Center,/cbb/schools/siena/men/2010.html,
17,/cbb/boxscores/2010-01-16-fairfield.html,"Sat, Jan 16, 2010",REG,@,/cbb/schools/fairfield/men/2010.html,Fairfield,/cbb/conferences/maac/men/2010.html,MAAC,0.40,W,81,73,14,4,W 8,Arena at Harbor Yard,/cbb/schools/siena/men/2010.html,
18,/cbb/boxscores/2010-01-18-siena.html,"Mon, Jan 18, 2010",REG,,/cbb/schools/manhattan/men/2010.html,Manhattan,/cbb/conferences/maac/men/2010.html,MAAC,-4.68,W,83,68,15,4,W 9,Times Union Center,/cbb/schools/siena/men/2010.html,
19,/cbb/boxscores/2010-01-21-siena.html,"Thu, Jan 21, 2010",REG,,/cbb/schools/loyola-md/men/2010.html,Loyola (MD),/cbb/conferences/maac/men/2010.html,MAAC,-5.23,W,67,61,16,4,W 10,Times Union Center,/cbb/schools/siena/men/2010.html,
20,/cbb/boxscores/2010-01-24-manhattan.html,"Sun, Jan 24, 2010",REG,@,/cbb/schools/manhattan/men/2010.html,Manhattan,/cbb/conferences/maac/men/2010.html,MAAC,-4.68,W,66,58,17,4,W 11,Draddy Gymnasium,/cbb/schools/siena/men/2010.html,
21,/cbb/boxscores/2010-01-28-saint-peters.html,"Thu, Jan 28, 2010",REG,@,/cbb/schools/saint-peters/men/2010.html,Saint Peter's,/cbb/conferences/maac/men/2010.html,MAAC,-2.73,W,66,58,18,4,W 12,Yanitelli Center,/cbb/schools/siena/men/2010.html,
22,/cbb/boxscores/2010-01-30-marist.html,"Sat, Jan 30, 2010",REG,@,/cbb/schools/marist/men/2010.html,Marist,/cbb/conferences/maac/men/2010.html,MAAC,-17.21,W,79,60,19,4,W 13,McCann Arena,/cbb/schools/siena/men/2010.html,
23,/cbb/boxscores/2010-02-05-siena.html,"Fri, Feb 5, 2010",REG,,/cbb/schools/iona/men/2010.html,Iona,/cbb/conferences/maac/men/2010.html,MAAC,2.31,W,88,68,20,4,W 14,Times Union Center,/cbb/schools/siena/men/2010.html,
24,/cbb/boxscores/2010-02-08-siena.html,"Mon, Feb 8, 2010",REG,,/cbb/schools/fairfield/men/2010.html,Fairfield,/cbb/conferences/maac/men/2010.html,MAAC,0.40,W,69,67,21,4,W 15,Times Union Center,/cbb/schools/siena/men/2010.html,
25,/cbb/boxscores/2010-02-12-niagara.html,"Fri, Feb 12, 2010",REG,@,/cbb/schools/niagara/men/2010.html,Niagara,/cbb/conferences/maac/men/2010.html,MAAC,0.32,L,74,87,21,5,L 1,Gallagher Center,/cbb/schools/siena/men/2010.html,
