,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2009-11-09-syracuse.html,"Mon, Nov 9, 2009",REG,/cbb/schools/albany-ny/men/2010.html,Albany (NY),/cbb/conferences/america-east/men/2010.html,AEC,-11.94,W,75,43,1,0,W 1,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
1,/cbb/boxscores/2009-11-11-syracuse.html,"Wed, Nov 11, 2009",REG,/cbb/schools/robert-morris/men/2010.html,Robert Morris,/cbb/conferences/northeast/men/2010.html,NEC,-3.71,W,100,60,2,0,W 2,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
2,/cbb/boxscores/2009-11-19-california.html,"Thu, Nov 19, 2009",REG,/cbb/schools/california/men/2010.html,California,/cbb/conferences/pac-10/men/2010.html,Pac-10,17.29,W,95,73,3,0,W 3,Madison Square Garden (IV),/cbb/schools/syracuse/men/2010.html,N
3,/cbb/boxscores/2009-11-20-north-carolina.html,"Fri, Nov 20, 2009",REG,/cbb/schools/north-carolina/men/2010.html,North Carolina,/cbb/conferences/acc/men/2010.html,ACC,10.14,W,87,71,4,0,W 4,Madison Square Garden (IV),/cbb/schools/syracuse/men/2010.html,N
4,/cbb/boxscores/2009-11-24-syracuse.html,"Tue, Nov 24, 2009",REG,/cbb/schools/cornell/men/2010.html,Cornell,/cbb/conferences/ivy/men/2010.html,Ivy,8.76,W,88,73,5,0,W 5,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
5,/cbb/boxscores/2009-11-27-syracuse.html,"Fri, Nov 27, 2009",REG,/cbb/schools/columbia/men/2010.html,Columbia,/cbb/conferences/ivy/men/2010.html,Ivy,-11.75,W,85,60,6,0,W 6,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
6,/cbb/boxscores/2009-11-30-syracuse.html,"Mon, Nov 30, 2009",REG,/cbb/schools/colgate/men/2010.html,Colgate,/cbb/conferences/patriot/men/2010.html,Patriot,-11.34,W,92,58,7,0,W 7,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
7,/cbb/boxscores/2009-12-05-syracuse.html,"Sat, Dec 5, 2009",REG,/cbb/schools/maine/men/2010.html,Maine,/cbb/conferences/america-east/men/2010.html,AEC,-6.53,W,101,55,8,0,W 8,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
8,/cbb/boxscores/2009-12-10-florida.html,"Thu, Dec 10, 2009",REG,/cbb/schools/florida/men/2010.html,Florida,/cbb/conferences/sec/men/2010.html,SEC,11.89,W,85,73,9,0,W 9,St. Pete Times Forum,/cbb/schools/syracuse/men/2010.html,N
9,/cbb/boxscores/2009-12-13-syracuse.html,"Sun, Dec 13, 2009",REG,/cbb/schools/st-francis-ny/men/2010.html,St. Francis (NY),/cbb/conferences/northeast/men/2010.html,NEC,-13.83,W,75,51,10,0,W 10,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
10,/cbb/boxscores/2009-12-19-syracuse.html,"Sat, Dec 19, 2009",REG,/cbb/schools/st-bonaventure/men/2010.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2010.html,A-10,1.29,W,85,72,11,0,W 11,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
11,/cbb/boxscores/2009-12-22-syracuse.html,"Tue, Dec 22, 2009",REG,/cbb/schools/oakland/men/2010.html,Oakland,/cbb/conferences/summit/men/2010.html,Summit,-0.64,W,92,60,12,0,W 12,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
12,/cbb/boxscores/2009-12-29-seton-hall.html,"Tue, Dec 29, 2009",REG,/cbb/schools/seton-hall/men/2010.html,Seton Hall,/cbb/conferences/big-east/men/2010.html,Big East,10.43,W,80,73,13,0,W 13,Prudential Center,/cbb/schools/syracuse/men/2010.html,@
13,/cbb/boxscores/2010-01-02-syracuse.html,"Sat, Jan 2, 2010",REG,/cbb/schools/pittsburgh/men/2010.html,Pittsburgh,/cbb/conferences/big-east/men/2010.html,Big East,14.30,L,72,82,13,1,L 1,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
14,/cbb/boxscores/2010-01-06-syracuse.html,"Wed, Jan 6, 2010",REG,/cbb/schools/memphis/men/2010.html,Memphis,/cbb/conferences/cusa/men/2010.html,CUSA,11.74,W,74,57,14,1,W 1,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
15,/cbb/boxscores/2010-01-10-syracuse.html,"Sun, Jan 10, 2010",REG,/cbb/schools/south-florida/men/2010.html,South Florida,/cbb/conferences/big-east/men/2010.html,Big East,8.72,W,82,65,15,1,W 2,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
16,/cbb/boxscores/2010-01-13-rutgers.html,"Wed, Jan 13, 2010",REG,/cbb/schools/rutgers/men/2010.html,Rutgers,/cbb/conferences/big-east/men/2010.html,Big East,1.29,W,81,65,16,1,W 3,Louis Brown Athletic Center,/cbb/schools/syracuse/men/2010.html,@
17,/cbb/boxscores/2010-01-16-west-virginia.html,"Sat, Jan 16, 2010",REG,/cbb/schools/west-virginia/men/2010.html,West Virginia,/cbb/conferences/big-east/men/2010.html,Big East,19.16,W,72,71,17,1,W 4,WVU Coliseum,/cbb/schools/syracuse/men/2010.html,@
18,/cbb/boxscores/2010-01-18-notre-dame.html,"Mon, Jan 18, 2010",REG,/cbb/schools/notre-dame/men/2010.html,Notre Dame,/cbb/conferences/big-east/men/2010.html,Big East,13.14,W,84,71,18,1,W 5,Purcell Pavilion at the Joyce Center,/cbb/schools/syracuse/men/2010.html,@
19,/cbb/boxscores/2010-01-23-syracuse.html,"Sat, Jan 23, 2010",REG,/cbb/schools/marquette/men/2010.html,Marquette,/cbb/conferences/big-east/men/2010.html,Big East,15.17,W,76,71,19,1,W 6,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
20,/cbb/boxscores/2010-01-25-syracuse.html,"Mon, Jan 25, 2010",REG,/cbb/schools/georgetown/men/2010.html,Georgetown,/cbb/conferences/big-east/men/2010.html,Big East,17.03,W,73,56,20,1,W 7,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
21,/cbb/boxscores/2010-01-30-depaul.html,"Sat, Jan 30, 2010",REG,/cbb/schools/depaul/men/2010.html,DePaul,/cbb/conferences/big-east/men/2010.html,Big East,1.61,W,59,57,21,1,W 8,Allstate Arena,/cbb/schools/syracuse/men/2010.html,@
22,/cbb/boxscores/2010-02-02-syracuse.html,"Tue, Feb 2, 2010",REG,/cbb/schools/providence/men/2010.html,Providence,/cbb/conferences/big-east/men/2010.html,Big East,7.04,W,85,68,22,1,W 9,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
23,/cbb/boxscores/2010-02-07-cincinnati.html,"Sun, Feb 7, 2010",REG,/cbb/schools/cincinnati/men/2010.html,Cincinnati,/cbb/conferences/big-east/men/2010.html,Big East,9.98,W,71,54,23,1,W 10,Fifth Third Arena,/cbb/schools/syracuse/men/2010.html,@
24,/cbb/boxscores/2010-02-10-syracuse.html,"Wed, Feb 10, 2010",REG,/cbb/schools/connecticut/men/2010.html,Connecticut,/cbb/conferences/big-east/men/2010.html,Big East,12.50,W,72,67,24,1,W 11,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
25,/cbb/boxscores/2010-02-14-syracuse.html,"Sun, Feb 14, 2010",REG,/cbb/schools/louisville/men/2010.html,Louisville,/cbb/conferences/big-east/men/2010.html,Big East,14.08,L,60,66,24,2,L 1,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
26,/cbb/boxscores/2010-02-18-georgetown.html,"Thu, Feb 18, 2010",REG,/cbb/schools/georgetown/men/2010.html,Georgetown,/cbb/conferences/big-east/men/2010.html,Big East,17.03,W,75,71,25,2,W 1,Verizon Center,/cbb/schools/syracuse/men/2010.html,@
27,/cbb/boxscores/2010-02-23-providence.html,"Tue, Feb 23, 2010",REG,/cbb/schools/providence/men/2010.html,Providence,/cbb/conferences/big-east/men/2010.html,Big East,7.04,W,99,85,26,2,W 2,Dunkin Donuts Center,/cbb/schools/syracuse/men/2010.html,@
28,/cbb/boxscores/2010-02-27-syracuse.html,"Sat, Feb 27, 2010",REG,/cbb/schools/villanova/men/2010.html,Villanova,/cbb/conferences/big-east/men/2010.html,Big East,16.72,W,95,77,27,2,W 3,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
29,/cbb/boxscores/2010-03-02-syracuse.html,"Tue, Mar 2, 2010",REG,/cbb/schools/st-johns-ny/men/2010.html,St. John's (NY),/cbb/conferences/big-east/men/2010.html,Big East,9.23,W,85,66,28,2,W 4,Carrier Dome,/cbb/schools/syracuse/men/2010.html,
30,/cbb/boxscores/2010-03-06-louisville.html,"Sat, Mar 6, 2010",REG,/cbb/schools/louisville/men/2010.html,Louisville,/cbb/conferences/big-east/men/2010.html,Big East,14.08,L,68,78,28,3,L 1,Freedom Hall,/cbb/schools/syracuse/men/2010.html,@
31,/cbb/boxscores/2010-03-11-syracuse.html,"Thu, Mar 11, 2010",CTOURN,/cbb/schools/georgetown/men/2010.html,Georgetown,/cbb/conferences/big-east/men/2010.html,Big East,17.03,L,84,91,28,4,L 2,Madison Square Garden (IV),/cbb/schools/syracuse/men/2010.html,N
32,/cbb/boxscores/2010-03-19-syracuse.html,"Fri, Mar 19, 2010",NCAA,/cbb/schools/vermont/men/2010.html,Vermont,/cbb/conferences/america-east/men/2010.html,AEC,-1.26,W,79,56,29,4,W 1,HSBC Arena,/cbb/schools/syracuse/men/2010.html,N
33,/cbb/boxscores/2010-03-21-gonzaga.html,"Sun, Mar 21, 2010",NCAA,/cbb/schools/gonzaga/men/2010.html,Gonzaga,/cbb/conferences/wcc/men/2010.html,WCC,12.11,W,87,65,30,4,W 2,HSBC Arena,/cbb/schools/syracuse/men/2010.html,N
34,/cbb/boxscores/2010-03-25-butler.html,"Thu, Mar 25, 2010",NCAA,/cbb/schools/butler/men/2010.html,Butler,/cbb/conferences/horizon/men/2010.html,Horizon,14.37,L,59,63,30,5,L 1,EnergySolutions Arena,/cbb/schools/syracuse/men/2010.html,N
