,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2009-11-14-delaware.html,"Sat, Nov 14, 2009",REG,@,/cbb/schools/delaware/men/2010.html,Delaware,/cbb/conferences/colonial/men/2010.html,CAA,-7.86,W,76,56,1,0,W 1,Bob Carpenter Center,/cbb/schools/temple/men/2010.html,
1,/cbb/boxscores/2009-11-17-georgetown.html,"Tue, Nov 17, 2009",REG,@,/cbb/schools/georgetown/men/2010.html,Georgetown,/cbb/conferences/big-east/men/2010.html,Big East,17.03,L,45,46,1,1,L 1,Verizon Center,/cbb/schools/temple/men/2010.html,
2,/cbb/boxscores/2009-11-21-temple.html,"Sat, Nov 21, 2009",REG,,/cbb/schools/siena/men/2010.html,Siena,/cbb/conferences/maac/men/2010.html,MAAC,8.48,W,73,69,2,1,W 1,Liacouras Center,/cbb/schools/temple/men/2010.html,
3,/cbb/boxscores/2009-11-24-temple.html,"Tue, Nov 24, 2009",REG,,/cbb/schools/ball-state/men/2010.html,Ball State,/cbb/conferences/mac/men/2010.html,MAC,-4.85,W,66,46,3,1,W 2,Liacouras Center,/cbb/schools/temple/men/2010.html,
4,/cbb/boxscores/2009-11-27-temple.html,"Fri, Nov 27, 2009",REG,,/cbb/schools/virginia-tech/men/2010.html,Virginia Tech,/cbb/conferences/acc/men/2010.html,ACC,11.65,W,61,50,4,1,W 3,The Palestra,/cbb/schools/temple/men/2010.html,
5,/cbb/boxscores/2009-11-28-temple.html,"Sat, Nov 28, 2009",REG,,/cbb/schools/st-johns-ny/men/2010.html,St. John's (NY),/cbb/conferences/big-east/men/2010.html,Big East,9.23,L,48,55,4,2,L 1,Liacouras Center,/cbb/schools/temple/men/2010.html,
6,/cbb/boxscores/2009-12-01-western-michigan.html,"Tue, Dec 1, 2009",REG,@,/cbb/schools/western-michigan/men/2010.html,Western Michigan,/cbb/conferences/mac/men/2010.html,MAC,0.43,W,76,70,5,2,W 1,University Arena,/cbb/schools/temple/men/2010.html,
7,/cbb/boxscores/2009-12-05-temple.html,"Sat, Dec 5, 2009",REG,,/cbb/schools/penn-state/men/2010.html,Penn State,/cbb/conferences/big-ten/men/2010.html,Big Ten,6.58,W,45,42,6,2,W 2,Liacouras Center,/cbb/schools/temple/men/2010.html,
8,/cbb/boxscores/2009-12-08-miami-oh.html,"Tue, Dec 8, 2009",REG,@,/cbb/schools/miami-oh/men/2010.html,Miami (OH),/cbb/conferences/mac/men/2010.html,MAC,0.56,W,64,42,7,2,W 3,Millett Hall,/cbb/schools/temple/men/2010.html,
9,/cbb/boxscores/2009-12-13-temple.html,"Sun, Dec 13, 2009",REG,,/cbb/schools/villanova/men/2010.html,Villanova,/cbb/conferences/big-east/men/2010.html,Big East,16.72,W,75,65,8,2,W 4,Liacouras Center,/cbb/schools/temple/men/2010.html,
10,/cbb/boxscores/2009-12-19-seton-hall.html,"Sat, Dec 19, 2009",REG,@,/cbb/schools/seton-hall/men/2010.html,Seton Hall,/cbb/conferences/big-east/men/2010.html,Big East,10.43,W,71,65,9,2,W 5,Prudential Center,/cbb/schools/temple/men/2010.html,
11,/cbb/boxscores/2009-12-28-temple.html,"Mon, Dec 28, 2009",REG,,/cbb/schools/bowling-green-state/men/2010.html,Bowling Green State,/cbb/conferences/mac/men/2010.html,MAC,-4.70,W,63,39,10,2,W 6,Liacouras Center,/cbb/schools/temple/men/2010.html,
12,/cbb/boxscores/2009-12-30-northern-illinois.html,"Wed, Dec 30, 2009",REG,@,/cbb/schools/northern-illinois/men/2010.html,Northern Illinois,/cbb/conferences/mac/men/2010.html,MAC,-7.64,W,70,60,11,2,W 7,Convocation Center,/cbb/schools/temple/men/2010.html,
13,/cbb/boxscores/2010-01-02-temple.html,"Sat, Jan 2, 2010",REG,,/cbb/schools/kansas/men/2010.html,Kansas,/cbb/conferences/big-12/men/2010.html,Big 12,24.68,L,52,84,11,3,L 1,Liacouras Center,/cbb/schools/temple/men/2010.html,
14,/cbb/boxscores/2010-01-06-temple.html,"Wed, Jan 6, 2010",REG,,/cbb/schools/saint-josephs/men/2010.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2010.html,A-10,-2.13,W,73,46,12,3,W 1,Liacouras Center,/cbb/schools/temple/men/2010.html,
15,/cbb/boxscores/2010-01-10-rhode-island.html,"Sun, Jan 10, 2010",REG,@,/cbb/schools/rhode-island/men/2010.html,Rhode Island,/cbb/conferences/atlantic-10/men/2010.html,A-10,9.16,W,68,64,13,3,W 2,Thomas M. Ryan Center,/cbb/schools/temple/men/2010.html,OT
16,/cbb/boxscores/2010-01-13-pennsylvania.html,"Wed, Jan 13, 2010",REG,@,/cbb/schools/pennsylvania/men/2010.html,Pennsylvania,/cbb/conferences/ivy/men/2010.html,Ivy,-13.31,W,60,45,14,3,W 3,The Palestra,/cbb/schools/temple/men/2010.html,
17,/cbb/boxscores/2010-01-16-temple.html,"Sat, Jan 16, 2010",REG,,/cbb/schools/massachusetts/men/2010.html,Massachusetts,/cbb/conferences/atlantic-10/men/2010.html,A-10,-1.76,W,76,64,15,3,W 4,Liacouras Center,/cbb/schools/temple/men/2010.html,
18,/cbb/boxscores/2010-01-20-temple.html,"Wed, Jan 20, 2010",REG,,/cbb/schools/xavier/men/2010.html,Xavier,/cbb/conferences/atlantic-10/men/2010.html,A-10,16.23,W,77,72,16,3,W 5,Liacouras Center,/cbb/schools/temple/men/2010.html,
