,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2009-11-13-texas-am.html,"Fri, Nov 13, 2009",REG,Angelo State,,W,88,69,1,0,W 1,Reed Arena,/cbb/schools/texas-am/men/2010.html,,,,,
1,/cbb/boxscores/2009-11-16-southern-methodist.html,"Mon, Nov 16, 2009",REG,Southern Methodist,CUSA,W,80,68,2,0,W 2,Moody Coliseum,/cbb/schools/texas-am/men/2010.html,@,/cbb/schools/southern-methodist/men/2010.html,/cbb/conferences/cusa/men/2010.html,2.39,
2,/cbb/boxscores/2009-11-20-texas-am.html,"Fri, Nov 20, 2009",REG,Samford,Southern,W,68,49,3,0,W 3,Reed Arena,/cbb/schools/texas-am/men/2010.html,,/cbb/schools/samford/men/2010.html,/cbb/conferences/southern/men/2010.html,-7.32,
3,/cbb/boxscores/2009-11-26-clemson.html,"Thu, Nov 26, 2009",REG,Clemson,ACC,W,69,60,4,0,W 4,Honda Center,/cbb/schools/texas-am/men/2010.html,N,/cbb/schools/clemson/men/2010.html,/cbb/conferences/acc/men/2010.html,15.71,
4,/cbb/boxscores/2009-11-27-texas-am.html,"Fri, Nov 27, 2009",REG,West Virginia,Big East,L,66,73,4,1,L 1,Anaheim Convention Center,/cbb/schools/texas-am/men/2010.html,N,/cbb/schools/west-virginia/men/2010.html,/cbb/conferences/big-east/men/2010.html,19.16,
5,/cbb/boxscores/2009-11-29-minnesota.html,"Sun, Nov 29, 2009",REG,Minnesota,Big Ten,W,66,65,5,1,W 1,Honda Center,/cbb/schools/texas-am/men/2010.html,N,/cbb/schools/minnesota/men/2010.html,/cbb/conferences/big-ten/men/2010.html,15.64,
6,/cbb/boxscores/2009-12-02-texas-am.html,"Wed, Dec 2, 2009",REG,Prairie View,SWAC,W,84,59,6,1,W 2,Reed Arena,/cbb/schools/texas-am/men/2010.html,,/cbb/schools/prairie-view/men/2010.html,/cbb/conferences/swac/men/2010.html,-15.79,
7,/cbb/boxscores/2009-12-04-texas-am.html,"Fri, Dec 4, 2009",REG,Akron,MAC,W,74,62,7,1,W 3,Reed Arena,/cbb/schools/texas-am/men/2010.html,,/cbb/schools/akron/men/2010.html,/cbb/conferences/mac/men/2010.html,2.82,
8,/cbb/boxscores/2009-12-07-texas-am.html,"Mon, Dec 7, 2009",REG,North Texas,Sun Belt,W,75,65,8,1,W 4,Reed Arena,/cbb/schools/texas-am/men/2010.html,,/cbb/schools/north-texas/men/2010.html,/cbb/conferences/sun-belt/men/2010.html,-2.49,
9,/cbb/boxscores/2009-12-12-texas-am.html,"Sat, Dec 12, 2009",REG,New Mexico,MWC,L,81,84,8,2,L 1,Toyota Center,/cbb/schools/texas-am/men/2010.html,N,/cbb/schools/new-mexico/men/2010.html,/cbb/conferences/mwc/men/2010.html,12.49,
10,/cbb/boxscores/2009-12-19-texas-am.html,"Sat, Dec 19, 2009",REG,The Citadel,Southern,W,71,50,9,2,W 1,Reed Arena,/cbb/schools/texas-am/men/2010.html,,/cbb/schools/citadel/men/2010.html,/cbb/conferences/southern/men/2010.html,-3.44,
11,/cbb/boxscores/2009-12-22-washington.html,"Tue, Dec 22, 2009",REG,Washington,Pac-10,L,64,73,9,3,L 1,Bank of America Arena,/cbb/schools/texas-am/men/2010.html,@,/cbb/schools/washington/men/2010.html,/cbb/conferences/pac-10/men/2010.html,15.64,
12,/cbb/boxscores/2010-01-02-texas-am.html,"Sat, Jan 2, 2010",REG,Northwestern State,Southland,W,89,63,10,3,W 1,Reed Arena,/cbb/schools/texas-am/men/2010.html,,/cbb/schools/northwestern-state/men/2010.html,/cbb/conferences/southland/men/2010.html,-14.98,
13,/cbb/boxscores/2010-01-05-texas-am.html,"Tue, Jan 5, 2010",REG,North Dakota,GWC,W,82,41,11,3,W 2,Reed Arena,/cbb/schools/texas-am/men/2010.html,,,/cbb/conferences/great-west/men/2010.html,,
14,/cbb/boxscores/2010-01-09-texas-am.html,"Sat, Jan 9, 2010",REG,Nebraska,Big 12,W,64,53,12,3,W 3,Reed Arena,/cbb/schools/texas-am/men/2010.html,,/cbb/schools/nebraska/men/2010.html,/cbb/conferences/big-12/men/2010.html,6.60,
15,/cbb/boxscores/2010-01-12-kansas-state.html,"Tue, Jan 12, 2010",REG,Kansas State,Big 12,L,65,88,12,4,L 1,Bramlage Coliseum,/cbb/schools/texas-am/men/2010.html,@,/cbb/schools/kansas-state/men/2010.html,/cbb/conferences/big-12/men/2010.html,19.88,
