,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2009-11-13-weber-state.html,"Fri, Nov 13, 2009",REG,@,/cbb/schools/weber-state/men/2010.html,Weber State,/cbb/conferences/big-sky/men/2010.html,Big Sky,3.71,W,66,60,1,0,W 1,Dee Events Center,/cbb/schools/utah-state/men/2010.html,
1,/cbb/boxscores/2009-11-18-utah.html,"Wed, Nov 18, 2009",REG,@,/cbb/schools/utah/men/2010.html,Utah,/cbb/conferences/mwc/men/2010.html,MWC,4.29,L,67,68,1,1,L 1,Jon M. Huntsman Center,/cbb/schools/utah-state/men/2010.html,
2,/cbb/boxscores/2009-11-21-northeastern.html,"Sat, Nov 21, 2009",REG,@,/cbb/schools/northeastern/men/2010.html,Northeastern,/cbb/conferences/colonial/men/2010.html,CAA,6.48,L,61,64,1,2,L 2,Matthews Arena,/cbb/schools/utah-state/men/2010.html,
3,/cbb/boxscores/2009-11-24-utah-state.html,"Tue, Nov 24, 2009",REG,,/cbb/schools/idaho-state/men/2010.html,Idaho State,/cbb/conferences/big-sky/men/2010.html,Big Sky,-10.29,W,77,44,2,2,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
4,/cbb/boxscores/2009-11-28-utah-state.html,"Sat, Nov 28, 2009",REG,,/cbb/schools/southern-utah/men/2010.html,Southern Utah,/cbb/conferences/summit/men/2010.html,Summit,-17.42,W,89,49,3,2,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
5,/cbb/boxscores/2009-12-02-utah-state.html,"Wed, Dec 2, 2009",REG,,/cbb/schools/brigham-young/men/2010.html,Brigham Young,/cbb/conferences/mwc/men/2010.html,MWC,18.82,W,71,61,4,2,W 3,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
6,/cbb/boxscores/2009-12-05-utah-state.html,"Sat, Dec 5, 2009",REG,,/cbb/schools/saint-marys-ca/men/2010.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2010.html,WCC,13.38,L,63,68,4,3,L 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
7,/cbb/boxscores/2009-12-12-utah-state.html,"Sat, Dec 12, 2009",REG,,/cbb/schools/utah-valley/men/2010.html,Utah Valley,/cbb/conferences/great-west/men/2010.html,GWC,-16.18,W,87,56,5,3,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
8,/cbb/boxscores/2009-12-16-cal-state-bakersfield.html,"Wed, Dec 16, 2009",REG,@,,Cal State Bakersfield,/cbb/conferences/independent/men/2010.html,Ind,,W,68,51,6,3,W 2,Rabobank Arena,/cbb/schools/utah-state/men/2010.html,
9,/cbb/boxscores/2009-12-18-long-beach-state.html,"Fri, Dec 18, 2009",REG,@,/cbb/schools/long-beach-state/men/2010.html,Long Beach State,/cbb/conferences/big-west/men/2010.html,Big West,-0.42,L,62,75,6,4,L 1,The Walter Pyramid,/cbb/schools/utah-state/men/2010.html,
10,/cbb/boxscores/2009-12-21-utah-state.html,"Mon, Dec 21, 2009",REG,,/cbb/schools/morehead-state/men/2010.html,Morehead State,/cbb/conferences/ovc/men/2010.html,OVC,3.51,W,79,72,7,4,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
11,/cbb/boxscores/2009-12-22-utah-state.html,"Tue, Dec 22, 2009",REG,,/cbb/schools/cal-state-fullerton/men/2010.html,Cal State Fullerton,/cbb/conferences/big-west/men/2010.html,Big West,-2.87,W,83,60,8,4,W 2,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
12,/cbb/boxscores/2009-12-23-utah-state.html,"Wed, Dec 23, 2009",REG,,/cbb/schools/weber-state/men/2010.html,Weber State,/cbb/conferences/big-sky/men/2010.html,Big Sky,3.71,W,85,73,9,4,W 3,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
13,/cbb/boxscores/2009-12-29-utah-state.html,"Tue, Dec 29, 2009",REG,,,Western Oregon,,,,W,78,42,10,4,W 4,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
14,/cbb/boxscores/2010-01-02-new-mexico-state.html,"Sat, Jan 2, 2010",REG,@,/cbb/schools/new-mexico-state/men/2010.html,New Mexico State,/cbb/conferences/wac/men/2010.html,WAC,2.06,L,52,55,10,5,L 1,Pan American Center,/cbb/schools/utah-state/men/2010.html,
15,/cbb/boxscores/2010-01-04-louisiana-tech.html,"Mon, Jan 4, 2010",REG,@,/cbb/schools/louisiana-tech/men/2010.html,Louisiana Tech,/cbb/conferences/wac/men/2010.html,WAC,2.89,L,60,82,10,6,L 2,Thomas Assembly Center,/cbb/schools/utah-state/men/2010.html,
16,/cbb/boxscores/2010-01-11-utah-state.html,"Mon, Jan 11, 2010",REG,,/cbb/schools/hawaii/men/2010.html,Hawaii,/cbb/conferences/wac/men/2010.html,WAC,-4.91,W,98,54,11,6,W 1,Dee Glen Smith Spectrum,/cbb/schools/utah-state/men/2010.html,
