,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-wake-forest.html,"Fri, Nov 13, 2009",REG,/cbb/schools/oral-roberts/men/2010.html,Oral Roberts,/cbb/conferences/summit/men/2010.html,Summit,-0.88,W,76,56,1,0,W 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2010.html,,
1,/cbb/boxscores/2009-11-15-east-carolina.html,"Sun, Nov 15, 2009",REG,/cbb/schools/east-carolina/men/2010.html,East Carolina,/cbb/conferences/cusa/men/2010.html,CUSA,-5.91,W,89,58,2,0,W 2,Greensboro Coliseum,/cbb/schools/wake-forest/men/2010.html,N,
2,/cbb/boxscores/2009-11-18-wake-forest.html,"Wed, Nov 18, 2009",REG,/cbb/schools/high-point/men/2010.html,High Point,/cbb/conferences/big-south/men/2010.html,Big South,-14.63,W,83,60,3,0,W 3,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2010.html,,
3,/cbb/boxscores/2009-11-24-wake-forest.html,"Tue, Nov 24, 2009",REG,,Winston-Salem,/cbb/conferences/meac/men/2010.html,MEAC,,W,76,52,4,0,W 4,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2010.html,,
4,/cbb/boxscores/2009-11-28-wake-forest.html,"Sat, Nov 28, 2009",REG,/cbb/schools/william-mary/men/2010.html,William & Mary,/cbb/conferences/colonial/men/2010.html,CAA,2.82,L,68,78,4,1,L 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2010.html,,
5,/cbb/boxscores/2009-12-01-purdue.html,"Tue, Dec 1, 2009",REG,/cbb/schools/purdue/men/2010.html,Purdue,/cbb/conferences/big-ten/men/2010.html,Big Ten,17.52,L,58,69,4,2,L 2,Mackey Arena,/cbb/schools/wake-forest/men/2010.html,@,
6,/cbb/boxscores/2009-12-05-gonzaga.html,"Sat, Dec 5, 2009",REG,/cbb/schools/gonzaga/men/2010.html,Gonzaga,/cbb/conferences/wcc/men/2010.html,WCC,12.11,W,77,75,5,2,W 1,McCarthey Athletic Center,/cbb/schools/wake-forest/men/2010.html,@,
7,/cbb/boxscores/2009-12-13-wake-forest.html,"Sun, Dec 13, 2009",REG,/cbb/schools/elon/men/2010.html,Elon,/cbb/conferences/southern/men/2010.html,Southern,-10.40,W,90,50,6,2,W 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2010.html,,
8,/cbb/boxscores/2009-12-16-north-carolina-wilmington.html,"Wed, Dec 16, 2009",REG,/cbb/schools/north-carolina-wilmington/men/2010.html,UNC Wilmington,/cbb/conferences/colonial/men/2010.html,CAA,-4.35,W,80,69,7,2,W 3,Trask Coliseum,/cbb/schools/wake-forest/men/2010.html,@,
9,/cbb/boxscores/2009-12-20-wake-forest.html,"Sun, Dec 20, 2009",REG,/cbb/schools/north-carolina-state/men/2010.html,NC State,/cbb/conferences/acc/men/2010.html,ACC,8.47,W,67,59,8,2,W 4,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/wake-forest/men/2010.html,,
