,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2009-11-13-washington.html,"Fri, Nov 13, 2009",REG,/cbb/schools/wright-state/men/2010.html,Wright State,/cbb/conferences/horizon/men/2010.html,Horizon,6.81,W,74,69,1,0,W 1,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
1,/cbb/boxscores/2009-11-14-washington.html,"Sat, Nov 14, 2009",REG,/cbb/schools/belmont/men/2010.html,Belmont,/cbb/conferences/atlantic-sun/men/2010.html,A-Sun,1.30,W,96,78,2,0,W 2,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
2,/cbb/boxscores/2009-11-15-washington.html,"Sun, Nov 15, 2009",REG,/cbb/schools/portland-state/men/2010.html,Portland State,/cbb/conferences/big-sky/men/2010.html,Big Sky,-3.49,W,111,55,3,0,W 3,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
3,/cbb/boxscores/2009-11-20-washington.html,"Fri, Nov 20, 2009",REG,/cbb/schools/san-jose-state/men/2010.html,San Jose State,/cbb/conferences/wac/men/2010.html,WAC,-2.06,W,80,70,4,0,W 4,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
4,/cbb/boxscores/2009-11-29-washington.html,"Sun, Nov 29, 2009",REG,/cbb/schools/montana/men/2010.html,Montana,/cbb/conferences/big-sky/men/2010.html,Big Sky,3.93,W,63,59,5,0,W 5,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
5,/cbb/boxscores/2009-12-03-texas-tech.html,"Thu, Dec 3, 2009",REG,/cbb/schools/texas-tech/men/2010.html,Texas Tech,/cbb/conferences/big-12/men/2010.html,Big 12,7.97,L,92,99,5,1,L 1,United Spirit Arena,/cbb/schools/washington/men/2010.html,@,OT
6,/cbb/boxscores/2009-12-06-washington.html,"Sun, Dec 6, 2009",REG,/cbb/schools/cal-state-northridge/men/2010.html,Cal State Northridge,/cbb/conferences/big-west/men/2010.html,Big West,-5.81,W,88,76,6,1,W 1,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
7,/cbb/boxscores/2009-12-12-washington.html,"Sat, Dec 12, 2009",REG,/cbb/schools/georgetown/men/2010.html,Georgetown,/cbb/conferences/big-east/men/2010.html,Big East,17.03,L,66,74,6,2,L 1,Honda Center,/cbb/schools/washington/men/2010.html,N,
8,/cbb/boxscores/2009-12-19-washington.html,"Sat, Dec 19, 2009",REG,/cbb/schools/portland/men/2010.html,Portland,/cbb/conferences/wcc/men/2010.html,WCC,6.35,W,89,54,7,2,W 1,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
9,/cbb/boxscores/2009-12-22-washington.html,"Tue, Dec 22, 2009",REG,/cbb/schools/texas-am/men/2010.html,Texas A&M,/cbb/conferences/big-12/men/2010.html,Big 12,15.24,W,73,64,8,2,W 2,Bank of America Arena,/cbb/schools/washington/men/2010.html,,
