,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2010-11-12-akron.html,"Fri, Nov 12, 2010",REG,Millikin,,W,89,41,1,0,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,,,,
1,/cbb/boxscores/2010-11-16-dayton.html,"Tue, Nov 16, 2010",REG,Dayton,A-10,L,68,76,1,1,L 1,University of Dayton Arena,/cbb/schools/akron/men/2011.html,@,/cbb/schools/dayton/men/2011.html,/cbb/conferences/atlantic-10/men/2011.html,4.87,
2,/cbb/boxscores/2010-11-20-akron.html,"Sat, Nov 20, 2010",REG,Youngstown State,Horizon,W,91,84,2,1,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/youngstown-state/men/2011.html,/cbb/conferences/horizon/men/2011.html,-6.40,OT
3,/cbb/boxscores/2010-11-24-akron.html,"Wed, Nov 24, 2010",REG,Cleveland State,Horizon,L,51,64,2,2,L 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/cleveland-state/men/2011.html,/cbb/conferences/horizon/men/2011.html,7.59,
4,/cbb/boxscores/2010-12-01-detroit-mercy.html,"Wed, Dec 1, 2010",REG,Detroit Mercy,Horizon,W,77,69,3,2,W 1,Calihan Hall,/cbb/schools/akron/men/2011.html,@,/cbb/schools/detroit-mercy/men/2011.html,/cbb/conferences/horizon/men/2011.html,1.88,
5,/cbb/boxscores/2010-12-04-illinois-chicago.html,"Sat, Dec 4, 2010",REG,Illinois-Chicago,Horizon,W,54,52,4,2,W 2,UIC Pavilion,/cbb/schools/akron/men/2011.html,@,/cbb/schools/illinois-chicago/men/2011.html,/cbb/conferences/horizon/men/2011.html,-6.32,
6,/cbb/boxscores/2010-12-12-temple.html,"Sun, Dec 12, 2010",REG,Temple,A-10,L,47,82,4,3,L 1,Liacouras Center,/cbb/schools/akron/men/2011.html,@,/cbb/schools/temple/men/2011.html,/cbb/conferences/atlantic-10/men/2011.html,12.35,
7,/cbb/boxscores/2010-12-15-minnesota.html,"Wed, Dec 15, 2010",REG,Minnesota,Big Ten,L,58,66,4,4,L 2,Williams Arena,/cbb/schools/akron/men/2011.html,@,/cbb/schools/minnesota/men/2011.html,/cbb/conferences/big-ten/men/2011.html,11.75,
8,/cbb/boxscores/2010-12-18-akron.html,"Sat, Dec 18, 2010",REG,Bethune-Cookman,MEAC,W,77,66,5,4,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/bethune-cookman/men/2011.html,/cbb/conferences/meac/men/2011.html,-11.11,OT
9,/cbb/boxscores/2010-12-21-arkansas-little-rock.html,"Tue, Dec 21, 2010",REG,Little Rock,Sun Belt,W,75,61,6,4,W 2,South Point Arena,/cbb/schools/akron/men/2011.html,N,/cbb/schools/arkansas-little-rock/men/2011.html,/cbb/conferences/sun-belt/men/2011.html,-4.32,
10,/cbb/boxscores/2010-12-22-akron.html,"Wed, Dec 22, 2010",REG,Stetson,A-Sun,W,72,56,7,4,W 3,South Point Arena,/cbb/schools/akron/men/2011.html,N,/cbb/schools/stetson/men/2011.html,/cbb/conferences/atlantic-sun/men/2011.html,-10.73,
11,/cbb/boxscores/2010-12-23-miami-fl.html,"Thu, Dec 23, 2010",REG,Miami (FL),ACC,L,61,69,7,5,L 1,South Point Arena,/cbb/schools/akron/men/2011.html,N,/cbb/schools/miami-fl/men/2011.html,/cbb/conferences/acc/men/2011.html,10.47,
12,/cbb/boxscores/2010-12-29-akron.html,"Wed, Dec 29, 2010",REG,Arkansas-Pine Bluff,SWAC,W,87,60,8,5,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/arkansas-pine-bluff/men/2011.html,/cbb/conferences/swac/men/2011.html,-20.00,
13,/cbb/boxscores/2011-01-03-akron.html,"Mon, Jan 3, 2011",REG,Oral Roberts,Summit,W,84,80,9,5,W 2,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/oral-roberts/men/2011.html,/cbb/conferences/summit/men/2011.html,0.86,
14,/cbb/boxscores/2011-01-08-akron.html,"Sat, Jan 8, 2011",REG,Kent State,MAC,W,65,62,10,5,W 3,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/kent-state/men/2011.html,/cbb/conferences/mac/men/2011.html,3.65,
15,/cbb/boxscores/2011-01-12-akron.html,"Wed, Jan 12, 2011",REG,Ohio,MAC,L,70,79,10,6,L 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/ohio/men/2011.html,/cbb/conferences/mac/men/2011.html,0.59,
16,/cbb/boxscores/2011-01-16-buffalo.html,"Sun, Jan 16, 2011",REG,Buffalo,MAC,L,70,73,10,7,L 2,Alumni Arena,/cbb/schools/akron/men/2011.html,@,/cbb/schools/buffalo/men/2011.html,/cbb/conferences/mac/men/2011.html,2.93,
17,/cbb/boxscores/2011-01-19-miami-oh.html,"Wed, Jan 19, 2011",REG,Miami (OH),MAC,L,76,84,10,8,L 3,Millett Hall,/cbb/schools/akron/men/2011.html,@,/cbb/schools/miami-oh/men/2011.html,/cbb/conferences/mac/men/2011.html,-1.58,
18,/cbb/boxscores/2011-01-22-akron.html,"Sat, Jan 22, 2011",REG,Bowling Green State,MAC,W,63,58,11,8,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/bowling-green-state/men/2011.html,/cbb/conferences/mac/men/2011.html,-5.94,
19,/cbb/boxscores/2011-01-26-northern-illinois.html,"Wed, Jan 26, 2011",REG,Northern Illinois,MAC,L,74,83,11,9,L 1,Convocation Center,/cbb/schools/akron/men/2011.html,@,/cbb/schools/northern-illinois/men/2011.html,/cbb/conferences/mac/men/2011.html,-8.05,
20,/cbb/boxscores/2011-01-30-akron.html,"Sun, Jan 30, 2011",REG,Central Michigan,MAC,W,63,43,12,9,W 1,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/central-michigan/men/2011.html,/cbb/conferences/mac/men/2011.html,-8.01,
21,/cbb/boxscores/2011-02-02-eastern-michigan.html,"Wed, Feb 2, 2011",REG,Eastern Michigan,MAC,L,56,60,12,10,L 1,Convocation Center,/cbb/schools/akron/men/2011.html,@,/cbb/schools/eastern-michigan/men/2011.html,/cbb/conferences/mac/men/2011.html,-9.11,
22,/cbb/boxscores/2011-02-05-toledo.html,"Sat, Feb 5, 2011",REG,Toledo,MAC,W,59,41,13,10,W 1,Savage Arena,/cbb/schools/akron/men/2011.html,@,/cbb/schools/toledo/men/2011.html,/cbb/conferences/mac/men/2011.html,-14.75,
23,/cbb/boxscores/2011-02-09-akron.html,"Wed, Feb 9, 2011",REG,Western Michigan,MAC,W,83,71,14,10,W 2,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/western-michigan/men/2011.html,/cbb/conferences/mac/men/2011.html,-0.70,
24,/cbb/boxscores/2011-02-12-akron.html,"Sat, Feb 12, 2011",REG,Ball State,MAC,W,75,60,15,10,W 3,James A. Rhodes Arena,/cbb/schools/akron/men/2011.html,,/cbb/schools/ball-state/men/2011.html,/cbb/conferences/mac/men/2011.html,-0.70,
25,/cbb/boxscores/2011-02-15-bowling-green-state.html,"Tue, Feb 15, 2011",REG,Bowling Green State,MAC,W,89,54,16,10,W 4,Anderson Arena,/cbb/schools/akron/men/2011.html,@,/cbb/schools/bowling-green-state/men/2011.html,/cbb/conferences/mac/men/2011.html,-5.94,
