,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-14-arizona.html,"Sun, Nov 14, 2010",REG,/cbb/schools/idaho-state/men/2011.html,Idaho State,/cbb/conferences/big-sky/men/2011.html,Big Sky,-10.76,W,90,42,1,0,W 1,McKale Center,/cbb/schools/arizona/men/2011.html,,
1,/cbb/boxscores/2010-11-18-arizona.html,"Thu, Nov 18, 2010",REG,/cbb/schools/new-mexico-state/men/2011.html,New Mexico State,/cbb/conferences/wac/men/2011.html,WAC,2.11,W,83,57,2,0,W 2,McKale Center,/cbb/schools/arizona/men/2011.html,,
2,/cbb/boxscores/2010-11-21-arizona.html,"Sun, Nov 21, 2010",REG,/cbb/schools/northern-colorado/men/2011.html,Northern Colorado,/cbb/conferences/big-sky/men/2011.html,Big Sky,1.39,W,93,70,3,0,W 3,McKale Center,/cbb/schools/arizona/men/2011.html,,
3,/cbb/boxscores/2010-11-23-arizona.html,"Tue, Nov 23, 2010",REG,/cbb/schools/bethune-cookman/men/2011.html,Bethune-Cookman,/cbb/conferences/meac/men/2011.html,MEAC,-11.11,W,78,45,4,0,W 4,McKale Center,/cbb/schools/arizona/men/2011.html,,
4,/cbb/boxscores/2010-11-26-arizona.html,"Fri, Nov 26, 2010",REG,/cbb/schools/santa-clara/men/2011.html,Santa Clara,/cbb/conferences/wcc/men/2011.html,WCC,3.06,W,82,59,5,0,W 5,Orleans Arena,/cbb/schools/arizona/men/2011.html,N,
5,/cbb/boxscores/2010-11-27-kansas.html,"Sat, Nov 27, 2010",REG,/cbb/schools/kansas/men/2011.html,Kansas,/cbb/conferences/big-12/men/2011.html,Big 12,24.10,L,79,87,5,1,L 1,Orleans Arena,/cbb/schools/arizona/men/2011.html,N,
6,/cbb/boxscores/2010-12-01-rice.html,"Wed, Dec 1, 2010",REG,/cbb/schools/rice/men/2011.html,Rice,/cbb/conferences/cusa/men/2011.html,CUSA,1.67,W,84,57,6,1,W 1,Tudor Fieldhouse,/cbb/schools/arizona/men/2011.html,@,
7,/cbb/boxscores/2010-12-05-arizona.html,"Sun, Dec 5, 2010",REG,/cbb/schools/oklahoma/men/2011.html,Oklahoma,/cbb/conferences/big-12/men/2011.html,Big 12,3.71,W,83,60,7,1,W 2,McKale Center,/cbb/schools/arizona/men/2011.html,,
8,/cbb/boxscores/2010-12-08-arizona.html,"Wed, Dec 8, 2010",REG,/cbb/schools/cal-state-fullerton/men/2011.html,Cal State Fullerton,/cbb/conferences/big-west/men/2011.html,Big West,-7.68,W,73,62,8,1,W 3,McKale Center,/cbb/schools/arizona/men/2011.html,,
9,/cbb/boxscores/2010-12-11-brigham-young.html,"Sat, Dec 11, 2010",REG,/cbb/schools/brigham-young/men/2011.html,Brigham Young,/cbb/conferences/mwc/men/2011.html,MWC,18.65,L,65,87,8,2,L 1,EnergySolutions Arena,/cbb/schools/arizona/men/2011.html,N,
10,/cbb/boxscores/2010-12-16-arizona.html,"Thu, Dec 16, 2010",REG,/cbb/schools/northern-arizona/men/2011.html,Northern Arizona,/cbb/conferences/big-sky/men/2011.html,Big Sky,0.62,W,63,58,9,2,W 1,McKale Center,/cbb/schools/arizona/men/2011.html,,
11,/cbb/boxscores/2010-12-19-north-carolina-state.html,"Sun, Dec 19, 2010",REG,/cbb/schools/north-carolina-state/men/2011.html,NC State,/cbb/conferences/acc/men/2011.html,ACC,7.02,W,72,62,10,2,W 2,RBC Center,/cbb/schools/arizona/men/2011.html,@,
12,/cbb/boxscores/2010-12-22-arizona.html,"Wed, Dec 22, 2010",REG,/cbb/schools/robert-morris/men/2011.html,Robert Morris,/cbb/conferences/northeast/men/2011.html,NEC,-0.80,W,82,56,11,2,W 3,McKale Center,/cbb/schools/arizona/men/2011.html,,
13,/cbb/boxscores/2010-12-30-oregon.html,"Thu, Dec 30, 2010",REG,/cbb/schools/oregon/men/2011.html,Oregon,/cbb/conferences/pac-10/men/2011.html,Pac-10,6.92,W,76,57,12,2,W 4,McArthur Court,/cbb/schools/arizona/men/2011.html,@,
14,/cbb/boxscores/2011-01-02-oregon-state.html,"Sun, Jan 2, 2011",REG,/cbb/schools/oregon-state/men/2011.html,Oregon State,/cbb/conferences/pac-10/men/2011.html,Pac-10,1.51,L,75,76,12,3,L 1,Gill Coliseum,/cbb/schools/arizona/men/2011.html,@,
15,/cbb/boxscores/2011-01-06-arizona.html,"Thu, Jan 6, 2011",REG,/cbb/schools/california/men/2011.html,California,/cbb/conferences/pac-10/men/2011.html,Pac-10,9.45,W,73,71,13,3,W 1,McKale Center,/cbb/schools/arizona/men/2011.html,,
16,/cbb/boxscores/2011-01-09-arizona.html,"Sun, Jan 9, 2011",REG,/cbb/schools/stanford/men/2011.html,Stanford,/cbb/conferences/pac-10/men/2011.html,Pac-10,6.40,W,67,57,14,3,W 2,McKale Center,/cbb/schools/arizona/men/2011.html,,
17,/cbb/boxscores/2011-01-15-arizona.html,"Sat, Jan 15, 2011",REG,/cbb/schools/arizona-state/men/2011.html,Arizona State,/cbb/conferences/pac-10/men/2011.html,Pac-10,4.30,W,80,69,15,3,W 3,McKale Center,/cbb/schools/arizona/men/2011.html,,
18,/cbb/boxscores/2011-01-20-washington.html,"Thu, Jan 20, 2011",REG,/cbb/schools/washington/men/2011.html,Washington,/cbb/conferences/pac-10/men/2011.html,Pac-10,20.12,L,68,85,15,4,L 1,Alaska Airlines Arena,/cbb/schools/arizona/men/2011.html,@,
19,/cbb/boxscores/2011-01-22-washington-state.html,"Sat, Jan 22, 2011",REG,/cbb/schools/washington-state/men/2011.html,Washington State,/cbb/conferences/pac-10/men/2011.html,Pac-10,12.27,W,65,63,16,4,W 1,Friel Court at Beasley Coliseum,/cbb/schools/arizona/men/2011.html,@,
