,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2010-11-16-tennessee.html,"Tue, Nov 16, 2010",REG,@,/cbb/schools/tennessee/men/2011.html,Tennessee,/cbb/conferences/sec/men/2011.html,SEC,11.08,L,76,85,0,1,L 1,Thompson-Boling Arena,/cbb/schools/belmont/men/2011.html,
1,/cbb/boxscores/2010-11-17-arkansas-state.html,"Wed, Nov 17, 2010",REG,N,/cbb/schools/arkansas-state/men/2011.html,Arkansas State,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-3.38,W,93,60,1,1,W 1,Thompson-Boling Arena,/cbb/schools/belmont/men/2011.html,
2,/cbb/boxscores/2010-11-22-belmont.html,"Mon, Nov 22, 2010",REG,N,/cbb/schools/marist/men/2011.html,Marist,/cbb/conferences/maac/men/2011.html,MAAC,-13.70,W,102,74,2,1,W 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/belmont/men/2011.html,
3,/cbb/boxscores/2010-11-23-belmont.html,"Tue, Nov 23, 2010",REG,N,/cbb/schools/winthrop/men/2011.html,Winthrop,/cbb/conferences/big-south/men/2011.html,Big South,-5.38,W,71,44,3,1,W 3,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/belmont/men/2011.html,
4,/cbb/boxscores/2010-11-29-tennessee-state.html,"Mon, Nov 29, 2010",REG,@,/cbb/schools/tennessee-state/men/2011.html,Tennessee State,/cbb/conferences/ovc/men/2011.html,OVC,-7.12,W,87,72,4,1,W 4,Gentry Center Complex,/cbb/schools/belmont/men/2011.html,
5,/cbb/boxscores/2010-12-02-belmont.html,"Thu, Dec 2, 2010",REG,,/cbb/schools/mercer/men/2011.html,Mercer,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-4.08,W,89,67,5,1,W 5,Curb Event Center,/cbb/schools/belmont/men/2011.html,
6,/cbb/boxscores/2010-12-04-vanderbilt.html,"Sat, Dec 4, 2010",REG,@,/cbb/schools/vanderbilt/men/2011.html,Vanderbilt,/cbb/conferences/sec/men/2011.html,SEC,15.10,L,76,85,5,2,L 1,Memorial Gymnasium,/cbb/schools/belmont/men/2011.html,
7,/cbb/boxscores/2010-12-07-belmont.html,"Tue, Dec 7, 2010",REG,,/cbb/schools/middle-tennessee/men/2011.html,Middle Tennessee,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-2.74,W,88,87,6,2,W 1,Curb Event Center,/cbb/schools/belmont/men/2011.html,2OT
8,/cbb/boxscores/2010-12-16-belmont.html,"Thu, Dec 16, 2010",REG,,/cbb/schools/kennesaw-state/men/2011.html,Kennesaw State,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-14.06,W,87,60,7,2,W 2,Curb Event Center,/cbb/schools/belmont/men/2011.html,
9,/cbb/boxscores/2010-12-18-troy.html,"Sat, Dec 18, 2010",REG,@,/cbb/schools/troy/men/2011.html,Troy,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-9.48,W,98,63,8,2,W 3,Sartain Hall,/cbb/schools/belmont/men/2011.html,
