,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2010-11-12-northeastern.html,"Fri, Nov 12, 2010",REG,@,/cbb/schools/northeastern/men/2011.html,Northeastern,/cbb/conferences/colonial/men/2011.html,CAA,-2.67,L,64,66,0,1,L 1,Matthews Arena,/cbb/schools/boston-university/men/2011.html,
1,/cbb/boxscores/2010-11-16-george-washington.html,"Tue, Nov 16, 2010",REG,N,/cbb/schools/george-washington/men/2011.html,George Washington,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.10,W,76,67,1,1,W 1,The Pavilion,/cbb/schools/boston-university/men/2011.html,
2,/cbb/boxscores/2010-11-17-villanova.html,"Wed, Nov 17, 2010",REG,@,/cbb/schools/villanova/men/2011.html,Villanova,/cbb/conferences/big-east/men/2011.html,Big East,15.05,L,66,82,1,2,L 1,The Pavilion,/cbb/schools/boston-university/men/2011.html,
3,/cbb/boxscores/2010-11-19-boston-university.html,"Fri, Nov 19, 2010",REG,,/cbb/schools/marist/men/2011.html,Marist,/cbb/conferences/maac/men/2011.html,MAAC,-13.70,W,58,37,2,2,W 1,Agganis Arena,/cbb/schools/boston-university/men/2011.html,
4,/cbb/boxscores/2010-11-22-boston-university.html,"Mon, Nov 22, 2010",REG,N,/cbb/schools/hampton/men/2011.html,Hampton,/cbb/conferences/meac/men/2011.html,MEAC,-5.20,L,50,51,2,3,L 1,Charles E. Smith Center,/cbb/schools/boston-university/men/2011.html,
5,/cbb/boxscores/2010-11-23-nevada.html,"Tue, Nov 23, 2010",REG,N,/cbb/schools/nevada/men/2011.html,Nevada,/cbb/conferences/wac/men/2011.html,WAC,0.34,W,66,57,3,3,W 1,Charles E. Smith Center,/cbb/schools/boston-university/men/2011.html,
6,/cbb/boxscores/2010-11-27-boston-university.html,"Sat, Nov 27, 2010",REG,,/cbb/schools/cornell/men/2011.html,Cornell,/cbb/conferences/ivy/men/2011.html,Ivy,-3.60,W,66,61,4,3,W 2,Agganis Arena,/cbb/schools/boston-university/men/2011.html,
7,/cbb/boxscores/2010-11-30-kentucky.html,"Tue, Nov 30, 2010",REG,@,/cbb/schools/kentucky/men/2011.html,Kentucky,/cbb/conferences/sec/men/2011.html,SEC,20.30,L,57,91,4,4,L 1,Rupp Arena,/cbb/schools/boston-university/men/2011.html,
8,/cbb/boxscores/2010-12-04-bucknell.html,"Sat, Dec 4, 2010",REG,@,/cbb/schools/bucknell/men/2011.html,Bucknell,/cbb/conferences/patriot/men/2011.html,Patriot,2.39,L,49,52,4,5,L 2,Sojka Pavilion,/cbb/schools/boston-university/men/2011.html,
9,/cbb/boxscores/2010-12-09-boston-university.html,"Thu, Dec 9, 2010",REG,,/cbb/schools/la-salle/men/2011.html,La Salle,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.08,L,81,84,4,6,L 3,Agganis Arena,/cbb/schools/boston-university/men/2011.html,
