,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2010-11-14-duke.html,"Sun, Nov 14, 2010",REG,/cbb/schools/princeton/men/2011.html,Princeton,/cbb/conferences/ivy/men/2011.html,Ivy,3.71,W,97,60,1,0,W 1,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
1,/cbb/boxscores/2010-11-16-duke.html,"Tue, Nov 16, 2010",REG,/cbb/schools/miami-oh/men/2011.html,Miami (OH),/cbb/conferences/mac/men/2011.html,MAC,-1.58,W,79,45,2,0,W 2,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
2,/cbb/boxscores/2010-11-19-duke.html,"Fri, Nov 19, 2010",REG,/cbb/schools/colgate/men/2011.html,Colgate,/cbb/conferences/patriot/men/2011.html,Patriot,-15.80,W,110,58,3,0,W 3,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
3,/cbb/boxscores/2010-11-22-marquette.html,"Mon, Nov 22, 2010",REG,/cbb/schools/marquette/men/2011.html,Marquette,/cbb/conferences/big-east/men/2011.html,Big East,14.89,W,82,77,4,0,W 4,Sprint Center,/cbb/schools/duke/men/2011.html,N
4,/cbb/boxscores/2010-11-23-kansas-state.html,"Tue, Nov 23, 2010",REG,/cbb/schools/kansas-state/men/2011.html,Kansas State,/cbb/conferences/big-12/men/2011.html,Big 12,14.59,W,82,68,5,0,W 5,Sprint Center,/cbb/schools/duke/men/2011.html,N
5,/cbb/boxscores/2010-11-27-oregon.html,"Sat, Nov 27, 2010",REG,/cbb/schools/oregon/men/2011.html,Oregon,/cbb/conferences/pac-10/men/2011.html,Pac-10,6.92,W,98,71,6,0,W 6,McArthur Court,/cbb/schools/duke/men/2011.html,N
6,/cbb/boxscores/2010-12-01-duke.html,"Wed, Dec 1, 2010",REG,/cbb/schools/michigan-state/men/2011.html,Michigan State,/cbb/conferences/big-ten/men/2011.html,Big Ten,13.70,W,84,79,7,0,W 7,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
7,/cbb/boxscores/2010-12-04-duke.html,"Sat, Dec 4, 2010",REG,/cbb/schools/butler/men/2011.html,Butler,/cbb/conferences/horizon/men/2011.html,Horizon,11.53,W,82,70,8,0,W 8,,/cbb/schools/duke/men/2011.html,N
8,/cbb/boxscores/2010-12-08-duke.html,"Wed, Dec 8, 2010",REG,/cbb/schools/bradley/men/2011.html,Bradley,/cbb/conferences/mvc/men/2011.html,MVC,-1.52,W,83,48,9,0,W 9,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
9,/cbb/boxscores/2010-12-11-duke.html,"Sat, Dec 11, 2010",REG,/cbb/schools/saint-louis/men/2011.html,Saint Louis,/cbb/conferences/atlantic-10/men/2011.html,A-10,2.83,W,84,47,10,0,W 10,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
10,/cbb/boxscores/2010-12-20-duke.html,"Mon, Dec 20, 2010",REG,/cbb/schools/elon/men/2011.html,Elon,/cbb/conferences/southern/men/2011.html,Southern,-6.54,W,98,72,11,0,W 11,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
11,/cbb/boxscores/2010-12-29-north-carolina-greensboro.html,"Wed, Dec 29, 2010",REG,/cbb/schools/north-carolina-greensboro/men/2011.html,UNC Greensboro,/cbb/conferences/southern/men/2011.html,Southern,-9.95,W,108,62,12,0,W 12,Fleming Gymnasium,/cbb/schools/duke/men/2011.html,@
12,/cbb/boxscores/2011-01-02-duke.html,"Sun, Jan 2, 2011",REG,/cbb/schools/miami-fl/men/2011.html,Miami (FL),/cbb/conferences/acc/men/2011.html,ACC,10.47,W,74,63,13,0,W 13,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
13,/cbb/boxscores/2011-01-05-duke.html,"Wed, Jan 5, 2011",REG,/cbb/schools/alabama-birmingham/men/2011.html,UAB,/cbb/conferences/cusa/men/2011.html,CUSA,8.55,W,85,64,14,0,W 14,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
14,/cbb/boxscores/2011-01-09-duke.html,"Sun, Jan 9, 2011",REG,/cbb/schools/maryland/men/2011.html,Maryland,/cbb/conferences/acc/men/2011.html,ACC,15.00,W,71,64,15,0,W 15,Cameron Indoor Stadium,/cbb/schools/duke/men/2011.html,
15,/cbb/boxscores/2011-01-12-florida-state.html,"Wed, Jan 12, 2011",REG,/cbb/schools/florida-state/men/2011.html,Florida State,/cbb/conferences/acc/men/2011.html,ACC,13.48,L,61,66,15,1,L 1,Tallahassee-Leon County Civic Center,/cbb/schools/duke/men/2011.html,@
