,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-12-georgia.html,"Fri, Nov 12, 2010",REG,/cbb/schools/mississippi-valley-state/men/2011.html,Mississippi Valley State,/cbb/conferences/swac/men/2011.html,SWAC,-13.95,W,72,70,1,0,W 1,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
1,/cbb/boxscores/2010-11-16-georgia.html,"Tue, Nov 16, 2010",REG,/cbb/schools/colorado/men/2011.html,Colorado,/cbb/conferences/big-12/men/2011.html,Big 12,11.45,W,83,74,2,0,W 2,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
2,/cbb/boxscores/2010-11-20-saint-louis.html,"Sat, Nov 20, 2010",REG,/cbb/schools/saint-louis/men/2011.html,Saint Louis,/cbb/conferences/atlantic-10/men/2011.html,A-10,2.83,W,61,59,3,0,W 3,Chaifetz Arena,/cbb/schools/georgia/men/2011.html,@,
3,/cbb/boxscores/2010-11-25-notre-dame.html,"Thu, Nov 25, 2010",REG,/cbb/schools/notre-dame/men/2011.html,Notre Dame,/cbb/conferences/big-east/men/2011.html,Big East,18.17,L,83,89,3,1,L 1,State Farm Field House,/cbb/schools/georgia/men/2011.html,N,2OT
4,/cbb/boxscores/2010-11-26-temple.html,"Fri, Nov 26, 2010",REG,/cbb/schools/temple/men/2011.html,Temple,/cbb/conferences/atlantic-10/men/2011.html,A-10,12.35,L,58,65,3,2,L 2,State Farm Field House,/cbb/schools/georgia/men/2011.html,N,
5,/cbb/boxscores/2010-11-28-manhattan.html,"Sun, Nov 28, 2010",REG,/cbb/schools/manhattan/men/2011.html,Manhattan,/cbb/conferences/maac/men/2011.html,MAAC,-11.66,W,61,58,4,2,W 1,State Farm Field House,/cbb/schools/georgia/men/2011.html,N,
6,/cbb/boxscores/2010-12-03-georgia.html,"Fri, Dec 3, 2010",REG,/cbb/schools/alabama-birmingham/men/2011.html,UAB,/cbb/conferences/cusa/men/2011.html,CUSA,8.55,W,66,64,5,2,W 2,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
7,/cbb/boxscores/2010-12-07-georgia-tech.html,"Tue, Dec 7, 2010",REG,/cbb/schools/georgia-tech/men/2011.html,Georgia Tech,/cbb/conferences/acc/men/2011.html,ACC,6.42,W,73,72,6,2,W 3,Alexander Memorial Coliseum,/cbb/schools/georgia/men/2011.html,@,
8,/cbb/boxscores/2010-12-18-georgia.html,"Sat, Dec 18, 2010",REG,/cbb/schools/arkansas-state/men/2011.html,Arkansas State,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-3.38,W,68,59,7,2,W 4,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
9,/cbb/boxscores/2010-12-21-georgia.html,"Tue, Dec 21, 2010",REG,/cbb/schools/high-point/men/2011.html,High Point,/cbb/conferences/big-south/men/2011.html,Big South,-12.82,W,85,38,8,2,W 5,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
10,/cbb/boxscores/2010-12-23-mercer.html,"Thu, Dec 23, 2010",REG,/cbb/schools/mercer/men/2011.html,Mercer,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-4.08,W,56,53,9,2,W 6,University Center,/cbb/schools/georgia/men/2011.html,@,
11,/cbb/boxscores/2010-12-28-georgia.html,"Tue, Dec 28, 2010",REG,/cbb/schools/charleston-southern/men/2011.html,Charleston Southern,/cbb/conferences/big-south/men/2011.html,Big South,-4.86,W,70,55,10,2,W 7,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
12,/cbb/boxscores/2010-12-31-georgia.html,"Fri, Dec 31, 2010",REG,/cbb/schools/eastern-kentucky/men/2011.html,Eastern Kentucky,/cbb/conferences/ovc/men/2011.html,OVC,-7.34,W,64,57,11,2,W 8,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
13,/cbb/boxscores/2011-01-08-georgia.html,"Sat, Jan 8, 2011",REG,/cbb/schools/kentucky/men/2011.html,Kentucky,/cbb/conferences/sec/men/2011.html,SEC,20.30,W,77,70,12,2,W 9,Stegeman Coliseum,/cbb/schools/georgia/men/2011.html,,
