,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-12-gonzaga.html,"Fri, Nov 12, 2010",REG,/cbb/schools/southern/men/2011.html,Southern,/cbb/conferences/swac/men/2011.html,SWAC,-25.62,W,117,72,1,0,W 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2011.html,,
1,/cbb/boxscores/2010-11-14-gonzaga.html,"Sun, Nov 14, 2010",REG,/cbb/schools/iupui/men/2011.html,IUPUI,/cbb/conferences/summit/men/2011.html,Summit,0.39,W,86,56,2,0,W 2,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2011.html,,
2,/cbb/boxscores/2010-11-16-gonzaga.html,"Tue, Nov 16, 2010",REG,/cbb/schools/san-diego-state/men/2011.html,San Diego State,/cbb/conferences/mwc/men/2011.html,MWC,17.96,L,76,79,2,1,L 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2011.html,,
3,/cbb/boxscores/2010-11-22-gonzaga.html,"Mon, Nov 22, 2010",REG,/cbb/schools/kansas-state/men/2011.html,Kansas State,/cbb/conferences/big-12/men/2011.html,Big 12,14.59,L,64,81,2,2,L 2,Sprint Center,/cbb/schools/gonzaga/men/2011.html,N,
4,/cbb/boxscores/2010-11-23-marquette.html,"Tue, Nov 23, 2010",REG,/cbb/schools/marquette/men/2011.html,Marquette,/cbb/conferences/big-east/men/2011.html,Big East,14.89,W,66,63,3,2,W 1,Sprint Center,/cbb/schools/gonzaga/men/2011.html,N,
5,/cbb/boxscores/2010-11-30-gonzaga.html,"Tue, Nov 30, 2010",REG,/cbb/schools/eastern-washington/men/2011.html,Eastern Washington,/cbb/conferences/big-sky/men/2011.html,Big Sky,-8.50,W,86,57,4,2,W 2,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2011.html,,
6,/cbb/boxscores/2010-12-04-gonzaga.html,"Sat, Dec 4, 2010",REG,/cbb/schools/illinois/men/2011.html,Illinois,/cbb/conferences/big-ten/men/2011.html,Big Ten,16.72,L,61,73,4,3,L 1,KeyArena,/cbb/schools/gonzaga/men/2011.html,N,
7,/cbb/boxscores/2010-12-08-washington-state.html,"Wed, Dec 8, 2010",REG,/cbb/schools/washington-state/men/2011.html,Washington State,/cbb/conferences/pac-10/men/2011.html,Pac-10,12.27,L,59,81,4,4,L 2,Friel Court at Beasley Coliseum,/cbb/schools/gonzaga/men/2011.html,@,
8,/cbb/boxscores/2010-12-11-notre-dame.html,"Sat, Dec 11, 2010",REG,/cbb/schools/notre-dame/men/2011.html,Notre Dame,/cbb/conferences/big-east/men/2011.html,Big East,18.17,L,79,83,4,5,L 3,Purcell Pavilion at the Joyce Center,/cbb/schools/gonzaga/men/2011.html,@,
9,/cbb/boxscores/2010-12-16-gonzaga.html,"Thu, Dec 16, 2010",REG,,Lewis-Clark State,,,,W,103,61,5,5,W 1,McCarthey Athletic Center,/cbb/schools/gonzaga/men/2011.html,,
