,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2010-11-15-wake-forest.html,"Mon, Nov 15, 2010",REG,@,/cbb/schools/wake-forest/men/2011.html,Wake Forest,/cbb/conferences/acc/men/2011.html,ACC,-4.43,L,56,63,0,1,L 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/hampton/men/2011.html,
1,/cbb/boxscores/2010-11-16-winthrop.html,"Tue, Nov 16, 2010",REG,N,/cbb/schools/winthrop/men/2011.html,Winthrop,/cbb/conferences/big-south/men/2011.html,Big South,-5.38,W,45,44,1,1,W 1,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/hampton/men/2011.html,
2,/cbb/boxscores/2010-11-19-fordham.html,"Fri, Nov 19, 2010",REG,@,/cbb/schools/fordham/men/2011.html,Fordham,/cbb/conferences/atlantic-10/men/2011.html,A-10,-8.77,W,58,48,2,1,W 2,Rose Hill Gymnasium,/cbb/schools/hampton/men/2011.html,
3,/cbb/boxscores/2010-11-22-boston-university.html,"Mon, Nov 22, 2010",REG,N,/cbb/schools/boston-university/men/2011.html,Boston University,/cbb/conferences/america-east/men/2011.html,AEC,-2.48,W,51,50,3,1,W 3,Charles E. Smith Center,/cbb/schools/hampton/men/2011.html,
4,/cbb/boxscores/2010-11-23-george-washington.html,"Tue, Nov 23, 2010",REG,@,/cbb/schools/george-washington/men/2011.html,George Washington,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.10,W,62,51,4,1,W 4,Charles E. Smith Center,/cbb/schools/hampton/men/2011.html,
5,/cbb/boxscores/2010-11-28-high-point.html,"Sun, Nov 28, 2010",REG,@,/cbb/schools/high-point/men/2011.html,High Point,/cbb/conferences/big-south/men/2011.html,Big South,-12.82,W,70,64,5,1,W 5,Millis Center,/cbb/schools/hampton/men/2011.html,
6,/cbb/boxscores/2010-11-30-hampton.html,"Tue, Nov 30, 2010",REG,,/cbb/schools/georgia-state/men/2011.html,Georgia State,/cbb/conferences/colonial/men/2011.html,CAA,-4.15,W,60,56,6,1,W 6,Convocation Center,/cbb/schools/hampton/men/2011.html,OT
7,/cbb/boxscores/2010-12-04-howard.html,"Sat, Dec 4, 2010",REG,N,/cbb/schools/howard/men/2011.html,Howard,/cbb/conferences/meac/men/2011.html,MEAC,-18.80,W,67,55,7,1,W 7,Madison Square Garden (IV),/cbb/schools/hampton/men/2011.html,
8,/cbb/boxscores/2010-12-08-hampton.html,"Wed, Dec 8, 2010",REG,,/cbb/schools/delaware/men/2011.html,Delaware,/cbb/conferences/colonial/men/2011.html,CAA,-3.79,L,53,55,7,2,L 1,Convocation Center,/cbb/schools/hampton/men/2011.html,
9,/cbb/boxscores/2010-12-20-hampton.html,"Mon, Dec 20, 2010",REG,,/cbb/schools/towson/men/2011.html,Towson,/cbb/conferences/colonial/men/2011.html,CAA,-8.06,W,78,67,8,2,W 1,Convocation Center,/cbb/schools/hampton/men/2011.html,
