,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2010-11-12-kansas-state.html,"Fri, Nov 12, 2010",REG,/cbb/schools/james-madison/men/2011.html,James Madison,/cbb/conferences/colonial/men/2011.html,CAA,2.94,W,75,61,1,0,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
1,/cbb/boxscores/2010-11-16-kansas-state.html,"Tue, Nov 16, 2010",REG,/cbb/schools/virginia-tech/men/2011.html,Virginia Tech,/cbb/conferences/acc/men/2011.html,ACC,13.84,W,73,57,2,0,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
2,/cbb/boxscores/2010-11-18-kansas-state.html,"Thu, Nov 18, 2010",REG,/cbb/schools/presbyterian/men/2011.html,Presbyterian,/cbb/conferences/big-south/men/2011.html,Big South,-7.72,W,76,67,3,0,W 3,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
3,/cbb/boxscores/2010-11-22-gonzaga.html,"Mon, Nov 22, 2010",REG,/cbb/schools/gonzaga/men/2011.html,Gonzaga,/cbb/conferences/wcc/men/2011.html,WCC,13.86,W,81,64,4,0,W 4,Sprint Center,/cbb/schools/kansas-state/men/2011.html,N
4,/cbb/boxscores/2010-11-23-kansas-state.html,"Tue, Nov 23, 2010",REG,/cbb/schools/duke/men/2011.html,Duke,/cbb/conferences/acc/men/2011.html,ACC,24.51,L,68,82,4,1,L 1,Sprint Center,/cbb/schools/kansas-state/men/2011.html,N
5,/cbb/boxscores/2010-11-26-kansas-state.html,"Fri, Nov 26, 2010",REG,/cbb/schools/texas-southern/men/2011.html,Texas Southern,/cbb/conferences/swac/men/2011.html,SWAC,-10.14,W,84,60,5,1,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
6,/cbb/boxscores/2010-11-29-kansas-state.html,"Mon, Nov 29, 2010",REG,,Emporia State,,,,W,85,61,6,1,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
7,/cbb/boxscores/2010-12-03-washington-state.html,"Fri, Dec 3, 2010",REG,/cbb/schools/washington-state/men/2011.html,Washington State,/cbb/conferences/pac-10/men/2011.html,Pac-10,12.27,W,63,58,7,1,W 3,Friel Court at Beasley Coliseum,/cbb/schools/kansas-state/men/2011.html,@
8,/cbb/boxscores/2010-12-06-kansas-state.html,"Mon, Dec 6, 2010",REG,/cbb/schools/alcorn-state/men/2011.html,Alcorn State,/cbb/conferences/swac/men/2011.html,SWAC,-23.02,W,89,55,8,1,W 4,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
9,/cbb/boxscores/2010-12-11-loyola-il.html,"Sat, Dec 11, 2010",REG,/cbb/schools/loyola-il/men/2011.html,Loyola (IL),/cbb/conferences/horizon/men/2011.html,Horizon,1.73,W,68,60,9,1,W 5,Joseph J. Gentile Center,/cbb/schools/kansas-state/men/2011.html,@
10,/cbb/boxscores/2010-12-18-florida.html,"Sat, Dec 18, 2010",REG,/cbb/schools/florida/men/2011.html,Florida,/cbb/conferences/sec/men/2011.html,SEC,16.27,L,44,57,9,2,L 1,BankAtlantic Center,/cbb/schools/kansas-state/men/2011.html,N
11,/cbb/boxscores/2010-12-21-kansas-state.html,"Tue, Dec 21, 2010",REG,/cbb/schools/nevada-las-vegas/men/2011.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2011.html,MWC,14.67,L,59,63,9,3,L 2,Sprint Center,/cbb/schools/kansas-state/men/2011.html,N
12,/cbb/boxscores/2010-12-23-kansas-state.html,"Thu, Dec 23, 2010",REG,/cbb/schools/missouri-kansas-city/men/2011.html,Kansas City,/cbb/conferences/summit/men/2011.html,Summit,-8.91,W,80,64,10,3,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
13,/cbb/boxscores/2010-12-31-kansas-state.html,"Fri, Dec 31, 2010",REG,/cbb/schools/north-florida/men/2011.html,North Florida,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-6.25,W,100,76,11,3,W 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
14,/cbb/boxscores/2011-01-03-kansas-state.html,"Mon, Jan 3, 2011",REG,/cbb/schools/savannah-state/men/2011.html,Savannah State,/cbb/conferences/independent/men/2011.html,Ind,-9.06,W,92,61,12,3,W 3,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
15,/cbb/boxscores/2011-01-08-oklahoma-state.html,"Sat, Jan 8, 2011",REG,/cbb/schools/oklahoma-state/men/2011.html,Oklahoma State,/cbb/conferences/big-12/men/2011.html,Big 12,8.53,L,62,76,12,4,L 1,Gallagher-Iba Arena,/cbb/schools/kansas-state/men/2011.html,@
16,/cbb/boxscores/2011-01-12-kansas-state.html,"Wed, Jan 12, 2011",REG,/cbb/schools/colorado/men/2011.html,Colorado,/cbb/conferences/big-12/men/2011.html,Big 12,11.45,L,66,74,12,5,L 2,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
17,/cbb/boxscores/2011-01-15-kansas-state.html,"Sat, Jan 15, 2011",REG,/cbb/schools/texas-tech/men/2011.html,Texas Tech,/cbb/conferences/big-12/men/2011.html,Big 12,4.02,W,94,60,13,5,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
18,/cbb/boxscores/2011-01-17-missouri.html,"Mon, Jan 17, 2011",REG,/cbb/schools/missouri/men/2011.html,Missouri,/cbb/conferences/big-12/men/2011.html,Big 12,14.77,L,59,75,13,6,L 1,Mizzou Arena,/cbb/schools/kansas-state/men/2011.html,@
19,/cbb/boxscores/2011-01-22-texas-am.html,"Sat, Jan 22, 2011",REG,/cbb/schools/texas-am/men/2011.html,Texas A&M,/cbb/conferences/big-12/men/2011.html,Big 12,12.62,L,56,64,13,7,L 2,Reed Arena,/cbb/schools/kansas-state/men/2011.html,@
20,/cbb/boxscores/2011-01-24-kansas-state.html,"Mon, Jan 24, 2011",REG,/cbb/schools/baylor/men/2011.html,Baylor,/cbb/conferences/big-12/men/2011.html,Big 12,10.00,W,69,61,14,7,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
21,/cbb/boxscores/2011-01-29-kansas.html,"Sat, Jan 29, 2011",REG,/cbb/schools/kansas/men/2011.html,Kansas,/cbb/conferences/big-12/men/2011.html,Big 12,24.10,L,66,90,14,8,L 1,Allen Fieldhouse,/cbb/schools/kansas-state/men/2011.html,@
22,/cbb/boxscores/2011-02-02-kansas-state.html,"Wed, Feb 2, 2011",REG,/cbb/schools/nebraska/men/2011.html,Nebraska,/cbb/conferences/big-12/men/2011.html,Big 12,10.54,W,69,53,15,8,W 1,Bramlage Coliseum,/cbb/schools/kansas-state/men/2011.html,
23,/cbb/boxscores/2011-02-05-iowa-state.html,"Sat, Feb 5, 2011",REG,/cbb/schools/iowa-state/men/2011.html,Iowa State,/cbb/conferences/big-12/men/2011.html,Big 12,8.86,W,86,85,16,8,W 2,James H. Hilton Coliseum,/cbb/schools/kansas-state/men/2011.html,@
24,/cbb/boxscores/2011-02-12-colorado.html,"Sat, Feb 12, 2011",REG,/cbb/schools/colorado/men/2011.html,Colorado,/cbb/conferences/big-12/men/2011.html,Big 12,11.45,L,56,58,16,9,L 1,CU Events Center,/cbb/schools/kansas-state/men/2011.html,@
