,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-12-long-island-university.html,"Fri, Nov 12, 2010",REG,/cbb/schools/norfolk-state/men/2011.html,Norfolk State,/cbb/conferences/meac/men/2011.html,MEAC,-12.20,W,87,64,1,0,W 1,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
1,/cbb/boxscores/2010-11-16-texas-state.html,"Tue, Nov 16, 2010",REG,/cbb/schools/texas-state/men/2011.html,Texas State,/cbb/conferences/southland/men/2011.html,Southland,-7.65,W,91,67,2,0,W 2,Strahan Arena,/cbb/schools/long-island-university/men/2011.html,@,
2,/cbb/boxscores/2010-11-20-manhattan.html,"Sat, Nov 20, 2010",REG,/cbb/schools/manhattan/men/2011.html,Manhattan,/cbb/conferences/maac/men/2011.html,MAAC,-11.66,W,91,80,3,0,W 3,Draddy Gymnasium,/cbb/schools/long-island-university/men/2011.html,@,
3,/cbb/boxscores/2010-11-23-fordham.html,"Tue, Nov 23, 2010",REG,/cbb/schools/fordham/men/2011.html,Fordham,/cbb/conferences/atlantic-10/men/2011.html,A-10,-8.77,W,82,70,4,0,W 4,Rose Hill Gymnasium,/cbb/schools/long-island-university/men/2011.html,@,
4,/cbb/boxscores/2010-11-27-saint-peters.html,"Sat, Nov 27, 2010",REG,/cbb/schools/saint-peters/men/2011.html,Saint Peter's,/cbb/conferences/maac/men/2011.html,MAAC,-0.28,L,62,65,4,1,L 1,Yanitelli Center,/cbb/schools/long-island-university/men/2011.html,@,
5,/cbb/boxscores/2010-12-02-long-island-university.html,"Thu, Dec 2, 2010",REG,/cbb/schools/robert-morris/men/2011.html,Robert Morris,/cbb/conferences/northeast/men/2011.html,NEC,-0.80,L,69,70,4,2,L 2,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
6,/cbb/boxscores/2010-12-04-long-island-university.html,"Sat, Dec 4, 2010",REG,/cbb/schools/saint-francis-pa/men/2011.html,Saint Francis (PA),/cbb/conferences/northeast/men/2011.html,NEC,-11.50,W,81,67,5,2,W 1,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
7,/cbb/boxscores/2010-12-08-long-island-university.html,"Wed, Dec 8, 2010",REG,/cbb/schools/iona/men/2011.html,Iona,/cbb/conferences/maac/men/2011.html,MAAC,7.01,L,82,88,5,3,L 1,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
8,/cbb/boxscores/2010-12-11-long-island-university.html,"Sat, Dec 11, 2010",REG,/cbb/schools/lafayette/men/2011.html,Lafayette,/cbb/conferences/patriot/men/2011.html,Patriot,-7.26,W,85,80,6,3,W 1,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
9,/cbb/boxscores/2010-12-13-northwestern.html,"Mon, Dec 13, 2010",REG,/cbb/schools/northwestern/men/2011.html,Northwestern,/cbb/conferences/big-ten/men/2011.html,Big Ten,11.66,L,65,81,6,4,L 1,Welsh-Ryan Arena,/cbb/schools/long-island-university/men/2011.html,@,
10,/cbb/boxscores/2010-12-19-long-island-university.html,"Sun, Dec 19, 2010",REG,/cbb/schools/army/men/2011.html,Army,/cbb/conferences/patriot/men/2011.html,Patriot,-10.71,W,91,85,7,4,W 1,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
11,/cbb/boxscores/2010-12-28-njit.html,"Tue, Dec 28, 2010",REG,/cbb/schools/njit/men/2011.html,NJIT,/cbb/conferences/great-west/men/2011.html,GWC,-13.18,W,89,82,8,4,W 2,Estelle and Zoom Fleisher Athletic Center,/cbb/schools/long-island-university/men/2011.html,@,
12,/cbb/boxscores/2010-12-30-navy.html,"Thu, Dec 30, 2010",REG,/cbb/schools/navy/men/2011.html,Navy,/cbb/conferences/patriot/men/2011.html,Patriot,-10.66,W,96,86,9,4,W 3,Alumni Hall,/cbb/schools/long-island-university/men/2011.html,@,
13,/cbb/boxscores/2011-01-06-bryant.html,"Thu, Jan 6, 2011",REG,/cbb/schools/bryant/men/2011.html,Bryant,/cbb/conferences/northeast/men/2011.html,NEC,-12.98,W,75,55,10,4,W 4,Chase Athletic Center,/cbb/schools/long-island-university/men/2011.html,@,
14,/cbb/boxscores/2011-01-08-central-connecticut-state.html,"Sat, Jan 8, 2011",REG,/cbb/schools/central-connecticut-state/men/2011.html,Central Connecticut State,/cbb/conferences/northeast/men/2011.html,NEC,-1.94,W,72,67,11,4,W 5,Detrick Gymnasium,/cbb/schools/long-island-university/men/2011.html,@,
15,/cbb/boxscores/2011-01-13-long-island-university.html,"Thu, Jan 13, 2011",REG,/cbb/schools/mount-st-marys/men/2011.html,Mount St. Mary's,/cbb/conferences/northeast/men/2011.html,NEC,-9.22,W,91,69,12,4,W 6,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
16,/cbb/boxscores/2011-01-15-long-island-university.html,"Sat, Jan 15, 2011",REG,/cbb/schools/wagner/men/2011.html,Wagner,/cbb/conferences/northeast/men/2011.html,NEC,-6.54,W,84,54,13,4,W 7,Wellness Center,/cbb/schools/long-island-university/men/2011.html,,
17,/cbb/boxscores/2011-01-20-robert-morris.html,"Thu, Jan 20, 2011",REG,/cbb/schools/robert-morris/men/2011.html,Robert Morris,/cbb/conferences/northeast/men/2011.html,NEC,-0.80,W,83,67,14,4,W 8,Charles L. Sewall Center,/cbb/schools/long-island-university/men/2011.html,@,
