,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-16-louisville.html,"Tue, Nov 16, 2010",REG,/cbb/schools/butler/men/2011.html,Butler,/cbb/conferences/horizon/men/2011.html,Horizon,11.53,W,88,73,1,0,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
1,/cbb/boxscores/2010-11-20-louisville.html,"Sat, Nov 20, 2010",REG,/cbb/schools/jackson-state/men/2011.html,Jackson State,/cbb/conferences/swac/men/2011.html,SWAC,-10.43,W,62,45,2,0,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
2,/cbb/boxscores/2010-11-22-louisville.html,"Mon, Nov 22, 2010",REG,/cbb/schools/chattanooga/men/2011.html,Chattanooga,/cbb/conferences/southern/men/2011.html,Southern,-9.44,W,106,65,3,0,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
3,/cbb/boxscores/2010-11-27-louisville.html,"Sat, Nov 27, 2010",REG,/cbb/schools/marshall/men/2011.html,Marshall,/cbb/conferences/cusa/men/2011.html,CUSA,6.32,W,80,66,4,0,W 4,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
4,/cbb/boxscores/2010-12-01-louisville.html,"Wed, Dec 1, 2010",REG,/cbb/schools/florida-international/men/2011.html,Florida International,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-9.33,W,92,55,5,0,W 5,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
5,/cbb/boxscores/2010-12-04-louisville.html,"Sat, Dec 4, 2010",REG,/cbb/schools/south-alabama/men/2011.html,South Alabama,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-9.80,W,97,70,6,0,W 6,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
6,/cbb/boxscores/2010-12-08-louisville.html,"Wed, Dec 8, 2010",REG,/cbb/schools/san-francisco/men/2011.html,San Francisco,/cbb/conferences/wcc/men/2011.html,WCC,1.78,W,61,35,7,0,W 7,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
7,/cbb/boxscores/2010-12-11-louisville.html,"Sat, Dec 11, 2010",REG,/cbb/schools/nevada-las-vegas/men/2011.html,Nevada-Las Vegas,/cbb/conferences/mwc/men/2011.html,MWC,14.67,W,77,69,8,0,W 8,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
8,/cbb/boxscores/2010-12-14-louisville.html,"Tue, Dec 14, 2010",REG,/cbb/schools/drexel/men/2011.html,Drexel,/cbb/conferences/colonial/men/2011.html,CAA,4.02,L,46,52,8,1,L 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
9,/cbb/boxscores/2010-12-18-louisville.html,"Sat, Dec 18, 2010",REG,/cbb/schools/gardner-webb/men/2011.html,Gardner-Webb,/cbb/conferences/big-south/men/2011.html,Big South,-9.22,W,78,49,9,1,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
10,/cbb/boxscores/2010-12-22-western-kentucky.html,"Wed, Dec 22, 2010",REG,/cbb/schools/western-kentucky/men/2011.html,Western Kentucky,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-3.80,W,114,82,10,1,W 2,E. A. Diddle Arena,/cbb/schools/louisville/men/2011.html,@,
11,/cbb/boxscores/2010-12-27-louisville.html,"Mon, Dec 27, 2010",REG,/cbb/schools/morgan-state/men/2011.html,Morgan State,/cbb/conferences/meac/men/2011.html,MEAC,-8.04,W,104,74,11,1,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
12,/cbb/boxscores/2010-12-31-louisville.html,"Fri, Dec 31, 2010",REG,/cbb/schools/kentucky/men/2011.html,Kentucky,/cbb/conferences/sec/men/2011.html,SEC,20.30,L,63,78,11,2,L 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
13,/cbb/boxscores/2011-01-05-louisville.html,"Wed, Jan 5, 2011",REG,/cbb/schools/seton-hall/men/2011.html,Seton Hall,/cbb/conferences/big-east/men/2011.html,Big East,11.03,W,73,54,12,2,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
14,/cbb/boxscores/2011-01-09-south-florida.html,"Sun, Jan 9, 2011",REG,/cbb/schools/south-florida/men/2011.html,South Florida,/cbb/conferences/big-east/men/2011.html,Big East,4.28,W,86,77,13,2,W 2,Sun Dome,/cbb/schools/louisville/men/2011.html,@,
15,/cbb/boxscores/2011-01-12-villanova.html,"Wed, Jan 12, 2011",REG,/cbb/schools/villanova/men/2011.html,Villanova,/cbb/conferences/big-east/men/2011.html,Big East,15.05,L,74,88,13,3,L 1,The Pavilion,/cbb/schools/louisville/men/2011.html,@,
16,/cbb/boxscores/2011-01-15-louisville.html,"Sat, Jan 15, 2011",REG,/cbb/schools/marquette/men/2011.html,Marquette,/cbb/conferences/big-east/men/2011.html,Big East,14.89,W,71,70,14,3,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
17,/cbb/boxscores/2011-01-19-louisville.html,"Wed, Jan 19, 2011",REG,/cbb/schools/st-johns-ny/men/2011.html,St. John's (NY),/cbb/conferences/big-east/men/2011.html,Big East,13.10,W,88,63,15,3,W 2,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
18,/cbb/boxscores/2011-01-22-providence.html,"Sat, Jan 22, 2011",REG,/cbb/schools/providence/men/2011.html,Providence,/cbb/conferences/big-east/men/2011.html,Big East,6.91,L,67,72,15,4,L 1,Dunkin Donuts Center,/cbb/schools/louisville/men/2011.html,@,
19,/cbb/boxscores/2011-01-26-louisville.html,"Wed, Jan 26, 2011",REG,/cbb/schools/west-virginia/men/2011.html,West Virginia,/cbb/conferences/big-east/men/2011.html,Big East,16.15,W,55,54,16,4,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
20,/cbb/boxscores/2011-01-29-connecticut.html,"Sat, Jan 29, 2011",REG,/cbb/schools/connecticut/men/2011.html,Connecticut,/cbb/conferences/big-east/men/2011.html,Big East,17.95,W,79,78,17,4,W 2,Harry A. Gampel Pavilion,/cbb/schools/louisville/men/2011.html,@,2OT
21,/cbb/boxscores/2011-01-31-georgetown.html,"Mon, Jan 31, 2011",REG,/cbb/schools/georgetown/men/2011.html,Georgetown,/cbb/conferences/big-east/men/2011.html,Big East,14.61,L,59,62,17,5,L 1,Verizon Center,/cbb/schools/louisville/men/2011.html,@,
22,/cbb/boxscores/2011-02-05-louisville.html,"Sat, Feb 5, 2011",REG,/cbb/schools/depaul/men/2011.html,DePaul,/cbb/conferences/big-east/men/2011.html,Big East,-1.31,W,61,57,18,5,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
23,/cbb/boxscores/2011-02-09-notre-dame.html,"Wed, Feb 9, 2011",REG,/cbb/schools/notre-dame/men/2011.html,Notre Dame,/cbb/conferences/big-east/men/2011.html,Big East,18.17,L,79,89,18,6,L 1,Purcell Pavilion at the Joyce Center,/cbb/schools/louisville/men/2011.html,@,OT
24,/cbb/boxscores/2011-02-12-louisville.html,"Sat, Feb 12, 2011",REG,/cbb/schools/syracuse/men/2011.html,Syracuse,/cbb/conferences/big-east/men/2011.html,Big East,18.85,W,73,69,19,6,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
25,/cbb/boxscores/2011-02-16-cincinnati.html,"Wed, Feb 16, 2011",REG,/cbb/schools/cincinnati/men/2011.html,Cincinnati,/cbb/conferences/big-east/men/2011.html,Big East,15.41,L,54,63,19,7,L 1,Fifth Third Arena,/cbb/schools/louisville/men/2011.html,@,
26,/cbb/boxscores/2011-02-18-louisville.html,"Fri, Feb 18, 2011",REG,/cbb/schools/connecticut/men/2011.html,Connecticut,/cbb/conferences/big-east/men/2011.html,Big East,17.95,W,71,58,20,7,W 1,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
27,/cbb/boxscores/2011-02-22-rutgers.html,"Tue, Feb 22, 2011",REG,/cbb/schools/rutgers/men/2011.html,Rutgers,/cbb/conferences/big-east/men/2011.html,Big East,7.88,W,55,37,21,7,W 2,Louis Brown Athletic Center,/cbb/schools/louisville/men/2011.html,@,
28,/cbb/boxscores/2011-02-27-louisville.html,"Sun, Feb 27, 2011",REG,/cbb/schools/pittsburgh/men/2011.html,Pittsburgh,/cbb/conferences/big-east/men/2011.html,Big East,20.82,W,62,59,22,7,W 3,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,OT
29,/cbb/boxscores/2011-03-02-louisville.html,"Wed, Mar 2, 2011",REG,/cbb/schools/providence/men/2011.html,Providence,/cbb/conferences/big-east/men/2011.html,Big East,6.91,W,87,60,23,7,W 4,KFC Yum! Center,/cbb/schools/louisville/men/2011.html,,
30,/cbb/boxscores/2011-03-05-west-virginia.html,"Sat, Mar 5, 2011",REG,/cbb/schools/west-virginia/men/2011.html,West Virginia,/cbb/conferences/big-east/men/2011.html,Big East,16.15,L,70,72,23,8,L 1,WVU Coliseum,/cbb/schools/louisville/men/2011.html,@,
31,/cbb/boxscores/2011-03-10-louisville.html,"Thu, Mar 10, 2011",CTOURN,/cbb/schools/marquette/men/2011.html,Marquette,/cbb/conferences/big-east/men/2011.html,Big East,14.89,W,81,56,24,8,W 1,,/cbb/schools/louisville/men/2011.html,N,
32,/cbb/boxscores/2011-03-11-notre-dame.html,"Fri, Mar 11, 2011",CTOURN,/cbb/schools/notre-dame/men/2011.html,Notre Dame,/cbb/conferences/big-east/men/2011.html,Big East,18.17,W,83,77,25,8,W 2,Madison Square Garden (IV),/cbb/schools/louisville/men/2011.html,N,OT
33,/cbb/boxscores/2011-03-12-louisville.html,"Sat, Mar 12, 2011",CTOURN,/cbb/schools/connecticut/men/2011.html,Connecticut,/cbb/conferences/big-east/men/2011.html,Big East,17.95,L,66,69,25,9,L 1,Madison Square Garden (IV),/cbb/schools/louisville/men/2011.html,N,
34,/cbb/boxscores/2011-03-17-louisville.html,"Thu, Mar 17, 2011",NCAA,/cbb/schools/morehead-state/men/2011.html,Morehead State,/cbb/conferences/ovc/men/2011.html,OVC,2.81,L,61,62,25,10,L 2,The Pepsi Center,/cbb/schools/louisville/men/2011.html,N,
