,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-13-michigan.html,"Sat, Nov 13, 2010",REG,/cbb/schools/south-carolina-upstate/men/2011.html,South Carolina Upstate,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-12.44,W,66,35,1,0,W 1,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
1,/cbb/boxscores/2010-11-18-michigan.html,"Thu, Nov 18, 2010",REG,/cbb/schools/bowling-green-state/men/2011.html,Bowling Green State,/cbb/conferences/mac/men/2011.html,MAC,-5.94,W,69,50,2,0,W 2,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
2,/cbb/boxscores/2010-11-21-michigan.html,"Sun, Nov 21, 2010",REG,/cbb/schools/gardner-webb/men/2011.html,Gardner-Webb,/cbb/conferences/big-south/men/2011.html,Big South,-9.22,W,80,58,3,0,W 3,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
3,/cbb/boxscores/2010-11-26-michigan.html,"Fri, Nov 26, 2010",REG,/cbb/schools/syracuse/men/2011.html,Syracuse,/cbb/conferences/big-east/men/2011.html,Big East,18.85,L,50,53,3,1,L 1,Boardwalk Hall,/cbb/schools/michigan/men/2011.html,N,
4,/cbb/boxscores/2010-11-27-texas-el-paso.html,"Sat, Nov 27, 2010",REG,/cbb/schools/texas-el-paso/men/2011.html,UTEP,/cbb/conferences/cusa/men/2011.html,CUSA,8.83,L,56,65,3,2,L 2,Boardwalk Hall,/cbb/schools/michigan/men/2011.html,N,
5,/cbb/boxscores/2010-11-30-clemson.html,"Tue, Nov 30, 2010",REG,/cbb/schools/clemson/men/2011.html,Clemson,/cbb/conferences/acc/men/2011.html,ACC,13.76,W,69,61,4,2,W 1,Littlejohn Coliseum,/cbb/schools/michigan/men/2011.html,@,
6,/cbb/boxscores/2010-12-04-michigan.html,"Sat, Dec 4, 2010",REG,/cbb/schools/harvard/men/2011.html,Harvard,/cbb/conferences/ivy/men/2011.html,Ivy,4.88,W,65,62,5,2,W 2,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
7,/cbb/boxscores/2010-12-06-michigan.html,"Mon, Dec 6, 2010",REG,,Concordia (MI),,,,W,86,65,6,2,W 3,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
8,/cbb/boxscores/2010-12-10-michigan.html,"Fri, Dec 10, 2010",REG,/cbb/schools/utah/men/2011.html,Utah,/cbb/conferences/mwc/men/2011.html,MWC,2.46,W,75,64,7,2,W 4,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
9,/cbb/boxscores/2010-12-14-michigan.html,"Tue, Dec 14, 2010",REG,/cbb/schools/north-carolina-central/men/2011.html,North Carolina Central,/cbb/conferences/independent/men/2011.html,Ind,-13.03,W,64,44,8,2,W 5,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
10,/cbb/boxscores/2010-12-18-michigan.html,"Sat, Dec 18, 2010",REG,/cbb/schools/oakland/men/2011.html,Oakland,/cbb/conferences/summit/men/2011.html,Summit,8.28,W,69,51,9,2,W 6,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
11,/cbb/boxscores/2010-12-23-michigan.html,"Thu, Dec 23, 2010",REG,/cbb/schools/bryant/men/2011.html,Bryant,/cbb/conferences/northeast/men/2011.html,NEC,-12.98,W,87,71,10,2,W 7,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
12,/cbb/boxscores/2010-12-28-michigan.html,"Tue, Dec 28, 2010",REG,/cbb/schools/purdue/men/2011.html,Purdue,/cbb/conferences/big-ten/men/2011.html,Big Ten,19.36,L,57,80,10,3,L 1,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
13,/cbb/boxscores/2011-01-02-michigan.html,"Sun, Jan 2, 2011",REG,/cbb/schools/penn-state/men/2011.html,Penn State,/cbb/conferences/big-ten/men/2011.html,Big Ten,11.98,W,76,69,11,3,W 1,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
14,/cbb/boxscores/2011-01-05-wisconsin.html,"Wed, Jan 5, 2011",REG,/cbb/schools/wisconsin/men/2011.html,Wisconsin,/cbb/conferences/big-ten/men/2011.html,Big Ten,18.77,L,50,66,11,4,L 1,Kohl Center,/cbb/schools/michigan/men/2011.html,@,
15,/cbb/boxscores/2011-01-09-michigan.html,"Sun, Jan 9, 2011",REG,/cbb/schools/kansas/men/2011.html,Kansas,/cbb/conferences/big-12/men/2011.html,Big 12,24.10,L,60,67,11,5,L 2,Crisler Arena,/cbb/schools/michigan/men/2011.html,,OT
16,/cbb/boxscores/2011-01-12-michigan.html,"Wed, Jan 12, 2011",REG,/cbb/schools/ohio-state/men/2011.html,Ohio State,/cbb/conferences/big-ten/men/2011.html,Big Ten,25.84,L,64,68,11,6,L 3,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
17,/cbb/boxscores/2011-01-15-indiana.html,"Sat, Jan 15, 2011",REG,/cbb/schools/indiana/men/2011.html,Indiana,/cbb/conferences/big-ten/men/2011.html,Big Ten,9.03,L,61,80,11,7,L 4,Assembly Hall,/cbb/schools/michigan/men/2011.html,@,
18,/cbb/boxscores/2011-01-18-northwestern.html,"Tue, Jan 18, 2011",REG,/cbb/schools/northwestern/men/2011.html,Northwestern,/cbb/conferences/big-ten/men/2011.html,Big Ten,11.66,L,60,74,11,8,L 5,Welsh-Ryan Arena,/cbb/schools/michigan/men/2011.html,@,
19,/cbb/boxscores/2011-01-22-michigan.html,"Sat, Jan 22, 2011",REG,/cbb/schools/minnesota/men/2011.html,Minnesota,/cbb/conferences/big-ten/men/2011.html,Big Ten,11.75,L,64,69,11,9,L 6,Crisler Arena,/cbb/schools/michigan/men/2011.html,,
20,/cbb/boxscores/2011-01-27-michigan-state.html,"Thu, Jan 27, 2011",REG,/cbb/schools/michigan-state/men/2011.html,Michigan State,/cbb/conferences/big-ten/men/2011.html,Big Ten,13.70,W,61,57,12,9,W 1,Breslin Student Events Center,/cbb/schools/michigan/men/2011.html,@,
