,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2010-11-12-morehead-state.html,"Fri, Nov 12, 2010",REG,Asbury,,W,90,49,1,0,W 1,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2011.html,,,,,
1,/cbb/boxscores/2010-11-14-morehead-state.html,"Sun, Nov 14, 2010",REG,North Carolina A&T,MEAC,W,84,61,2,0,W 2,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/north-carolina-at/men/2011.html,/cbb/conferences/meac/men/2011.html,-12.06,,
2,/cbb/boxscores/2010-11-18-north-carolina-wilmington.html,"Thu, Nov 18, 2010",REG,UNC Wilmington,CAA,L,58,60,2,1,L 1,Trask Coliseum,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/north-carolina-wilmington/men/2011.html,/cbb/conferences/colonial/men/2011.html,-3.41,@,
3,/cbb/boxscores/2010-11-21-florida.html,"Sun, Nov 21, 2010",REG,Florida,SEC,L,55,61,2,2,L 2,Stephen C. O''Connell Center,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/florida/men/2011.html,/cbb/conferences/sec/men/2011.html,16.27,@,
4,/cbb/boxscores/2010-11-23-ohio-state.html,"Tue, Nov 23, 2010",REG,Ohio State,Big Ten,L,45,64,2,3,L 3,Value City Arena,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/ohio-state/men/2011.html,/cbb/conferences/big-ten/men/2011.html,25.84,@,
5,/cbb/boxscores/2010-11-28-southern-illinois-edwardsville.html,"Sun, Nov 28, 2010",REG,Southern Illinois-Edwardsville,Ind,W,83,64,3,3,W 1,Vadalabene Center,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/southern-illinois-edwardsville/men/2011.html,/cbb/conferences/independent/men/2011.html,-22.39,@,
6,/cbb/boxscores/2010-12-02-morehead-state.html,"Thu, Dec 2, 2010",REG,Tennessee-Martin,OVC,W,70,49,4,3,W 2,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/tennessee-martin/men/2011.html,/cbb/conferences/ovc/men/2011.html,-12.77,,
7,/cbb/boxscores/2010-12-04-morehead-state.html,"Sat, Dec 4, 2010",REG,Murray State,OVC,W,75,65,5,3,W 3,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/murray-state/men/2011.html,/cbb/conferences/ovc/men/2011.html,0.45,,
8,/cbb/boxscores/2010-12-07-morehead-state.html,"Tue, Dec 7, 2010",REG,St. Catharine,,W,77,64,6,3,W 4,Ellis T. Johnson Arena,/cbb/schools/morehead-state/men/2011.html,,,,,
9,/cbb/boxscores/2010-12-11-northern-iowa.html,"Sat, Dec 11, 2010",REG,Northern Iowa,MVC,L,53,69,6,4,L 1,McLeod Center,/cbb/schools/morehead-state/men/2011.html,/cbb/schools/northern-iowa/men/2011.html,/cbb/conferences/mvc/men/2011.html,4.53,@,
