,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location
0,/cbb/boxscores/2010-11-12-northern-colorado.html,"Fri, Nov 12, 2010",REG,Tabor College,,W,93,52,1,0,W 1,Butler Hancock Sports Pavilion,/cbb/schools/northern-colorado/men/2011.html,,,,
1,/cbb/boxscores/2010-11-16-northern-colorado.html,"Tue, Nov 16, 2010",REG,Wyoming,MWC,W,67,53,2,0,W 2,Butler Hancock Sports Pavilion,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/wyoming/men/2011.html,/cbb/conferences/mwc/men/2011.html,-3.16,
2,/cbb/boxscores/2010-11-21-arizona.html,"Sun, Nov 21, 2010",REG,Arizona,Pac-10,L,70,93,2,1,L 1,McKale Center,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/arizona/men/2011.html,/cbb/conferences/pac-10/men/2011.html,16.54,@
3,/cbb/boxscores/2010-11-23-santa-clara.html,"Tue, Nov 23, 2010",REG,Santa Clara,WCC,L,84,87,2,2,L 2,Leavey Center,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/santa-clara/men/2011.html,/cbb/conferences/wcc/men/2011.html,3.06,@
4,/cbb/boxscores/2010-11-26-valparaiso.html,"Fri, Nov 26, 2010",REG,Valparaiso,Horizon,L,61,76,2,3,L 3,Orleans Arena,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/valparaiso/men/2011.html,/cbb/conferences/horizon/men/2011.html,4.24,N
5,/cbb/boxscores/2010-11-27-bethune-cookman.html,"Sat, Nov 27, 2010",REG,Bethune-Cookman,MEAC,W,69,45,3,3,W 1,Orleans Arena,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/bethune-cookman/men/2011.html,/cbb/conferences/meac/men/2011.html,-11.11,N
6,/cbb/boxscores/2010-12-04-northern-colorado.html,"Sat, Dec 4, 2010",REG,Black Hills State,,W,84,52,4,3,W 2,Butler Hancock Sports Pavilion,/cbb/schools/northern-colorado/men/2011.html,,,,
7,/cbb/boxscores/2010-12-12-illinois.html,"Sun, Dec 12, 2010",REG,Illinois,Big Ten,L,76,86,4,4,L 1,Assembly Hall,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/illinois/men/2011.html,/cbb/conferences/big-ten/men/2011.html,16.72,@
8,/cbb/boxscores/2010-12-18-denver.html,"Sat, Dec 18, 2010",REG,Denver,Sun Belt,L,68,71,4,5,L 2,Magness Arena,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/denver/men/2011.html,/cbb/conferences/sun-belt/men/2011.html,-4.04,@
9,/cbb/boxscores/2010-12-20-colorado-state.html,"Mon, Dec 20, 2010",REG,Colorado State,MWC,L,61,75,4,6,L 3,Moby Arena,/cbb/schools/northern-colorado/men/2011.html,/cbb/schools/colorado-state/men/2011.html,/cbb/conferences/mwc/men/2011.html,7.49,@
