,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-12-ohio-state.html,"Fri, Nov 12, 2010",REG,/cbb/schools/north-carolina-at/men/2011.html,North Carolina A&T,/cbb/conferences/meac/men/2011.html,MEAC,-12.06,W,102,61,1,0,W 1,Value City Arena,/cbb/schools/ohio-state/men/2011.html,,
1,/cbb/boxscores/2010-11-16-florida.html,"Tue, Nov 16, 2010",REG,/cbb/schools/florida/men/2011.html,Florida,/cbb/conferences/sec/men/2011.html,SEC,16.27,W,93,75,2,0,W 2,Stephen C. O''Connell Center,/cbb/schools/ohio-state/men/2011.html,@,
2,/cbb/boxscores/2010-11-20-ohio-state.html,"Sat, Nov 20, 2010",REG,/cbb/schools/north-carolina-wilmington/men/2011.html,UNC Wilmington,/cbb/conferences/colonial/men/2011.html,CAA,-3.41,W,81,41,3,0,W 3,Value City Arena,/cbb/schools/ohio-state/men/2011.html,,
3,/cbb/boxscores/2010-11-23-ohio-state.html,"Tue, Nov 23, 2010",REG,/cbb/schools/morehead-state/men/2011.html,Morehead State,/cbb/conferences/ovc/men/2011.html,OVC,2.81,W,64,45,4,0,W 4,Value City Arena,/cbb/schools/ohio-state/men/2011.html,,
4,/cbb/boxscores/2010-11-26-ohio-state.html,"Fri, Nov 26, 2010",REG,/cbb/schools/miami-oh/men/2011.html,Miami (OH),/cbb/conferences/mac/men/2011.html,MAC,-1.58,W,66,45,5,0,W 5,Value City Arena,/cbb/schools/ohio-state/men/2011.html,,
5,/cbb/boxscores/2010-11-30-florida-state.html,"Tue, Nov 30, 2010",REG,/cbb/schools/florida-state/men/2011.html,Florida State,/cbb/conferences/acc/men/2011.html,ACC,13.48,W,58,44,6,0,W 6,Tallahassee-Leon County Civic Center,/cbb/schools/ohio-state/men/2011.html,@,
6,/cbb/boxscores/2010-12-09-ohio-state.html,"Thu, Dec 9, 2010",REG,/cbb/schools/iupui/men/2011.html,IUPUI,/cbb/conferences/summit/men/2011.html,Summit,0.39,W,75,64,7,0,W 7,Value City Arena,/cbb/schools/ohio-state/men/2011.html,,
7,/cbb/boxscores/2010-12-12-ohio-state.html,"Sun, Dec 12, 2010",REG,/cbb/schools/western-carolina/men/2011.html,Western Carolina,/cbb/conferences/southern/men/2011.html,Southern,-3.54,W,85,60,8,0,W 8,St. John Arena,/cbb/schools/ohio-state/men/2011.html,,
8,/cbb/boxscores/2010-12-15-ohio-state.html,"Wed, Dec 15, 2010",REG,/cbb/schools/florida-gulf-coast/men/2011.html,Florida Gulf Coast,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-10.27,W,83,55,9,0,W 9,Value City Arena,/cbb/schools/ohio-state/men/2011.html,,
9,/cbb/boxscores/2010-12-18-ohio-state.html,"Sat, Dec 18, 2010",REG,/cbb/schools/south-carolina/men/2011.html,South Carolina,/cbb/conferences/sec/men/2011.html,SEC,4.17,W,79,57,10,0,W 10,Value City Arena,/cbb/schools/ohio-state/men/2011.html,,
