,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2010-11-12-old-dominion.html,"Fri, Nov 12, 2010",REG,/cbb/schools/georgetown/men/2011.html,Georgetown,/cbb/conferences/big-east/men/2011.html,Big East,14.61,L,59,62,0,1,L 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
1,/cbb/boxscores/2010-11-15-old-dominion.html,"Mon, Nov 15, 2010",REG,/cbb/schools/high-point/men/2011.html,High Point,/cbb/conferences/big-south/men/2011.html,Big South,-12.82,W,79,57,1,1,W 1,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
2,/cbb/boxscores/2010-11-19-old-dominion.html,"Fri, Nov 19, 2010",REG,/cbb/schools/saint-peters/men/2011.html,Saint Peter's,/cbb/conferences/maac/men/2011.html,MAAC,-0.28,W,59,52,2,1,W 2,Virgin Islands Sport & Fitness Center,/cbb/schools/old-dominion/men/2011.html,N
3,/cbb/boxscores/2010-11-21-clemson.html,"Sun, Nov 21, 2010",REG,/cbb/schools/clemson/men/2011.html,Clemson,/cbb/conferences/acc/men/2011.html,ACC,13.76,W,61,60,3,1,W 3,Virgin Islands Sport & Fitness Center,/cbb/schools/old-dominion/men/2011.html,N
4,/cbb/boxscores/2010-11-22-xavier.html,"Mon, Nov 22, 2010",REG,/cbb/schools/xavier/men/2011.html,Xavier,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.88,W,67,58,4,1,W 4,Virgin Islands Sport & Fitness Center,/cbb/schools/old-dominion/men/2011.html,N
5,/cbb/boxscores/2010-12-01-old-dominion.html,"Wed, Dec 1, 2010",REG,/cbb/schools/richmond/men/2011.html,Richmond,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.23,W,77,70,5,1,W 5,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
6,/cbb/boxscores/2010-12-04-delaware.html,"Sat, Dec 4, 2010",REG,/cbb/schools/delaware/men/2011.html,Delaware,/cbb/conferences/colonial/men/2011.html,CAA,-3.79,L,67,75,5,2,L 1,Bob Carpenter Center,/cbb/schools/old-dominion/men/2011.html,@
7,/cbb/boxscores/2010-12-07-east-carolina.html,"Tue, Dec 7, 2010",REG,/cbb/schools/east-carolina/men/2011.html,East Carolina,/cbb/conferences/cusa/men/2011.html,CUSA,1.67,W,81,68,6,2,W 1,Williams Arena at Minges Coliseum,/cbb/schools/old-dominion/men/2011.html,@
8,/cbb/boxscores/2010-12-09-old-dominion.html,"Thu, Dec 9, 2010",REG,/cbb/schools/maryland-eastern-shore/men/2011.html,Maryland-Eastern Shore,/cbb/conferences/meac/men/2011.html,MEAC,-19.35,W,81,39,7,2,W 2,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
9,/cbb/boxscores/2010-12-11-old-dominion.html,"Sat, Dec 11, 2010",REG,/cbb/schools/dayton/men/2011.html,Dayton,/cbb/conferences/atlantic-10/men/2011.html,A-10,4.87,W,74,71,8,2,W 3,Ted Constant Convocaation Center,/cbb/schools/old-dominion/men/2011.html,
