,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2010-11-12-princeton.html,"Fri, Nov 12, 2010",REG,/cbb/schools/rutgers/men/2011.html,Rutgers,/cbb/conferences/big-east/men/2011.html,Big East,7.88,W,78,73,OT,1,0,W 1,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
1,/cbb/boxscores/2010-11-14-duke.html,"Sun, Nov 14, 2010",REG,/cbb/schools/duke/men/2011.html,Duke,/cbb/conferences/acc/men/2011.html,ACC,24.51,L,60,97,,1,1,L 1,Cameron Indoor Stadium,/cbb/schools/princeton/men/2011.html,@
2,/cbb/boxscores/2010-11-22-james-madison.html,"Mon, Nov 22, 2010",REG,/cbb/schools/james-madison/men/2011.html,James Madison,/cbb/conferences/colonial/men/2011.html,CAA,2.94,L,64,65,,1,2,L 2,JMU Convocation Center,/cbb/schools/princeton/men/2011.html,@
3,/cbb/boxscores/2010-11-23-princeton.html,"Tue, Nov 23, 2010",REG,/cbb/schools/bucknell/men/2011.html,Bucknell,/cbb/conferences/patriot/men/2011.html,Patriot,2.39,W,66,55,,2,2,W 1,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,N
4,/cbb/boxscores/2010-11-24-presbyterian.html,"Wed, Nov 24, 2010",REG,/cbb/schools/presbyterian/men/2011.html,Presbyterian,/cbb/conferences/big-south/men/2011.html,Big South,-7.72,L,67,69,,2,3,L 1,Ross E. Templeton Center,/cbb/schools/princeton/men/2011.html,N
5,/cbb/boxscores/2010-11-28-princeton.html,"Sun, Nov 28, 2010",REG,/cbb/schools/siena/men/2011.html,Siena,/cbb/conferences/maac/men/2011.html,MAAC,-3.83,W,86,77,OT,3,3,W 1,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
6,/cbb/boxscores/2010-11-30-lafayette.html,"Tue, Nov 30, 2010",REG,/cbb/schools/lafayette/men/2011.html,Lafayette,/cbb/conferences/patriot/men/2011.html,Patriot,-7.26,W,82,64,,4,3,W 2,Kirby Sports Center,/cbb/schools/princeton/men/2011.html,@
7,/cbb/boxscores/2010-12-05-princeton.html,"Sun, Dec 5, 2010",REG,/cbb/schools/saint-josephs/men/2011.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2011.html,A-10,-1.75,W,74,65,,5,3,W 3,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
8,/cbb/boxscores/2010-12-08-monmouth.html,"Wed, Dec 8, 2010",REG,/cbb/schools/monmouth/men/2011.html,Monmouth,/cbb/conferences/northeast/men/2011.html,NEC,-9.67,W,64,61,,6,3,W 4,Multipurpose Activity Center,/cbb/schools/princeton/men/2011.html,@
9,/cbb/boxscores/2010-12-12-tulsa.html,"Sun, Dec 12, 2010",REG,/cbb/schools/tulsa/men/2011.html,Tulsa,/cbb/conferences/cusa/men/2011.html,CUSA,6.06,W,82,78,2OT,7,3,W 5,Donald W. Reynolds Center,/cbb/schools/princeton/men/2011.html,@
10,/cbb/boxscores/2010-12-17-wagner.html,"Fri, Dec 17, 2010",REG,/cbb/schools/wagner/men/2011.html,Wagner,/cbb/conferences/northeast/men/2011.html,NEC,-6.54,W,69,57,,8,3,W 6,Spiro Sports Center,/cbb/schools/princeton/men/2011.html,@
11,/cbb/boxscores/2010-12-22-towson.html,"Wed, Dec 22, 2010",REG,/cbb/schools/towson/men/2011.html,Towson,/cbb/conferences/colonial/men/2011.html,CAA,-8.06,W,75,65,,9,3,W 7,Towson Center,/cbb/schools/princeton/men/2011.html,@
12,/cbb/boxscores/2010-12-29-northeastern.html,"Wed, Dec 29, 2010",REG,/cbb/schools/northeastern/men/2011.html,Northeastern,/cbb/conferences/colonial/men/2011.html,CAA,-2.67,W,65,63,,10,3,W 8,New UCF Arena,/cbb/schools/princeton/men/2011.html,N
13,/cbb/boxscores/2010-12-30-central-florida.html,"Thu, Dec 30, 2010",REG,/cbb/schools/central-florida/men/2011.html,UCF,/cbb/conferences/cusa/men/2011.html,CUSA,6.25,L,62,68,,10,4,L 1,New UCF Arena,/cbb/schools/princeton/men/2011.html,@
14,/cbb/boxscores/2011-01-05-princeton.html,"Wed, Jan 5, 2011",REG,/cbb/schools/marist/men/2011.html,Marist,/cbb/conferences/maac/men/2011.html,MAAC,-13.70,W,68,57,,11,4,W 1,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
15,/cbb/boxscores/2011-01-23-princeton.html,"Sun, Jan 23, 2011",REG,,College of New Jersey,,,,W,73,40,,12,4,W 2,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
16,/cbb/boxscores/2011-01-28-princeton.html,"Fri, Jan 28, 2011",REG,/cbb/schools/brown/men/2011.html,Brown,/cbb/conferences/ivy/men/2011.html,Ivy,-7.27,W,78,60,,13,4,W 3,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
17,/cbb/boxscores/2011-01-29-princeton.html,"Sat, Jan 29, 2011",REG,/cbb/schools/yale/men/2011.html,Yale,/cbb/conferences/ivy/men/2011.html,Ivy,-2.91,W,67,63,,14,4,W 4,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
18,/cbb/boxscores/2011-02-04-princeton.html,"Fri, Feb 4, 2011",REG,/cbb/schools/harvard/men/2011.html,Harvard,/cbb/conferences/ivy/men/2011.html,Ivy,4.88,W,65,61,,15,4,W 5,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
19,/cbb/boxscores/2011-02-05-princeton.html,"Sat, Feb 5, 2011",REG,/cbb/schools/dartmouth/men/2011.html,Dartmouth,/cbb/conferences/ivy/men/2011.html,Ivy,-14.86,W,68,53,,16,4,W 6,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
20,/cbb/boxscores/2011-02-08-princeton.html,"Tue, Feb 8, 2011",REG,/cbb/schools/pennsylvania/men/2011.html,Pennsylvania,/cbb/conferences/ivy/men/2011.html,Ivy,-2.99,W,62,59,OT,17,4,W 7,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
21,/cbb/boxscores/2011-02-11-columbia.html,"Fri, Feb 11, 2011",REG,/cbb/schools/columbia/men/2011.html,Columbia,/cbb/conferences/ivy/men/2011.html,Ivy,-5.22,W,76,46,,18,4,W 8,Levien Gymnasium,/cbb/schools/princeton/men/2011.html,@
22,/cbb/boxscores/2011-02-12-cornell.html,"Sat, Feb 12, 2011",REG,/cbb/schools/cornell/men/2011.html,Cornell,/cbb/conferences/ivy/men/2011.html,Ivy,-3.60,W,57,55,,19,4,W 9,Newman Arena,/cbb/schools/princeton/men/2011.html,@
23,/cbb/boxscores/2011-02-18-yale.html,"Fri, Feb 18, 2011",REG,/cbb/schools/yale/men/2011.html,Yale,/cbb/conferences/ivy/men/2011.html,Ivy,-2.91,W,58,51,,20,4,W 10,John J. Lee Amphitheater,/cbb/schools/princeton/men/2011.html,@
24,/cbb/boxscores/2011-02-19-brown.html,"Sat, Feb 19, 2011",REG,/cbb/schools/brown/men/2011.html,Brown,/cbb/conferences/ivy/men/2011.html,Ivy,-7.27,L,65,75,,20,5,L 1,Pizzitola Sports Center,/cbb/schools/princeton/men/2011.html,@
25,/cbb/boxscores/2011-02-25-princeton.html,"Fri, Feb 25, 2011",REG,/cbb/schools/cornell/men/2011.html,Cornell,/cbb/conferences/ivy/men/2011.html,Ivy,-3.60,W,84,66,,21,5,W 1,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
26,/cbb/boxscores/2011-02-26-princeton.html,"Sat, Feb 26, 2011",REG,/cbb/schools/columbia/men/2011.html,Columbia,/cbb/conferences/ivy/men/2011.html,Ivy,-5.22,W,66,61,,22,5,W 2,Jadwin Gymnasium,/cbb/schools/princeton/men/2011.html,
27,/cbb/boxscores/2011-03-04-dartmouth.html,"Fri, Mar 4, 2011",REG,/cbb/schools/dartmouth/men/2011.html,Dartmouth,/cbb/conferences/ivy/men/2011.html,Ivy,-14.86,W,77,55,,23,5,W 3,Leede Arena,/cbb/schools/princeton/men/2011.html,@
28,/cbb/boxscores/2011-03-05-harvard.html,"Sat, Mar 5, 2011",REG,/cbb/schools/harvard/men/2011.html,Harvard,/cbb/conferences/ivy/men/2011.html,Ivy,4.88,L,67,79,,23,6,L 1,Lavietes Pavilion,/cbb/schools/princeton/men/2011.html,@
29,/cbb/boxscores/2011-03-08-pennsylvania.html,"Tue, Mar 8, 2011",REG,/cbb/schools/pennsylvania/men/2011.html,Pennsylvania,/cbb/conferences/ivy/men/2011.html,Ivy,-2.99,W,70,58,,24,6,W 1,The Palestra,/cbb/schools/princeton/men/2011.html,@
30,/cbb/boxscores/2011-03-12-princeton.html,"Sat, Mar 12, 2011",REG,/cbb/schools/harvard/men/2011.html,Harvard,/cbb/conferences/ivy/men/2011.html,Ivy,4.88,W,63,62,,25,6,W 2,John J. Lee Amphitheater,/cbb/schools/princeton/men/2011.html,N
31,/cbb/boxscores/2011-03-17-kentucky.html,"Thu, Mar 17, 2011",NCAA,/cbb/schools/kentucky/men/2011.html,Kentucky,/cbb/conferences/sec/men/2011.html,SEC,20.30,L,57,59,,25,7,L 1,St. Pete Times Forum,/cbb/schools/princeton/men/2011.html,N
