,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-13-southern-california.html,"Sat, Nov 13, 2010",REG,/cbb/schools/california-irvine/men/2011.html,UC Irvine,/cbb/conferences/big-west/men/2011.html,Big West,-3.78,W,62,49,1,0,W 1,Galen Center,/cbb/schools/southern-california/men/2011.html,,
1,/cbb/boxscores/2010-11-15-southern-california.html,"Mon, Nov 15, 2010",REG,/cbb/schools/santa-clara/men/2011.html,Santa Clara,/cbb/conferences/wcc/men/2011.html,WCC,3.06,W,86,73,2,0,W 2,Galen Center,/cbb/schools/southern-california/men/2011.html,,
2,/cbb/boxscores/2010-11-17-southern-california.html,"Wed, Nov 17, 2010",REG,/cbb/schools/rider/men/2011.html,Rider,/cbb/conferences/maac/men/2011.html,MAAC,1.62,L,57,77,2,1,L 1,Galen Center,/cbb/schools/southern-california/men/2011.html,,
3,/cbb/boxscores/2010-11-20-southern-california.html,"Sat, Nov 20, 2010",REG,/cbb/schools/bradley/men/2011.html,Bradley,/cbb/conferences/mvc/men/2011.html,MVC,-1.52,L,63,64,2,2,L 2,MassMutual Center,/cbb/schools/southern-california/men/2011.html,N,
4,/cbb/boxscores/2010-11-21-new-mexico-state.html,"Sun, Nov 21, 2010",REG,/cbb/schools/new-mexico-state/men/2011.html,New Mexico State,/cbb/conferences/wac/men/2011.html,WAC,2.11,W,80,61,3,2,W 1,MassMutual Center,/cbb/schools/southern-california/men/2011.html,N,
5,/cbb/boxscores/2010-11-24-southern-california.html,"Wed, Nov 24, 2010",REG,/cbb/schools/cal-state-fullerton/men/2011.html,Cal State Fullerton,/cbb/conferences/big-west/men/2011.html,Big West,-7.68,W,81,54,4,2,W 2,Galen Center,/cbb/schools/southern-california/men/2011.html,,
6,/cbb/boxscores/2010-11-27-nebraska.html,"Sat, Nov 27, 2010",REG,/cbb/schools/nebraska/men/2011.html,Nebraska,/cbb/conferences/big-12/men/2011.html,Big 12,10.54,L,58,60,4,3,L 1,Bob Devaney Sports Center,/cbb/schools/southern-california/men/2011.html,@,
7,/cbb/boxscores/2010-11-29-texas-christian.html,"Mon, Nov 29, 2010",REG,/cbb/schools/texas-christian/men/2011.html,TCU,/cbb/conferences/mwc/men/2011.html,MWC,0.96,L,69,81,4,4,L 2,Daniel-Meyer Coliseum,/cbb/schools/southern-california/men/2011.html,@,
8,/cbb/boxscores/2010-12-05-southern-california.html,"Sun, Dec 5, 2010",REG,/cbb/schools/texas/men/2011.html,Texas,/cbb/conferences/big-12/men/2011.html,Big 12,20.82,W,73,56,5,4,W 1,Galen Center,/cbb/schools/southern-california/men/2011.html,,
9,/cbb/boxscores/2010-12-11-southern-california.html,"Sat, Dec 11, 2010",REG,/cbb/schools/northern-arizona/men/2011.html,Northern Arizona,/cbb/conferences/big-sky/men/2011.html,Big Sky,0.62,W,60,52,6,4,W 2,Galen Center,/cbb/schools/southern-california/men/2011.html,,
