,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-12-temple.html,"Fri, Nov 12, 2010",REG,/cbb/schools/seton-hall/men/2011.html,Seton Hall,/cbb/conferences/big-east/men/2011.html,Big East,11.03,W,62,56,1,0,W 1,Liacouras Center,/cbb/schools/temple/men/2011.html,,
1,/cbb/boxscores/2010-11-14-temple.html,"Sun, Nov 14, 2010",REG,/cbb/schools/toledo/men/2011.html,Toledo,/cbb/conferences/mac/men/2011.html,MAC,-14.75,W,82,49,2,0,W 2,Liacouras Center,/cbb/schools/temple/men/2011.html,,
2,/cbb/boxscores/2010-11-25-california.html,"Thu, Nov 25, 2010",REG,/cbb/schools/california/men/2011.html,California,/cbb/conferences/pac-10/men/2011.html,Pac-10,9.45,L,50,57,2,1,L 1,State Farm Field House,/cbb/schools/temple/men/2011.html,N,
3,/cbb/boxscores/2010-11-26-temple.html,"Fri, Nov 26, 2010",REG,/cbb/schools/georgia/men/2011.html,Georgia,/cbb/conferences/sec/men/2011.html,SEC,10.43,W,65,58,3,1,W 1,State Farm Field House,/cbb/schools/temple/men/2011.html,N,
4,/cbb/boxscores/2010-11-28-temple.html,"Sun, Nov 28, 2010",REG,/cbb/schools/texas-am/men/2011.html,Texas A&M,/cbb/conferences/big-12/men/2011.html,Big 12,12.62,L,51,54,3,2,L 1,State Farm Field House,/cbb/schools/temple/men/2011.html,N,
5,/cbb/boxscores/2010-12-01-central-michigan.html,"Wed, Dec 1, 2010",REG,/cbb/schools/central-michigan/men/2011.html,Central Michigan,/cbb/conferences/mac/men/2011.html,MAC,-8.01,W,65,53,4,2,W 1,Rose Arena,/cbb/schools/temple/men/2011.html,@,
6,/cbb/boxscores/2010-12-05-maryland.html,"Sun, Dec 5, 2010",REG,/cbb/schools/maryland/men/2011.html,Maryland,/cbb/conferences/acc/men/2011.html,ACC,15.00,W,64,61,5,2,W 2,Comcast Center,/cbb/schools/temple/men/2011.html,N,
7,/cbb/boxscores/2010-12-09-temple.html,"Thu, Dec 9, 2010",REG,/cbb/schools/georgetown/men/2011.html,Georgetown,/cbb/conferences/big-east/men/2011.html,Big East,14.61,W,68,65,6,2,W 3,Liacouras Center,/cbb/schools/temple/men/2011.html,,
8,/cbb/boxscores/2010-12-12-temple.html,"Sun, Dec 12, 2010",REG,/cbb/schools/akron/men/2011.html,Akron,/cbb/conferences/mac/men/2011.html,MAC,2.15,W,82,47,7,2,W 4,Liacouras Center,/cbb/schools/temple/men/2011.html,,
9,/cbb/boxscores/2010-12-18-temple.html,"Sat, Dec 18, 2010",REG,/cbb/schools/northern-illinois/men/2011.html,Northern Illinois,/cbb/conferences/mac/men/2011.html,MAC,-8.05,W,84,74,8,2,W 5,Liacouras Center,/cbb/schools/temple/men/2011.html,,
10,/cbb/boxscores/2010-12-22-ohio.html,"Wed, Dec 22, 2010",REG,/cbb/schools/ohio/men/2011.html,Ohio,/cbb/conferences/mac/men/2011.html,MAC,0.59,W,76,65,9,2,W 6,Convocation Center,/cbb/schools/temple/men/2011.html,@,
11,/cbb/boxscores/2010-12-30-villanova.html,"Thu, Dec 30, 2010",REG,/cbb/schools/villanova/men/2011.html,Villanova,/cbb/conferences/big-east/men/2011.html,Big East,15.05,L,74,78,9,3,L 1,The Pavilion,/cbb/schools/temple/men/2011.html,@,
12,/cbb/boxscores/2011-01-05-fordham.html,"Wed, Jan 5, 2011",REG,/cbb/schools/fordham/men/2011.html,Fordham,/cbb/conferences/atlantic-10/men/2011.html,A-10,-8.77,W,70,51,10,3,W 1,Izod Center,/cbb/schools/temple/men/2011.html,N,
13,/cbb/boxscores/2011-01-09-temple.html,"Sun, Jan 9, 2011",REG,/cbb/schools/saint-louis/men/2011.html,Saint Louis,/cbb/conferences/atlantic-10/men/2011.html,A-10,2.83,W,57,53,11,3,W 2,Liacouras Center,/cbb/schools/temple/men/2011.html,,
14,/cbb/boxscores/2011-01-12-temple.html,"Wed, Jan 12, 2011",REG,/cbb/schools/st-bonaventure/men/2011.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2011.html,A-10,1.31,W,83,55,12,3,W 3,Liacouras Center,/cbb/schools/temple/men/2011.html,,
15,/cbb/boxscores/2011-01-15-duquesne.html,"Sat, Jan 15, 2011",REG,/cbb/schools/duquesne/men/2011.html,Duquesne,/cbb/conferences/atlantic-10/men/2011.html,A-10,10.33,L,66,78,12,4,L 1,A.J. Palumbo Center,/cbb/schools/temple/men/2011.html,@,
16,/cbb/boxscores/2011-01-19-temple.html,"Wed, Jan 19, 2011",REG,/cbb/schools/pennsylvania/men/2011.html,Pennsylvania,/cbb/conferences/ivy/men/2011.html,Ivy,-2.99,W,73,56,13,4,W 1,Liacouras Center,/cbb/schools/temple/men/2011.html,,
17,/cbb/boxscores/2011-01-22-xavier.html,"Sat, Jan 22, 2011",REG,/cbb/schools/xavier/men/2011.html,Xavier,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.88,L,77,88,13,5,L 1,Cintas Center,/cbb/schools/temple/men/2011.html,@,
18,/cbb/boxscores/2011-01-26-temple.html,"Wed, Jan 26, 2011",REG,/cbb/schools/charlotte/men/2011.html,Charlotte,/cbb/conferences/atlantic-10/men/2011.html,A-10,-2.54,W,76,67,14,5,W 1,Liacouras Center,/cbb/schools/temple/men/2011.html,,
19,/cbb/boxscores/2011-01-29-saint-josephs.html,"Sat, Jan 29, 2011",REG,/cbb/schools/saint-josephs/men/2011.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2011.html,A-10,-1.75,W,72,54,15,5,W 2,The Palestra,/cbb/schools/temple/men/2011.html,@,
20,/cbb/boxscores/2011-02-02-la-salle.html,"Wed, Feb 2, 2011",REG,/cbb/schools/la-salle/men/2011.html,La Salle,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.08,W,71,67,16,5,W 3,Tom Gola Arena,/cbb/schools/temple/men/2011.html,@,
21,/cbb/boxscores/2011-02-05-temple.html,"Sat, Feb 5, 2011",REG,/cbb/schools/rhode-island/men/2011.html,Rhode Island,/cbb/conferences/atlantic-10/men/2011.html,A-10,3.34,W,80,67,17,5,W 4,Liacouras Center,/cbb/schools/temple/men/2011.html,,
22,/cbb/boxscores/2011-02-09-temple.html,"Wed, Feb 9, 2011",REG,/cbb/schools/fordham/men/2011.html,Fordham,/cbb/conferences/atlantic-10/men/2011.html,A-10,-8.77,W,77,66,18,5,W 5,Liacouras Center,/cbb/schools/temple/men/2011.html,,
23,/cbb/boxscores/2011-02-12-dayton.html,"Sat, Feb 12, 2011",REG,/cbb/schools/dayton/men/2011.html,Dayton,/cbb/conferences/atlantic-10/men/2011.html,A-10,4.87,W,75,63,19,5,W 6,University of Dayton Arena,/cbb/schools/temple/men/2011.html,@,
24,/cbb/boxscores/2011-02-17-temple.html,"Thu, Feb 17, 2011",REG,/cbb/schools/richmond/men/2011.html,Richmond,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.23,W,73,53,20,5,W 7,Liacouras Center,/cbb/schools/temple/men/2011.html,,
25,/cbb/boxscores/2011-02-20-temple.html,"Sun, Feb 20, 2011",REG,/cbb/schools/saint-josephs/men/2011.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2011.html,A-10,-1.75,W,66,52,21,5,W 8,Liacouras Center,/cbb/schools/temple/men/2011.html,,
26,/cbb/boxscores/2011-02-23-duke.html,"Wed, Feb 23, 2011",REG,/cbb/schools/duke/men/2011.html,Duke,/cbb/conferences/acc/men/2011.html,ACC,24.51,L,61,78,21,6,L 1,Cameron Indoor Stadium,/cbb/schools/temple/men/2011.html,@,
27,/cbb/boxscores/2011-02-26-george-washington.html,"Sat, Feb 26, 2011",REG,/cbb/schools/george-washington/men/2011.html,George Washington,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.10,W,57,41,22,6,W 1,Charles E. Smith Center,/cbb/schools/temple/men/2011.html,@,
28,/cbb/boxscores/2011-03-02-massachusetts.html,"Wed, Mar 2, 2011",REG,/cbb/schools/massachusetts/men/2011.html,Massachusetts,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.76,W,73,67,23,6,W 2,Mullins Center,/cbb/schools/temple/men/2011.html,@,OT
29,/cbb/boxscores/2011-03-05-temple.html,"Sat, Mar 5, 2011",REG,/cbb/schools/la-salle/men/2011.html,La Salle,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.08,W,90,82,24,6,W 3,Liacouras Center,/cbb/schools/temple/men/2011.html,,
30,/cbb/boxscores/2011-03-11-temple.html,"Fri, Mar 11, 2011",CTOURN,/cbb/schools/la-salle/men/2011.html,La Salle,/cbb/conferences/atlantic-10/men/2011.html,A-10,-0.08,W,96,76,25,6,W 4,Boardwalk Hall,/cbb/schools/temple/men/2011.html,N,
31,/cbb/boxscores/2011-03-12-temple.html,"Sat, Mar 12, 2011",CTOURN,/cbb/schools/richmond/men/2011.html,Richmond,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.23,L,54,58,25,7,L 1,Boardwalk Hall,/cbb/schools/temple/men/2011.html,N,
32,/cbb/boxscores/2011-03-17-penn-state.html,"Thu, Mar 17, 2011",NCAA,/cbb/schools/penn-state/men/2011.html,Penn State,/cbb/conferences/big-ten/men/2011.html,Big Ten,11.98,W,66,64,26,7,W 1,McKale Center,/cbb/schools/temple/men/2011.html,N,
33,/cbb/boxscores/2011-03-19-san-diego-state.html,"Sat, Mar 19, 2011",NCAA,/cbb/schools/san-diego-state/men/2011.html,San Diego State,/cbb/conferences/mwc/men/2011.html,MWC,17.96,L,64,71,26,8,L 1,McKale Center,/cbb/schools/temple/men/2011.html,N,2OT
