,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
0,/cbb/boxscores/2010-11-12-texas-san-antonio.html,"Fri, Nov 12, 2010",REG,Huston-Tillotson,,W,82,65,1,0,W 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,,,
1,/cbb/boxscores/2010-11-17-evansville.html,"Wed, Nov 17, 2010",REG,Evansville,MVC,L,73,77,1,1,L 1,Roberts Stadium,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/evansville/men/2011.html,/cbb/conferences/mvc/men/2011.html,-0.30
2,/cbb/boxscores/2010-11-19-texas-san-antonio.html,"Fri, Nov 19, 2010",REG,Cameron,,W,71,61,2,1,W 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,,,
3,/cbb/boxscores/2010-11-22-texas-san-antonio.html,"Mon, Nov 22, 2010",REG,Troy,Sun Belt,W,81,70,3,1,W 2,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/troy/men/2011.html,/cbb/conferences/sun-belt/men/2011.html,-9.48
4,/cbb/boxscores/2010-11-30-texas-san-antonio.html,"Tue, Nov 30, 2010",REG,San Jose State,WAC,W,72,63,4,1,W 3,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/san-jose-state/men/2011.html,/cbb/conferences/wac/men/2011.html,-1.54
5,/cbb/boxscores/2010-12-02-california-riverside.html,"Thu, Dec 2, 2010",REG,UC Riverside,Big West,L,75,82,4,2,L 1,UCR Student Rec Center,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/california-riverside/men/2011.html,/cbb/conferences/big-west/men/2011.html,-8.26
6,/cbb/boxscores/2010-12-04-pepperdine.html,"Sat, Dec 4, 2010",REG,Pepperdine,WCC,W,86,81,5,2,W 1,Firestone Fieldhouse,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/pepperdine/men/2011.html,/cbb/conferences/wcc/men/2011.html,-3.91
7,/cbb/boxscores/2010-12-11-houston.html,"Sat, Dec 11, 2010",REG,Houston,CUSA,W,68,63,6,2,W 2,Hofheinz Pavilion,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/houston/men/2011.html,/cbb/conferences/cusa/men/2011.html,-2.71
8,/cbb/boxscores/2010-12-20-texas-san-antonio.html,"Mon, Dec 20, 2010",REG,Samford,Southern,L,73,74,6,3,L 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/samford/men/2011.html,/cbb/conferences/southern/men/2011.html,-11.39
9,/cbb/boxscores/2010-12-23-tulsa.html,"Thu, Dec 23, 2010",REG,Tulsa,CUSA,L,67,92,6,4,L 2,Donald W. Reynolds Center,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/tulsa/men/2011.html,/cbb/conferences/cusa/men/2011.html,6.06
10,/cbb/boxscores/2010-12-30-bowling-green-state.html,"Thu, Dec 30, 2010",REG,Bowling Green State,MAC,L,59,70,6,5,L 3,Anderson Arena,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/bowling-green-state/men/2011.html,/cbb/conferences/mac/men/2011.html,-5.94
11,/cbb/boxscores/2011-01-03-oklahoma-state.html,"Mon, Jan 3, 2011",REG,Oklahoma State,Big 12,L,63,79,6,6,L 4,Gallagher-Iba Arena,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/oklahoma-state/men/2011.html,/cbb/conferences/big-12/men/2011.html,8.53
12,/cbb/boxscores/2011-01-08-texas-san-antonio.html,"Sat, Jan 8, 2011",REG,Sam Houston,Southland,L,59,62,6,7,L 5,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/sam-houston-state/men/2011.html,/cbb/conferences/southland/men/2011.html,-2.38
13,/cbb/boxscores/2011-01-12-texas-am-corpus-christi.html,"Wed, Jan 12, 2011",REG,Texas A&M-Corpus Christi,Southland,W,55,47,7,7,W 1,American Bank Center,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/texas-am-corpus-christi/men/2011.html,/cbb/conferences/southland/men/2011.html,-12.31
14,/cbb/boxscores/2011-01-15-texas-san-antonio.html,"Sat, Jan 15, 2011",REG,Stephen F. Austin,Southland,L,59,68,7,8,L 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/stephen-f-austin/men/2011.html,/cbb/conferences/southland/men/2011.html,-3.29
15,/cbb/boxscores/2011-01-19-northwestern-state.html,"Wed, Jan 19, 2011",REG,Northwestern State,Southland,W,63,58,8,8,W 1,Prather Coliseum,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/northwestern-state/men/2011.html,/cbb/conferences/southland/men/2011.html,-8.88
16,/cbb/boxscores/2011-01-22-texas-san-antonio.html,"Sat, Jan 22, 2011",REG,Texas State,Southland,W,88,84,9,8,W 2,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/texas-state/men/2011.html,/cbb/conferences/southland/men/2011.html,-7.65
17,/cbb/boxscores/2011-01-24-texas-san-antonio.html,"Mon, Jan 24, 2011",REG,Oklahoma Panhandle State,,W,71,50,10,8,W 3,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,,,
18,/cbb/boxscores/2011-01-29-sam-houston-state.html,"Sat, Jan 29, 2011",REG,Sam Houston,Southland,L,67,88,10,9,L 1,Bernard Johnson Coliseum,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/sam-houston-state/men/2011.html,/cbb/conferences/southland/men/2011.html,-2.38
19,/cbb/boxscores/2011-02-02-texas-san-antonio.html,"Wed, Feb 2, 2011",REG,UT Arlington,Southland,W,70,62,11,9,W 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/texas-arlington/men/2011.html,/cbb/conferences/southland/men/2011.html,-7.59
20,/cbb/boxscores/2011-02-05-texas-san-antonio.html,"Sat, Feb 5, 2011",REG,Lamar,Southland,W,70,64,12,9,W 2,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/lamar/men/2011.html,/cbb/conferences/southland/men/2011.html,-6.69
21,/cbb/boxscores/2011-02-09-southeastern-louisiana.html,"Wed, Feb 9, 2011",REG,Southeastern Louisiana,Southland,L,73,79,12,10,L 1,University Center,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/southeastern-louisiana/men/2011.html,/cbb/conferences/southland/men/2011.html,-8.93
22,/cbb/boxscores/2011-02-12-stephen-f-austin.html,"Sat, Feb 12, 2011",REG,Stephen F. Austin,Southland,L,66,70,12,11,L 2,William Johnson Coliseum,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/stephen-f-austin/men/2011.html,/cbb/conferences/southland/men/2011.html,-3.29
23,/cbb/boxscores/2011-02-16-texas-san-antonio.html,"Wed, Feb 16, 2011",REG,McNeese State,Southland,W,65,61,13,11,W 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/mcneese-state/men/2011.html,/cbb/conferences/southland/men/2011.html,-4.70
24,/cbb/boxscores/2011-02-19-nicholls-state.html,"Sat, Feb 19, 2011",REG,Nicholls State,Southland,L,52,54,13,12,L 1,David Stopher Gymnasium,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/nicholls-state/men/2011.html,/cbb/conferences/southland/men/2011.html,-5.72
25,/cbb/boxscores/2011-02-23-texas-san-antonio.html,"Wed, Feb 23, 2011",REG,Texas A&M-Corpus Christi,Southland,W,71,62,14,12,W 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/texas-am-corpus-christi/men/2011.html,/cbb/conferences/southland/men/2011.html,-12.31
26,/cbb/boxscores/2011-02-26-texas-state.html,"Sat, Feb 26, 2011",REG,Texas State,Southland,L,80,82,14,13,L 1,Strahan Arena,/cbb/schools/texas-san-antonio/men/2011.html,@,/cbb/schools/texas-state/men/2011.html,/cbb/conferences/southland/men/2011.html,-7.65
27,/cbb/boxscores/2011-03-02-texas-san-antonio.html,"Wed, Mar 2, 2011",REG,Central Arkansas,Southland,W,70,58,15,13,W 1,Convocation Center,/cbb/schools/texas-san-antonio/men/2011.html,,/cbb/schools/central-arkansas/men/2011.html,/cbb/conferences/southland/men/2011.html,-19.16
