,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-12-vanderbilt.html,"Fri, Nov 12, 2010",REG,/cbb/schools/presbyterian/men/2011.html,Presbyterian,/cbb/conferences/big-south/men/2011.html,Big South,-7.72,W,88,47,1,0,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
1,/cbb/boxscores/2010-11-18-vanderbilt.html,"Thu, Nov 18, 2010",REG,/cbb/schools/nebraska/men/2011.html,Nebraska,/cbb/conferences/big-12/men/2011.html,Big 12,10.54,W,59,49,2,0,W 2,José Miguel Agrelot Coliseum,/cbb/schools/vanderbilt/men/2011.html,N,
2,/cbb/boxscores/2010-11-19-west-virginia.html,"Fri, Nov 19, 2010",REG,/cbb/schools/west-virginia/men/2011.html,West Virginia,/cbb/conferences/big-east/men/2011.html,Big East,16.15,L,71,74,2,1,L 1,José Miguel Agrelot Coliseum,/cbb/schools/vanderbilt/men/2011.html,N,
3,/cbb/boxscores/2010-11-21-north-carolina.html,"Sun, Nov 21, 2010",REG,/cbb/schools/north-carolina/men/2011.html,North Carolina,/cbb/conferences/acc/men/2011.html,ACC,18.87,W,72,65,3,1,W 1,José Miguel Agrelot Coliseum,/cbb/schools/vanderbilt/men/2011.html,N,
4,/cbb/boxscores/2010-11-24-vanderbilt.html,"Wed, Nov 24, 2010",REG,/cbb/schools/grambling/men/2011.html,Grambling,/cbb/conferences/swac/men/2011.html,SWAC,-18.45,W,92,59,4,1,W 2,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
5,/cbb/boxscores/2010-11-27-vanderbilt.html,"Sat, Nov 27, 2010",REG,/cbb/schools/appalachian-state/men/2011.html,Appalachian State,/cbb/conferences/southern/men/2011.html,Southern,-4.81,W,86,73,5,1,W 3,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
6,/cbb/boxscores/2010-12-01-vanderbilt.html,"Wed, Dec 1, 2010",REG,/cbb/schools/western-kentucky/men/2011.html,Western Kentucky,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-3.80,W,82,62,6,1,W 4,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
7,/cbb/boxscores/2010-12-04-vanderbilt.html,"Sat, Dec 4, 2010",REG,/cbb/schools/belmont/men/2011.html,Belmont,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,13.07,W,85,76,7,1,W 5,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
8,/cbb/boxscores/2010-12-08-missouri.html,"Wed, Dec 8, 2010",REG,/cbb/schools/missouri/men/2011.html,Missouri,/cbb/conferences/big-12/men/2011.html,Big 12,14.77,L,82,85,7,2,L 1,Mizzou Arena,/cbb/schools/vanderbilt/men/2011.html,@,OT
9,/cbb/boxscores/2010-12-18-vanderbilt.html,"Sat, Dec 18, 2010",REG,/cbb/schools/southeastern-louisiana/men/2011.html,Southeastern Louisiana,/cbb/conferences/southland/men/2011.html,Southland,-8.93,W,85,52,8,2,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
10,/cbb/boxscores/2010-12-21-middle-tennessee.html,"Tue, Dec 21, 2010",REG,/cbb/schools/middle-tennessee/men/2011.html,Middle Tennessee,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-2.74,W,72,53,9,2,W 2,Murphy Center,/cbb/schools/vanderbilt/men/2011.html,@,
11,/cbb/boxscores/2010-12-29-vanderbilt.html,"Wed, Dec 29, 2010",REG,/cbb/schools/marquette/men/2011.html,Marquette,/cbb/conferences/big-east/men/2011.html,Big East,14.89,W,77,76,10,2,W 3,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
12,/cbb/boxscores/2011-01-02-vanderbilt.html,"Sun, Jan 2, 2011",REG,/cbb/schools/davidson/men/2011.html,Davidson,/cbb/conferences/southern/men/2011.html,Southern,-0.39,W,80,52,11,2,W 4,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
13,/cbb/boxscores/2011-01-08-south-carolina.html,"Sat, Jan 8, 2011",REG,/cbb/schools/south-carolina/men/2011.html,South Carolina,/cbb/conferences/sec/men/2011.html,SEC,4.17,L,75,83,11,3,L 1,Colonial Life Arena,/cbb/schools/vanderbilt/men/2011.html,@,OT
14,/cbb/boxscores/2011-01-12-vanderbilt.html,"Wed, Jan 12, 2011",REG,/cbb/schools/georgia/men/2011.html,Georgia,/cbb/conferences/sec/men/2011.html,SEC,10.43,W,73,66,12,3,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
15,/cbb/boxscores/2011-01-15-tennessee.html,"Sat, Jan 15, 2011",REG,/cbb/schools/tennessee/men/2011.html,Tennessee,/cbb/conferences/sec/men/2011.html,SEC,11.08,L,64,67,12,4,L 1,Thompson-Boling Arena,/cbb/schools/vanderbilt/men/2011.html,@,
16,/cbb/boxscores/2011-01-19-vanderbilt.html,"Wed, Jan 19, 2011",REG,/cbb/schools/mississippi/men/2011.html,Mississippi,/cbb/conferences/sec/men/2011.html,SEC,8.71,W,84,74,13,4,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
17,/cbb/boxscores/2011-01-22-vanderbilt.html,"Sat, Jan 22, 2011",REG,/cbb/schools/saint-marys-ca/men/2011.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2011.html,WCC,13.04,W,89,70,14,4,W 2,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
18,/cbb/boxscores/2011-01-27-mississippi-state.html,"Thu, Jan 27, 2011",REG,/cbb/schools/mississippi-state/men/2011.html,Mississippi State,/cbb/conferences/sec/men/2011.html,SEC,3.38,W,81,74,15,4,W 3,Humphrey Coliseum,/cbb/schools/vanderbilt/men/2011.html,@,
19,/cbb/boxscores/2011-01-29-vanderbilt.html,"Sat, Jan 29, 2011",REG,/cbb/schools/arkansas/men/2011.html,Arkansas,/cbb/conferences/sec/men/2011.html,SEC,6.28,L,78,89,15,5,L 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
20,/cbb/boxscores/2011-02-01-florida.html,"Tue, Feb 1, 2011",REG,/cbb/schools/florida/men/2011.html,Florida,/cbb/conferences/sec/men/2011.html,SEC,16.27,L,61,65,15,6,L 2,Stephen C. O''Connell Center,/cbb/schools/vanderbilt/men/2011.html,@,OT
21,/cbb/boxscores/2011-02-05-vanderbilt.html,"Sat, Feb 5, 2011",REG,/cbb/schools/south-carolina/men/2011.html,South Carolina,/cbb/conferences/sec/men/2011.html,SEC,4.17,W,78,60,16,6,W 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
22,/cbb/boxscores/2011-02-10-vanderbilt.html,"Thu, Feb 10, 2011",REG,/cbb/schools/alabama/men/2011.html,Alabama,/cbb/conferences/sec/men/2011.html,SEC,11.70,W,81,77,17,6,W 2,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
23,/cbb/boxscores/2011-02-12-vanderbilt.html,"Sat, Feb 12, 2011",REG,/cbb/schools/kentucky/men/2011.html,Kentucky,/cbb/conferences/sec/men/2011.html,SEC,20.30,W,81,77,18,6,W 3,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
24,/cbb/boxscores/2011-02-16-georgia.html,"Wed, Feb 16, 2011",REG,/cbb/schools/georgia/men/2011.html,Georgia,/cbb/conferences/sec/men/2011.html,SEC,10.43,W,64,56,19,6,W 4,Stegeman Coliseum,/cbb/schools/vanderbilt/men/2011.html,@,
25,/cbb/boxscores/2011-02-19-auburn.html,"Sat, Feb 19, 2011",REG,/cbb/schools/auburn/men/2011.html,Auburn,/cbb/conferences/sec/men/2011.html,SEC,-2.47,W,77,60,20,6,W 5,Auburn Arena,/cbb/schools/vanderbilt/men/2011.html,@,
26,/cbb/boxscores/2011-02-22-vanderbilt.html,"Tue, Feb 22, 2011",REG,/cbb/schools/tennessee/men/2011.html,Tennessee,/cbb/conferences/sec/men/2011.html,SEC,11.08,L,51,60,20,7,L 1,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
27,/cbb/boxscores/2011-02-26-louisiana-state.html,"Sat, Feb 26, 2011",REG,/cbb/schools/louisiana-state/men/2011.html,Louisiana State,/cbb/conferences/sec/men/2011.html,SEC,-2.09,W,90,69,21,7,W 1,Maravich Assembly Center,/cbb/schools/vanderbilt/men/2011.html,@,
28,/cbb/boxscores/2011-03-01-kentucky.html,"Tue, Mar 1, 2011",REG,/cbb/schools/kentucky/men/2011.html,Kentucky,/cbb/conferences/sec/men/2011.html,SEC,20.30,L,66,68,21,8,L 1,Rupp Arena,/cbb/schools/vanderbilt/men/2011.html,@,
29,/cbb/boxscores/2011-03-05-vanderbilt.html,"Sat, Mar 5, 2011",REG,/cbb/schools/florida/men/2011.html,Florida,/cbb/conferences/sec/men/2011.html,SEC,16.27,L,76,86,21,9,L 2,Memorial Gymnasium,/cbb/schools/vanderbilt/men/2011.html,,
30,/cbb/boxscores/2011-03-10-vanderbilt.html,"Thu, Mar 10, 2011",CTOURN,/cbb/schools/louisiana-state/men/2011.html,Louisiana State,/cbb/conferences/sec/men/2011.html,SEC,-2.09,W,62,50,22,9,W 1,,/cbb/schools/vanderbilt/men/2011.html,N,
31,/cbb/boxscores/2011-03-11-mississippi-state.html,"Fri, Mar 11, 2011",CTOURN,/cbb/schools/mississippi-state/men/2011.html,Mississippi State,/cbb/conferences/sec/men/2011.html,SEC,3.38,W,87,81,23,9,W 2,Georgia Dome,/cbb/schools/vanderbilt/men/2011.html,N,
32,/cbb/boxscores/2011-03-12-florida.html,"Sat, Mar 12, 2011",CTOURN,/cbb/schools/florida/men/2011.html,Florida,/cbb/conferences/sec/men/2011.html,SEC,16.27,L,66,77,23,10,L 1,,/cbb/schools/vanderbilt/men/2011.html,N,
33,/cbb/boxscores/2011-03-17-richmond.html,"Thu, Mar 17, 2011",NCAA,/cbb/schools/richmond/men/2011.html,Richmond,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.23,L,66,69,23,11,L 2,The Pepsi Center,/cbb/schools/vanderbilt/men/2011.html,N,
