,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2010-11-12-virginia-commonwealth.html,"Fri, Nov 12, 2010",REG,/cbb/schools/north-carolina-greensboro/men/2011.html,UNC Greensboro,/cbb/conferences/southern/men/2011.html,Southern,-9.95,W,101,86,1,0,W 1,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/virginia-commonwealth/men/2011.html,,
1,/cbb/boxscores/2010-11-15-virginia-commonwealth.html,"Mon, Nov 15, 2010",REG,/cbb/schools/winthrop/men/2011.html,Winthrop,/cbb/conferences/big-south/men/2011.html,Big South,-5.38,W,67,54,2,0,W 2,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/virginia-commonwealth/men/2011.html,N,
2,/cbb/boxscores/2010-11-16-wake-forest.html,"Tue, Nov 16, 2010",REG,/cbb/schools/wake-forest/men/2011.html,Wake Forest,/cbb/conferences/acc/men/2011.html,ACC,-4.43,W,90,69,3,0,W 3,Lawrence Joel Veterans Memorial Coliseum,/cbb/schools/virginia-commonwealth/men/2011.html,@,
3,/cbb/boxscores/2010-11-24-tennessee.html,"Wed, Nov 24, 2010",REG,/cbb/schools/tennessee/men/2011.html,Tennessee,/cbb/conferences/sec/men/2011.html,SEC,11.08,L,72,77,3,1,L 1,,/cbb/schools/virginia-commonwealth/men/2011.html,N,
4,/cbb/boxscores/2010-11-26-ucla.html,"Fri, Nov 26, 2010",REG,/cbb/schools/ucla/men/2011.html,UCLA,/cbb/conferences/pac-10/men/2011.html,Pac-10,11.70,W,89,85,4,1,W 1,Madison Square Garden (IV),/cbb/schools/virginia-commonwealth/men/2011.html,N,
5,/cbb/boxscores/2010-12-01-south-florida.html,"Wed, Dec 1, 2010",REG,/cbb/schools/south-florida/men/2011.html,South Florida,/cbb/conferences/big-east/men/2011.html,Big East,4.28,L,59,60,4,2,L 1,Sun Dome,/cbb/schools/virginia-commonwealth/men/2011.html,@,OT
6,/cbb/boxscores/2010-12-04-virginia-commonwealth.html,"Sat, Dec 4, 2010",REG,/cbb/schools/william-mary/men/2011.html,William & Mary,/cbb/conferences/colonial/men/2011.html,CAA,-4.38,W,59,55,5,2,W 1,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/virginia-commonwealth/men/2011.html,,
7,/cbb/boxscores/2010-12-08-virginia-commonwealth.html,"Wed, Dec 8, 2010",REG,/cbb/schools/virginia-military-institute/men/2011.html,Virginia Military Institute,/cbb/conferences/big-south/men/2011.html,Big South,-4.23,W,86,80,6,2,W 2,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/virginia-commonwealth/men/2011.html,,
8,/cbb/boxscores/2010-12-11-richmond.html,"Sat, Dec 11, 2010",REG,/cbb/schools/richmond/men/2011.html,Richmond,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.23,L,60,72,6,3,L 1,Robins Center,/cbb/schools/virginia-commonwealth/men/2011.html,@,
9,/cbb/boxscores/2010-12-18-virginia-commonwealth.html,"Sat, Dec 18, 2010",REG,/cbb/schools/tulane/men/2011.html,Tulane,/cbb/conferences/cusa/men/2011.html,CUSA,-0.28,W,70,67,7,3,W 1,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/virginia-commonwealth/men/2011.html,,
10,/cbb/boxscores/2010-12-21-alabama-birmingham.html,"Tue, Dec 21, 2010",REG,/cbb/schools/alabama-birmingham/men/2011.html,UAB,/cbb/conferences/cusa/men/2011.html,CUSA,8.55,L,65,68,7,4,L 1,Bartow Arena,/cbb/schools/virginia-commonwealth/men/2011.html,@,
11,/cbb/boxscores/2010-12-29-virginia-commonwealth.html,"Wed, Dec 29, 2010",REG,/cbb/schools/wofford/men/2011.html,Wofford,/cbb/conferences/southern/men/2011.html,Southern,4.35,W,75,66,8,4,W 1,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/virginia-commonwealth/men/2011.html,,
12,/cbb/boxscores/2010-12-30-virginia-commonwealth.html,"Thu, Dec 30, 2010",REG,/cbb/schools/new-hampshire/men/2011.html,New Hampshire,/cbb/conferences/america-east/men/2011.html,AEC,-10.07,W,78,65,9,4,W 2,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/virginia-commonwealth/men/2011.html,,
13,/cbb/boxscores/2011-01-03-georgia-state.html,"Mon, Jan 3, 2011",REG,/cbb/schools/georgia-state/men/2011.html,Georgia State,/cbb/conferences/colonial/men/2011.html,CAA,-4.15,L,66,76,9,5,L 1,GSU Sports Arena,/cbb/schools/virginia-commonwealth/men/2011.html,@,
