,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2010-11-12-minnesota.html,"Fri, Nov 12, 2010",REG,@,/cbb/schools/minnesota/men/2011.html,Minnesota,/cbb/conferences/big-ten/men/2011.html,Big Ten,11.75,L,55,69,0,1,L 1,Williams Arena,/cbb/schools/wofford/men/2011.html,
1,/cbb/boxscores/2010-11-15-clemson.html,"Mon, Nov 15, 2010",REG,@,/cbb/schools/clemson/men/2011.html,Clemson,/cbb/conferences/acc/men/2011.html,ACC,13.76,L,70,78,0,2,L 2,Littlejohn Coliseum,/cbb/schools/wofford/men/2011.html,
2,/cbb/boxscores/2010-11-18-wofford.html,"Thu, Nov 18, 2010",REG,N,/cbb/schools/south-carolina-upstate/men/2011.html,South Carolina Upstate,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-12.44,W,79,61,1,2,W 1,Carolina First Arena,/cbb/schools/wofford/men/2011.html,
3,/cbb/boxscores/2010-11-19-wofford.html,"Fri, Nov 19, 2010",REG,N,/cbb/schools/georgetown/men/2011.html,Georgetown,/cbb/conferences/big-east/men/2011.html,Big East,14.61,L,59,74,1,3,L 1,Carolina First Arena,/cbb/schools/wofford/men/2011.html,
4,/cbb/boxscores/2010-11-21-wofford.html,"Sun, Nov 21, 2010",REG,N,/cbb/schools/george-mason/men/2011.html,George Mason,/cbb/conferences/colonial/men/2011.html,CAA,11.66,W,82,79,2,3,W 1,Carolina First Arena,/cbb/schools/wofford/men/2011.html,OT
5,/cbb/boxscores/2010-11-24-wofford.html,"Wed, Nov 24, 2010",REG,,/cbb/schools/air-force/men/2011.html,Air Force,/cbb/conferences/mwc/men/2011.html,MWC,2.71,L,66,72,2,4,L 1,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,OT
6,/cbb/boxscores/2010-11-27-xavier.html,"Sat, Nov 27, 2010",REG,@,/cbb/schools/xavier/men/2011.html,Xavier,/cbb/conferences/atlantic-10/men/2011.html,A-10,11.88,L,90,94,2,5,L 2,Cintas Center,/cbb/schools/wofford/men/2011.html,3OT
7,/cbb/boxscores/2010-12-02-wofford.html,"Thu, Dec 2, 2010",REG,,/cbb/schools/north-carolina-greensboro/men/2011.html,UNC Greensboro,/cbb/conferences/southern/men/2011.html,Southern,-9.95,W,92,70,3,5,W 1,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,
8,/cbb/boxscores/2010-12-04-elon.html,"Sat, Dec 4, 2010",REG,@,/cbb/schools/elon/men/2011.html,Elon,/cbb/conferences/southern/men/2011.html,Southern,-6.54,W,75,69,4,5,W 2,Alumni Gym,/cbb/schools/wofford/men/2011.html,
9,/cbb/boxscores/2010-12-11-south-carolina.html,"Sat, Dec 11, 2010",REG,@,/cbb/schools/south-carolina/men/2011.html,South Carolina,/cbb/conferences/sec/men/2011.html,SEC,4.17,L,53,64,4,6,L 1,Colonial Life Arena,/cbb/schools/wofford/men/2011.html,
10,/cbb/boxscores/2010-12-18-wofford.html,"Sat, Dec 18, 2010",REG,,/cbb/schools/high-point/men/2011.html,High Point,/cbb/conferences/big-south/men/2011.html,Big South,-12.82,W,79,65,5,6,W 1,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,
11,/cbb/boxscores/2010-12-29-virginia-commonwealth.html,"Wed, Dec 29, 2010",REG,@,/cbb/schools/virginia-commonwealth/men/2011.html,Virginia Commonwealth,/cbb/conferences/colonial/men/2011.html,CAA,8.56,L,66,75,5,7,L 1,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/wofford/men/2011.html,
12,/cbb/boxscores/2010-12-30-wofford.html,"Thu, Dec 30, 2010",REG,N,/cbb/schools/cornell/men/2011.html,Cornell,/cbb/conferences/ivy/men/2011.html,Ivy,-3.60,L,80,86,5,8,L 2,Alltel Pavilion at the Stuart C. Siegel Center,/cbb/schools/wofford/men/2011.html,
13,/cbb/boxscores/2011-01-06-wofford.html,"Thu, Jan 6, 2011",REG,,/cbb/schools/citadel/men/2011.html,The Citadel,/cbb/conferences/southern/men/2011.html,Southern,-9.84,W,78,60,6,8,W 1,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,
14,/cbb/boxscores/2011-01-08-wofford.html,"Sat, Jan 8, 2011",REG,,/cbb/schools/college-of-charleston/men/2011.html,College of Charleston,/cbb/conferences/southern/men/2011.html,Southern,6.17,L,73,77,6,9,L 1,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,
15,/cbb/boxscores/2011-01-12-georgia-southern.html,"Wed, Jan 12, 2011",REG,@,/cbb/schools/georgia-southern/men/2011.html,Georgia Southern,/cbb/conferences/southern/men/2011.html,Southern,-15.88,W,74,65,7,9,W 1,Hanner Fieldhouse,/cbb/schools/wofford/men/2011.html,
16,/cbb/boxscores/2011-01-15-davidson.html,"Sat, Jan 15, 2011",REG,@,/cbb/schools/davidson/men/2011.html,Davidson,/cbb/conferences/southern/men/2011.html,Southern,-0.39,W,69,64,8,9,W 2,Belk Arena,/cbb/schools/wofford/men/2011.html,
17,/cbb/boxscores/2011-01-20-wofford.html,"Thu, Jan 20, 2011",REG,,/cbb/schools/chattanooga/men/2011.html,Chattanooga,/cbb/conferences/southern/men/2011.html,Southern,-9.44,W,88,56,9,9,W 3,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,
18,/cbb/boxscores/2011-01-22-wofford.html,"Sat, Jan 22, 2011",REG,,/cbb/schools/samford/men/2011.html,Samford,/cbb/conferences/southern/men/2011.html,Southern,-11.39,W,81,43,10,9,W 4,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,
19,/cbb/boxscores/2011-01-24-wofford.html,"Mon, Jan 24, 2011",REG,,/cbb/schools/furman/men/2011.html,Furman,/cbb/conferences/southern/men/2011.html,Southern,-0.36,L,68,73,10,10,L 1,Benjamin Johnson Arena,/cbb/schools/wofford/men/2011.html,OT
