,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2012-03-16-alabama.html,"Fri, Mar 16, 2012",NCAA,/cbb/schools/creighton/men/2012.html,Creighton,/cbb/conferences/mvc/men/2012.html,MVC,12.92,L,57,58,21,12,L 2,Greensboro Coliseum,/cbb/schools/alabama/men/2012.html,N,
1,/cbb/boxscores/2012-03-15-baylor.html,"Thu, Mar 15, 2012",NCAA,/cbb/schools/south-dakota-state/men/2012.html,South Dakota State,/cbb/conferences/summit/men/2012.html,Summit,7.34,W,68,60,28,7,W 1,University Arena,/cbb/schools/baylor/men/2012.html,N,
2,/cbb/boxscores/2012-03-17-baylor.html,"Sat, Mar 17, 2012",NCAA,/cbb/schools/colorado/men/2012.html,Colorado,/cbb/conferences/pac-12/men/2012.html,Pac-12,7.91,W,80,63,29,7,W 2,University Arena,/cbb/schools/baylor/men/2012.html,N,
3,/cbb/boxscores/2012-03-23-baylor.html,"Fri, Mar 23, 2012",NCAA,/cbb/schools/xavier/men/2012.html,Xavier,/cbb/conferences/atlantic-10/men/2012.html,A-10,9.59,W,75,70,30,7,W 3,Georgia Dome,/cbb/schools/baylor/men/2012.html,N,
4,/cbb/boxscores/2012-03-25-baylor.html,"Sun, Mar 25, 2012",NCAA,/cbb/schools/kentucky/men/2012.html,Kentucky,/cbb/conferences/sec/men/2012.html,SEC,24.73,L,70,82,30,8,L 1,Georgia Dome,/cbb/schools/baylor/men/2012.html,N,
5,/cbb/boxscores/2012-03-16-belmont.html,"Fri, Mar 16, 2012",NCAA,/cbb/schools/georgetown/men/2012.html,Georgetown,/cbb/conferences/big-east/men/2012.html,Big East,16.81,L,59,74,27,8,L 1,Nationwide Arena,/cbb/schools/belmont/men/2012.html,N,
6,/cbb/boxscores/2012-03-13-brigham-young.html,"Tue, Mar 13, 2012",NCAA,/cbb/schools/iona/men/2012.html,Iona,/cbb/conferences/maac/men/2012.html,MAAC,8.36,W,78,72,26,8,W 1,University of Dayton Arena,/cbb/schools/brigham-young/men/2012.html,N,
7,/cbb/boxscores/2012-03-15-brigham-young.html,"Thu, Mar 15, 2012",NCAA,/cbb/schools/marquette/men/2012.html,Marquette,/cbb/conferences/big-east/men/2012.html,Big East,16.92,L,68,88,26,9,L 1,KFC Yum! Center,/cbb/schools/brigham-young/men/2012.html,N,
8,/cbb/boxscores/2012-03-14-california.html,"Wed, Mar 14, 2012",NCAA,/cbb/schools/south-florida/men/2012.html,South Florida,/cbb/conferences/big-east/men/2012.html,Big East,9.2,L,54,65,24,10,L 2,University of Dayton Arena,/cbb/schools/california/men/2012.html,N,
9,/cbb/boxscores/2012-03-16-cincinnati.html,"Fri, Mar 16, 2012",NCAA,/cbb/schools/texas/men/2012.html,Texas,/cbb/conferences/big-12/men/2012.html,Big 12,14.0,W,65,59,25,10,W 1,Bridgestone Arena,/cbb/schools/cincinnati/men/2012.html,N,
10,/cbb/boxscores/2012-03-18-cincinnati.html,"Sun, Mar 18, 2012",NCAA,/cbb/schools/florida-state/men/2012.html,Florida State,/cbb/conferences/acc/men/2012.html,ACC,14.53,W,62,56,26,10,W 2,Bridgestone Arena,/cbb/schools/cincinnati/men/2012.html,N,
