,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-alabama.html,"Fri, Nov 11, 2011",REG,/cbb/schools/north-florida/men/2012.html,North Florida,/cbb/conferences/atlantic-sun/men/2012.html,A-Sun,-3.44,W,64,44,1,0,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
1,/cbb/boxscores/2011-11-14-alabama.html,"Mon, Nov 14, 2011",REG,/cbb/schools/oakland/men/2012.html,Oakland,/cbb/conferences/summit/men/2012.html,Summit,0.29,W,74,57,2,0,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
2,/cbb/boxscores/2011-11-17-alabama.html,"Thu, Nov 17, 2011",REG,/cbb/schools/maryland/men/2012.html,Maryland,/cbb/conferences/acc/men/2012.html,ACC,3.95,W,62,42,3,0,W 3,José Miguel Agrelot Coliseum,/cbb/schools/alabama/men/2012.html,N,
3,/cbb/boxscores/2011-11-18-alabama.html,"Fri, Nov 18, 2011",REG,/cbb/schools/wichita-state/men/2012.html,Wichita State,/cbb/conferences/mvc/men/2012.html,MVC,17.42,W,70,60,4,0,W 4,José Miguel Agrelot Coliseum,/cbb/schools/alabama/men/2012.html,N,
4,/cbb/boxscores/2011-11-20-alabama.html,"Sun, Nov 20, 2011",REG,/cbb/schools/purdue/men/2012.html,Purdue,/cbb/conferences/big-ten/men/2012.html,Big Ten,13.88,W,65,56,5,0,W 5,José Miguel Agrelot Coliseum,/cbb/schools/alabama/men/2012.html,N,
5,/cbb/boxscores/2011-11-23-alabama.html,"Wed, Nov 23, 2011",REG,/cbb/schools/alabama-am/men/2012.html,Alabama A&M,/cbb/conferences/swac/men/2012.html,SWAC,-19.33,W,82,45,6,0,W 6,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
6,/cbb/boxscores/2011-11-27-alabama.html,"Sun, Nov 27, 2011",REG,/cbb/schools/virginia-commonwealth/men/2012.html,Virginia Commonwealth,/cbb/conferences/colonial/men/2012.html,CAA,8.79,W,72,64,7,0,W 7,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
7,/cbb/boxscores/2011-12-01-alabama.html,"Thu, Dec 1, 2011",REG,/cbb/schools/georgetown/men/2012.html,Georgetown,/cbb/conferences/big-east/men/2012.html,Big East,16.81,L,55,57,7,1,L 1,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
8,/cbb/boxscores/2011-12-07-dayton.html,"Wed, Dec 7, 2011",REG,/cbb/schools/dayton/men/2012.html,Dayton,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.48,L,62,74,7,2,L 2,University of Dayton Arena,/cbb/schools/alabama/men/2012.html,@,
9,/cbb/boxscores/2011-12-11-alabama.html,"Sun, Dec 11, 2011",REG,/cbb/schools/detroit-mercy/men/2012.html,Detroit Mercy,/cbb/conferences/horizon/men/2012.html,Horizon,2.40,W,62,54,8,2,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
10,/cbb/boxscores/2011-12-17-alabama.html,"Sat, Dec 17, 2011",REG,/cbb/schools/kansas-state/men/2012.html,Kansas State,/cbb/conferences/big-12/men/2012.html,Big 12,14.47,L,58,71,8,3,L 1,Sprint Center,/cbb/schools/alabama/men/2012.html,N,
11,/cbb/boxscores/2011-12-21-alabama.html,"Wed, Dec 21, 2011",REG,/cbb/schools/oklahoma-state/men/2012.html,Oklahoma State,/cbb/conferences/big-12/men/2012.html,Big 12,7.02,W,69,52,9,3,W 1,BJCC Arena ,/cbb/schools/alabama/men/2012.html,N,
12,/cbb/boxscores/2011-12-29-alabama.html,"Thu, Dec 29, 2011",REG,/cbb/schools/jacksonville/men/2012.html,Jacksonville,/cbb/conferences/atlantic-sun/men/2012.html,A-Sun,-7.30,W,72,55,10,3,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
13,/cbb/boxscores/2012-01-03-georgia-tech.html,"Tue, Jan 3, 2012",REG,/cbb/schools/georgia-tech/men/2012.html,Georgia Tech,/cbb/conferences/acc/men/2012.html,ACC,1.74,W,73,48,11,3,W 3,State Farm Arena,/cbb/schools/alabama/men/2012.html,@,
14,/cbb/boxscores/2012-01-07-georgia.html,"Sat, Jan 7, 2012",REG,/cbb/schools/georgia/men/2012.html,Georgia,/cbb/conferences/sec/men/2012.html,SEC,5.92,W,74,59,12,3,W 4,Stegeman Coliseum,/cbb/schools/alabama/men/2012.html,@,
15,/cbb/boxscores/2012-01-11-alabama.html,"Wed, Jan 11, 2012",REG,/cbb/schools/louisiana-state/men/2012.html,Louisiana State,/cbb/conferences/sec/men/2012.html,SEC,6.66,W,69,53,13,3,W 5,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
16,/cbb/boxscores/2012-01-14-mississippi-state.html,"Sat, Jan 14, 2012",REG,/cbb/schools/mississippi-state/men/2012.html,Mississippi State,/cbb/conferences/sec/men/2012.html,SEC,9.13,L,52,56,13,4,L 1,Humphrey Coliseum,/cbb/schools/alabama/men/2012.html,@,
17,/cbb/boxscores/2012-01-19-alabama.html,"Thu, Jan 19, 2012",REG,/cbb/schools/vanderbilt/men/2012.html,Vanderbilt,/cbb/conferences/sec/men/2012.html,SEC,15.71,L,59,69,13,5,L 2,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
18,/cbb/boxscores/2012-01-21-kentucky.html,"Sat, Jan 21, 2012",REG,/cbb/schools/kentucky/men/2012.html,Kentucky,/cbb/conferences/sec/men/2012.html,SEC,24.73,L,71,77,13,6,L 3,Rupp Arena,/cbb/schools/alabama/men/2012.html,@,
19,/cbb/boxscores/2012-01-25-south-carolina.html,"Wed, Jan 25, 2012",REG,/cbb/schools/south-carolina/men/2012.html,South Carolina,/cbb/conferences/sec/men/2012.html,SEC,2.65,L,54,56,13,7,L 4,Colonial Life Arena,/cbb/schools/alabama/men/2012.html,@,
20,/cbb/boxscores/2012-01-28-alabama.html,"Sat, Jan 28, 2012",REG,/cbb/schools/arkansas/men/2012.html,Arkansas,/cbb/conferences/sec/men/2012.html,SEC,5.76,W,72,66,14,7,W 1,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,
21,/cbb/boxscores/2012-02-04-alabama.html,"Sat, Feb 4, 2012",REG,/cbb/schools/mississippi/men/2012.html,Mississippi,/cbb/conferences/sec/men/2012.html,SEC,6.53,W,69,67,15,7,W 2,Coleman Coliseum,/cbb/schools/alabama/men/2012.html,,2OT
