,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-baylor.html,"Fri, Nov 11, 2011",REG,/cbb/schools/texas-southern/men/2012.html,Texas Southern,/cbb/conferences/swac/men/2012.html,SWAC,-10.26,W,77,57,1,0,W 1,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
1,/cbb/boxscores/2011-11-13-baylor.html,"Sun, Nov 13, 2011",REG,/cbb/schools/jackson-state/men/2012.html,Jackson State,/cbb/conferences/swac/men/2012.html,SWAC,-17.50,W,92,59,2,0,W 2,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
2,/cbb/boxscores/2011-11-15-baylor.html,"Tue, Nov 15, 2011",REG,/cbb/schools/san-diego-state/men/2012.html,San Diego State,/cbb/conferences/mwc/men/2012.html,MWC,9.04,W,77,67,3,0,W 3,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
3,/cbb/boxscores/2011-11-22-baylor.html,"Tue, Nov 22, 2011",REG,/cbb/schools/south-carolina-state/men/2012.html,South Carolina State,/cbb/conferences/meac/men/2012.html,MEAC,-20.80,W,70,50,4,0,W 4,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
4,/cbb/boxscores/2011-11-23-baylor.html,"Wed, Nov 23, 2011",REG,/cbb/schools/texas-arlington/men/2012.html,UT Arlington,/cbb/conferences/southland/men/2012.html,Southland,3.35,W,75,65,5,0,W 5,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
5,/cbb/boxscores/2011-11-29-baylor.html,"Tue, Nov 29, 2011",REG,/cbb/schools/prairie-view/men/2012.html,Prairie View,/cbb/conferences/swac/men/2012.html,SWAC,-16.87,W,90,54,6,0,W 6,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
6,/cbb/boxscores/2011-12-04-northwestern.html,"Sun, Dec 4, 2011",REG,/cbb/schools/northwestern/men/2012.html,Northwestern,/cbb/conferences/big-ten/men/2012.html,Big Ten,8.87,W,69,41,7,0,W 7,Welsh-Ryan Arena,/cbb/schools/baylor/men/2012.html,@,
7,/cbb/boxscores/2011-12-14-baylor.html,"Wed, Dec 14, 2011",REG,/cbb/schools/bethune-cookman/men/2012.html,Bethune-Cookman,/cbb/conferences/meac/men/2012.html,MEAC,-9.11,W,69,42,8,0,W 8,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
8,/cbb/boxscores/2011-12-17-brigham-young.html,"Sat, Dec 17, 2011",REG,/cbb/schools/brigham-young/men/2012.html,Brigham Young,/cbb/conferences/wcc/men/2012.html,WCC,11.25,W,86,83,9,0,W 9,Marriott Center,/cbb/schools/baylor/men/2012.html,@,
9,/cbb/boxscores/2011-12-19-baylor.html,"Mon, Dec 19, 2011",REG,,Paul Quinn,,,,W,95,54,10,0,W 10,Ferrell Center,/cbb/schools/baylor/men/2012.html,,
