,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2011-11-11-utah-state.html,"Fri, Nov 11, 2011",REG,@,/cbb/schools/utah-state/men/2012.html,Utah State,/cbb/conferences/wac/men/2012.html,WAC,3.49,L,62,69,0,1,L 1,Dee Glen Smith Spectrum,/cbb/schools/brigham-young/men/2012.html
1,/cbb/boxscores/2011-11-15-brigham-young.html,"Tue, Nov 15, 2011",REG,,,Brigham Young-Hawaii,,,,W,73,52,1,1,W 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
2,/cbb/boxscores/2011-11-18-brigham-young.html,"Fri, Nov 18, 2011",REG,,/cbb/schools/longwood/men/2012.html,Longwood,/cbb/conferences/independent/men/2012.html,Ind,-20.47,W,92,60,2,1,W 2,Marriott Center,/cbb/schools/brigham-young/men/2012.html
3,/cbb/boxscores/2011-11-22-brigham-young.html,"Tue, Nov 22, 2011",REG,,/cbb/schools/prairie-view/men/2012.html,Prairie View,/cbb/conferences/swac/men/2012.html,SWAC,-16.87,W,90,51,3,1,W 3,Marriott Center,/cbb/schools/brigham-young/men/2012.html
4,/cbb/boxscores/2011-11-25-brigham-young.html,"Fri, Nov 25, 2011",REG,N,/cbb/schools/nevada/men/2012.html,Nevada,/cbb/conferences/wac/men/2012.html,WAC,4.54,W,76,55,4,1,W 4,Sears Centre ,/cbb/schools/brigham-young/men/2012.html
5,/cbb/boxscores/2011-11-26-brigham-young.html,"Sat, Nov 26, 2011",REG,N,/cbb/schools/wisconsin/men/2012.html,Wisconsin,/cbb/conferences/big-ten/men/2012.html,Big Ten,19.04,L,56,73,4,2,L 1,Sears Centre ,/cbb/schools/brigham-young/men/2012.html
6,/cbb/boxscores/2011-11-30-brigham-young.html,"Wed, Nov 30, 2011",REG,N,/cbb/schools/northern-arizona/men/2012.html,Northern Arizona,/cbb/conferences/big-sky/men/2012.html,Big Sky,-16.72,W,87,52,5,2,W 1,Tim's Toyota Center,/cbb/schools/brigham-young/men/2012.html
7,/cbb/boxscores/2011-12-03-brigham-young.html,"Sat, Dec 3, 2011",REG,N,/cbb/schools/oregon/men/2012.html,Oregon,/cbb/conferences/pac-12/men/2012.html,Pac-12,10.19,W,79,65,6,2,W 2,EnergySolutions Arena,/cbb/schools/brigham-young/men/2012.html
8,/cbb/boxscores/2011-12-07-brigham-young.html,"Wed, Dec 7, 2011",REG,,/cbb/schools/weber-state/men/2012.html,Weber State,/cbb/conferences/big-sky/men/2012.html,Big Sky,1.51,W,94,66,7,2,W 3,Marriott Center,/cbb/schools/brigham-young/men/2012.html
9,/cbb/boxscores/2011-12-10-utah.html,"Sat, Dec 10, 2011",REG,@,/cbb/schools/utah/men/2012.html,Utah,/cbb/conferences/pac-12/men/2012.html,Pac-12,-9.31,W,61,42,8,2,W 4,Jon M. Huntsman Center,/cbb/schools/brigham-young/men/2012.html
10,/cbb/boxscores/2011-12-17-brigham-young.html,"Sat, Dec 17, 2011",REG,,/cbb/schools/baylor/men/2012.html,Baylor,/cbb/conferences/big-12/men/2012.html,Big 12,16.54,L,83,86,8,3,L 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
11,/cbb/boxscores/2011-12-20-brigham-young.html,"Tue, Dec 20, 2011",REG,,/cbb/schools/buffalo/men/2012.html,Buffalo,/cbb/conferences/mac/men/2012.html,MAC,4.15,W,93,78,9,3,W 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
12,/cbb/boxscores/2011-12-22-brigham-young.html,"Thu, Dec 22, 2011",REG,,/cbb/schools/california-santa-barbara/men/2012.html,UC Santa Barbara,/cbb/conferences/big-west/men/2012.html,Big West,4.00,W,89,75,10,3,W 2,Marriott Center,/cbb/schools/brigham-young/men/2012.html
13,/cbb/boxscores/2011-12-27-brigham-young.html,"Tue, Dec 27, 2011",REG,,,Cal State San Marcos,,,,W,79,51,11,3,W 3,Marriott Center,/cbb/schools/brigham-young/men/2012.html
14,/cbb/boxscores/2011-12-29-saint-marys-ca.html,"Thu, Dec 29, 2011",REG,@,/cbb/schools/saint-marys-ca/men/2012.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2012.html,WCC,11.26,L,82,98,11,4,L 1,McKeon Pavilion,/cbb/schools/brigham-young/men/2012.html
15,/cbb/boxscores/2011-12-31-brigham-young.html,"Sat, Dec 31, 2011",REG,,/cbb/schools/san-diego/men/2012.html,San Diego,/cbb/conferences/wcc/men/2012.html,WCC,-3.76,W,88,52,12,4,W 1,Marriott Center,/cbb/schools/brigham-young/men/2012.html
16,/cbb/boxscores/2012-01-05-loyola-marymount.html,"Thu, Jan 5, 2012",REG,@,/cbb/schools/loyola-marymount/men/2012.html,Loyola Marymount,/cbb/conferences/wcc/men/2012.html,WCC,2.20,W,73,65,13,4,W 2,Gersten Pavilion,/cbb/schools/brigham-young/men/2012.html
17,/cbb/boxscores/2012-01-07-brigham-young.html,"Sat, Jan 7, 2012",REG,,/cbb/schools/san-francisco/men/2012.html,San Francisco,/cbb/conferences/wcc/men/2012.html,WCC,1.90,W,81,56,14,4,W 3,Marriott Center,/cbb/schools/brigham-young/men/2012.html
18,/cbb/boxscores/2012-01-14-brigham-young.html,"Sat, Jan 14, 2012",REG,,/cbb/schools/santa-clara/men/2012.html,Santa Clara,/cbb/conferences/wcc/men/2012.html,WCC,-6.79,W,95,78,15,4,W 4,Marriott Center,/cbb/schools/brigham-young/men/2012.html
19,/cbb/boxscores/2012-01-16-san-diego.html,"Mon, Jan 16, 2012",REG,@,/cbb/schools/san-diego/men/2012.html,San Diego,/cbb/conferences/wcc/men/2012.html,WCC,-3.76,W,82,63,16,4,W 5,Jenny Craig Pavilion,/cbb/schools/brigham-young/men/2012.html
