,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes,game_location
0,/cbb/boxscores/2011-11-13-cincinnati.html,"Sun, Nov 13, 2011",REG,/cbb/schools/alabama-state/men/2012.html,Alabama State,/cbb/conferences/swac/men/2012.html,SWAC,-15.79,W,65,40,1,0,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
1,/cbb/boxscores/2011-11-15-cincinnati.html,"Tue, Nov 15, 2011",REG,/cbb/schools/jacksonville-state/men/2012.html,Jacksonville State,/cbb/conferences/ovc/men/2012.html,OVC,-4.86,W,73,59,2,0,W 2,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
2,/cbb/boxscores/2011-11-19-cincinnati.html,"Sat, Nov 19, 2011",REG,/cbb/schools/presbyterian/men/2012.html,Presbyterian,/cbb/conferences/big-south/men/2012.html,Big South,-6.76,L,54,56,2,1,L 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
3,/cbb/boxscores/2011-11-21-cincinnati.html,"Mon, Nov 21, 2011",REG,/cbb/schools/northwestern-state/men/2012.html,Northwestern State,/cbb/conferences/southland/men/2012.html,Southland,-6.29,W,71,43,3,1,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
4,/cbb/boxscores/2011-11-25-cincinnati.html,"Fri, Nov 25, 2011",REG,/cbb/schools/marshall/men/2012.html,Marshall,/cbb/conferences/cusa/men/2012.html,CUSA,7.00,L,69,73,3,2,L 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,OT,
5,/cbb/boxscores/2011-11-29-cincinnati.html,"Tue, Nov 29, 2011",REG,/cbb/schools/miami-oh/men/2012.html,Miami (OH),/cbb/conferences/mac/men/2012.html,MAC,-2.07,W,56,47,4,2,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
6,/cbb/boxscores/2011-12-02-georgia.html,"Fri, Dec 2, 2011",REG,/cbb/schools/georgia/men/2012.html,Georgia,/cbb/conferences/sec/men/2012.html,SEC,5.92,W,57,51,5,2,W 2,Stegeman Coliseum,/cbb/schools/cincinnati/men/2012.html,,@
7,/cbb/boxscores/2011-12-10-xavier.html,"Sat, Dec 10, 2011",REG,/cbb/schools/xavier/men/2012.html,Xavier,/cbb/conferences/atlantic-10/men/2012.html,A-10,9.59,L,53,76,5,3,L 1,Cintas Center,/cbb/schools/cincinnati/men/2012.html,,@
8,/cbb/boxscores/2011-12-14-wright-state.html,"Wed, Dec 14, 2011",REG,/cbb/schools/wright-state/men/2012.html,Wright State,/cbb/conferences/horizon/men/2012.html,Horizon,-4.07,W,78,58,6,3,W 1,Nutter Center,/cbb/schools/cincinnati/men/2012.html,,@
9,/cbb/boxscores/2011-12-17-cincinnati.html,"Sat, Dec 17, 2011",REG,/cbb/schools/radford/men/2012.html,Radford,/cbb/conferences/big-south/men/2012.html,Big South,-13.14,W,101,70,7,3,W 2,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
10,/cbb/boxscores/2011-12-21-cincinnati.html,"Wed, Dec 21, 2011",REG,/cbb/schools/arkansas-pine-bluff/men/2012.html,Arkansas-Pine Bluff,/cbb/conferences/swac/men/2012.html,SWAC,-16.77,W,101,53,8,3,W 3,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
11,/cbb/boxscores/2011-12-23-cincinnati.html,"Fri, Dec 23, 2011",REG,/cbb/schools/chicago-state/men/2012.html,Chicago State,/cbb/conferences/great-west/men/2012.html,GWC,-19.30,W,95,60,9,3,W 4,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
12,/cbb/boxscores/2011-12-29-cincinnati.html,"Thu, Dec 29, 2011",REG,/cbb/schools/oklahoma/men/2012.html,Oklahoma,/cbb/conferences/big-12/men/2012.html,Big 12,7.28,W,56,55,10,3,W 5,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,N
13,/cbb/boxscores/2012-01-01-pittsburgh.html,"Sun, Jan 1, 2012",REG,/cbb/schools/pittsburgh/men/2012.html,Pittsburgh,/cbb/conferences/big-east/men/2012.html,Big East,9.43,W,66,63,11,3,W 6,Petersen Events Center,/cbb/schools/cincinnati/men/2012.html,,@
14,/cbb/boxscores/2012-01-04-cincinnati.html,"Wed, Jan 4, 2012",REG,/cbb/schools/notre-dame/men/2012.html,Notre Dame,/cbb/conferences/big-east/men/2012.html,Big East,11.18,W,71,55,12,3,W 7,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
15,/cbb/boxscores/2012-01-07-cincinnati.html,"Sat, Jan 7, 2012",REG,/cbb/schools/st-johns-ny/men/2012.html,St. John's (NY),/cbb/conferences/big-east/men/2012.html,Big East,2.63,L,55,57,12,4,L 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
16,/cbb/boxscores/2012-01-09-georgetown.html,"Mon, Jan 9, 2012",REG,/cbb/schools/georgetown/men/2012.html,Georgetown,/cbb/conferences/big-east/men/2012.html,Big East,16.81,W,68,64,13,4,W 1,Verizon Center,/cbb/schools/cincinnati/men/2012.html,,@
17,/cbb/boxscores/2012-01-14-cincinnati.html,"Sat, Jan 14, 2012",REG,/cbb/schools/villanova/men/2012.html,Villanova,/cbb/conferences/big-east/men/2012.html,Big East,7.89,W,82,78,14,4,W 2,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
18,/cbb/boxscores/2012-01-18-connecticut.html,"Wed, Jan 18, 2012",REG,/cbb/schools/connecticut/men/2012.html,Connecticut,/cbb/conferences/big-east/men/2012.html,Big East,12.27,W,70,67,15,4,W 3,Harry A. Gampel Pavilion,/cbb/schools/cincinnati/men/2012.html,,@
19,/cbb/boxscores/2012-01-21-west-virginia.html,"Sat, Jan 21, 2012",REG,/cbb/schools/west-virginia/men/2012.html,West Virginia,/cbb/conferences/big-east/men/2012.html,Big East,12.13,L,74,77,15,5,L 1,WVU Coliseum,/cbb/schools/cincinnati/men/2012.html,OT,@
20,/cbb/boxscores/2012-01-23-cincinnati.html,"Mon, Jan 23, 2012",REG,/cbb/schools/syracuse/men/2012.html,Syracuse,/cbb/conferences/big-east/men/2012.html,Big East,21.12,L,53,60,15,6,L 2,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
21,/cbb/boxscores/2012-01-28-rutgers.html,"Sat, Jan 28, 2012",REG,/cbb/schools/rutgers/men/2012.html,Rutgers,/cbb/conferences/big-east/men/2012.html,Big East,5.42,L,54,61,15,7,L 3,Louis Brown Athletic Center,/cbb/schools/cincinnati/men/2012.html,,@
22,/cbb/boxscores/2012-02-04-cincinnati.html,"Sat, Feb 4, 2012",REG,/cbb/schools/depaul/men/2012.html,DePaul,/cbb/conferences/big-east/men/2012.html,Big East,1.99,W,74,66,16,7,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
23,/cbb/boxscores/2012-02-08-st-johns-ny.html,"Wed, Feb 8, 2012",REG,/cbb/schools/st-johns-ny/men/2012.html,St. John's (NY),/cbb/conferences/big-east/men/2012.html,Big East,2.63,W,76,54,17,7,W 2,Madison Square Garden (IV),/cbb/schools/cincinnati/men/2012.html,,@
24,/cbb/boxscores/2012-02-11-marquette.html,"Sat, Feb 11, 2012",REG,/cbb/schools/marquette/men/2012.html,Marquette,/cbb/conferences/big-east/men/2012.html,Big East,16.92,L,78,95,17,8,L 1,Bradley Center,/cbb/schools/cincinnati/men/2012.html,,@
25,/cbb/boxscores/2012-02-15-cincinnati.html,"Wed, Feb 15, 2012",REG,/cbb/schools/providence/men/2012.html,Providence,/cbb/conferences/big-east/men/2012.html,Big East,4.16,W,81,66,18,8,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
26,/cbb/boxscores/2012-02-18-cincinnati.html,"Sat, Feb 18, 2012",REG,/cbb/schools/seton-hall/men/2012.html,Seton Hall,/cbb/conferences/big-east/men/2012.html,Big East,10.23,W,62,57,19,8,W 2,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
27,/cbb/boxscores/2012-02-23-cincinnati.html,"Thu, Feb 23, 2012",REG,/cbb/schools/louisville/men/2012.html,Louisville,/cbb/conferences/big-east/men/2012.html,Big East,16.19,W,60,56,20,8,W 3,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
28,/cbb/boxscores/2012-02-26-south-florida.html,"Sun, Feb 26, 2012",REG,/cbb/schools/south-florida/men/2012.html,South Florida,/cbb/conferences/big-east/men/2012.html,Big East,9.20,L,45,46,20,9,L 1,Sun Dome,/cbb/schools/cincinnati/men/2012.html,,@
29,/cbb/boxscores/2012-02-29-cincinnati.html,"Wed, Feb 29, 2012",REG,/cbb/schools/marquette/men/2012.html,Marquette,/cbb/conferences/big-east/men/2012.html,Big East,16.92,W,72,61,21,9,W 1,Fifth Third Arena,/cbb/schools/cincinnati/men/2012.html,,
30,/cbb/boxscores/2012-03-03-villanova.html,"Sat, Mar 3, 2012",REG,/cbb/schools/villanova/men/2012.html,Villanova,/cbb/conferences/big-east/men/2012.html,Big East,7.89,W,72,68,22,9,W 2,Wells Fargo Center,/cbb/schools/cincinnati/men/2012.html,,@
31,/cbb/boxscores/2012-03-08-cincinnati.html,"Thu, Mar 8, 2012",CTOURN,/cbb/schools/georgetown/men/2012.html,Georgetown,/cbb/conferences/big-east/men/2012.html,Big East,16.81,W,72,70,23,9,W 3,,/cbb/schools/cincinnati/men/2012.html,2OT,N
32,/cbb/boxscores/2012-03-09-cincinnati.html,"Fri, Mar 9, 2012",CTOURN,/cbb/schools/syracuse/men/2012.html,Syracuse,/cbb/conferences/big-east/men/2012.html,Big East,21.12,W,71,68,24,9,W 4,,/cbb/schools/cincinnati/men/2012.html,,N
33,/cbb/boxscores/2012-03-10-cincinnati.html,"Sat, Mar 10, 2012",CTOURN,/cbb/schools/louisville/men/2012.html,Louisville,/cbb/conferences/big-east/men/2012.html,Big East,16.19,L,44,50,24,10,L 1,Madison Square Garden (IV),/cbb/schools/cincinnati/men/2012.html,,N
34,/cbb/boxscores/2012-03-16-cincinnati.html,"Fri, Mar 16, 2012",NCAA,/cbb/schools/texas/men/2012.html,Texas,/cbb/conferences/big-12/men/2012.html,Big 12,14.00,W,65,59,25,10,W 1,Bridgestone Arena,/cbb/schools/cincinnati/men/2012.html,,N
35,/cbb/boxscores/2012-03-18-cincinnati.html,"Sun, Mar 18, 2012",NCAA,/cbb/schools/florida-state/men/2012.html,Florida State,/cbb/conferences/acc/men/2012.html,ACC,14.53,W,62,56,26,10,W 2,Bridgestone Arena,/cbb/schools/cincinnati/men/2012.html,,N
36,/cbb/boxscores/2012-03-22-cincinnati.html,"Thu, Mar 22, 2012",NCAA,/cbb/schools/ohio-state/men/2012.html,Ohio State,/cbb/conferences/big-ten/men/2012.html,Big Ten,23.95,L,66,81,26,11,L 1,TD Garden,/cbb/schools/cincinnati/men/2012.html,,N
