,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-colorado-state.html,"Fri, Nov 11, 2011",REG,/cbb/schools/montana/men/2012.html,Montana,/cbb/conferences/big-sky/men/2012.html,Big Sky,4.55,W,64,58,1,0,W 1,Moby Arena,/cbb/schools/colorado-state/men/2012.html,,
1,/cbb/boxscores/2011-11-14-colorado-state.html,"Mon, Nov 14, 2011",REG,/cbb/schools/southern-methodist/men/2012.html,Southern Methodist,/cbb/conferences/cusa/men/2012.html,CUSA,-1.26,W,75,56,2,0,W 2,Maples Pavilion,/cbb/schools/colorado-state/men/2012.html,N,
2,/cbb/boxscores/2011-11-15-stanford.html,"Tue, Nov 15, 2011",REG,/cbb/schools/stanford/men/2012.html,Stanford,/cbb/conferences/pac-12/men/2012.html,Pac-12,12.64,L,52,64,2,1,L 1,Maples Pavilion,/cbb/schools/colorado-state/men/2012.html,@,
3,/cbb/boxscores/2011-11-19-colorado-state.html,"Sat, Nov 19, 2011",REG,/cbb/schools/southern-mississippi/men/2012.html,Southern Mississippi,/cbb/conferences/cusa/men/2012.html,CUSA,7.79,L,58,79,2,2,L 2,Moby Arena,/cbb/schools/colorado-state/men/2012.html,,
4,/cbb/boxscores/2011-11-21-colorado-state.html,"Mon, Nov 21, 2011",REG,/cbb/schools/texas-san-antonio/men/2012.html,UTSA,/cbb/conferences/southland/men/2012.html,Southland,-1.83,W,85,75,3,2,W 1,Moby Arena,/cbb/schools/colorado-state/men/2012.html,,
5,/cbb/boxscores/2011-11-22-colorado-state.html,"Tue, Nov 22, 2011",REG,/cbb/schools/manhattan/men/2012.html,Manhattan,/cbb/conferences/maac/men/2012.html,MAAC,1.46,W,91,86,4,2,W 2,Moby Arena,/cbb/schools/colorado-state/men/2012.html,,OT
6,/cbb/boxscores/2011-11-30-colorado-state.html,"Wed, Nov 30, 2011",REG,/cbb/schools/colorado/men/2012.html,Colorado,/cbb/conferences/pac-12/men/2012.html,Pac-12,7.91,W,65,64,5,2,W 3,Moby Arena,/cbb/schools/colorado-state/men/2012.html,,
7,/cbb/boxscores/2011-12-03-northern-iowa.html,"Sat, Dec 3, 2011",REG,/cbb/schools/northern-iowa/men/2012.html,Northern Iowa,/cbb/conferences/mvc/men/2012.html,MVC,6.99,L,77,83,5,3,L 1,McLeod Center,/cbb/schools/colorado-state/men/2012.html,@,
8,/cbb/boxscores/2011-12-07-duke.html,"Wed, Dec 7, 2011",REG,/cbb/schools/duke/men/2012.html,Duke,/cbb/conferences/acc/men/2012.html,ACC,17.05,L,64,87,5,4,L 2,Cameron Indoor Stadium,/cbb/schools/colorado-state/men/2012.html,@,
9,/cbb/boxscores/2011-12-19-colorado-state.html,"Mon, Dec 19, 2011",REG,/cbb/schools/texas-southern/men/2012.html,Texas Southern,/cbb/conferences/swac/men/2012.html,SWAC,-10.26,W,85,61,6,4,W 1,Moby Arena,/cbb/schools/colorado-state/men/2012.html,,
