,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2011-11-11-colorado.html,"Fri, Nov 11, 2011",REG,Fort Lewis,,W,85,57,1,0,W 1,CU Events Center,/cbb/schools/colorado/men/2012.html,,,,,
1,/cbb/boxscores/2011-11-17-colorado.html,"Thu, Nov 17, 2011",REG,Wichita State,MVC,L,58,67,1,1,L 1,José Miguel Agrelot Coliseum,/cbb/schools/colorado/men/2012.html,N,/cbb/schools/wichita-state/men/2012.html,/cbb/conferences/mvc/men/2012.html,17.42,
2,/cbb/boxscores/2011-11-18-colorado.html,"Fri, Nov 18, 2011",REG,Maryland,ACC,L,71,78,1,2,L 2,José Miguel Agrelot Coliseum,/cbb/schools/colorado/men/2012.html,N,/cbb/schools/maryland/men/2012.html,/cbb/conferences/acc/men/2012.html,3.95,
3,/cbb/boxscores/2011-11-20-colorado.html,"Sun, Nov 20, 2011",REG,Western Michigan,MAC,W,81,76,2,2,W 1,José Miguel Agrelot Coliseum,/cbb/schools/colorado/men/2012.html,N,/cbb/schools/western-michigan/men/2012.html,/cbb/conferences/mac/men/2012.html,-1.80,
4,/cbb/boxscores/2011-11-23-air-force.html,"Wed, Nov 23, 2011",REG,Air Force,MWC,W,76,73,3,2,W 2,Clune Arena,/cbb/schools/colorado/men/2012.html,@,/cbb/schools/air-force/men/2012.html,/cbb/conferences/mwc/men/2012.html,-0.45,OT
5,/cbb/boxscores/2011-11-28-colorado.html,"Mon, Nov 28, 2011",REG,Georgia,SEC,W,70,68,4,2,W 3,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/georgia/men/2012.html,/cbb/conferences/sec/men/2012.html,5.92,
6,/cbb/boxscores/2011-11-30-colorado-state.html,"Wed, Nov 30, 2011",REG,Colorado State,MWC,L,64,65,4,3,L 1,Moby Arena,/cbb/schools/colorado/men/2012.html,@,/cbb/schools/colorado-state/men/2012.html,/cbb/conferences/mwc/men/2012.html,6.58,
7,/cbb/boxscores/2011-12-07-colorado.html,"Wed, Dec 7, 2011",REG,Fresno State,WAC,W,71,64,5,3,W 1,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/fresno-state/men/2012.html,/cbb/conferences/wac/men/2012.html,-0.91,
8,/cbb/boxscores/2011-12-09-colorado.html,"Fri, Dec 9, 2011",REG,Wyoming,MWC,L,54,65,5,4,L 1,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/wyoming/men/2012.html,/cbb/conferences/mwc/men/2012.html,6.79,
9,/cbb/boxscores/2011-12-19-colorado.html,"Mon, Dec 19, 2011",REG,Cal State Bakersfield,Ind,W,70,64,6,4,W 1,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/cal-state-bakersfield/men/2012.html,/cbb/conferences/independent/men/2012.html,-7.15,
10,/cbb/boxscores/2011-12-22-colorado.html,"Thu, Dec 22, 2011",REG,Texas Southern,SWAC,W,56,51,7,4,W 2,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/texas-southern/men/2012.html,/cbb/conferences/swac/men/2012.html,-10.26,
11,/cbb/boxscores/2011-12-28-colorado.html,"Wed, Dec 28, 2011",REG,New Orleans,,W,92,34,8,4,W 3,CU Events Center,/cbb/schools/colorado/men/2012.html,,,,,
12,/cbb/boxscores/2011-12-31-colorado.html,"Sat, Dec 31, 2011",REG,Utah,Pac-12,W,73,33,9,4,W 4,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/utah/men/2012.html,/cbb/conferences/pac-12/men/2012.html,-9.31,
13,/cbb/boxscores/2012-01-05-colorado.html,"Thu, Jan 5, 2012",REG,Washington,Pac-12,W,87,69,10,4,W 5,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/washington/men/2012.html,/cbb/conferences/pac-12/men/2012.html,10.79,
14,/cbb/boxscores/2012-01-07-colorado.html,"Sat, Jan 7, 2012",REG,Washington State,Pac-12,W,71,60,11,4,W 6,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/washington-state/men/2012.html,/cbb/conferences/pac-12/men/2012.html,6.17,
15,/cbb/boxscores/2012-01-12-california.html,"Thu, Jan 12, 2012",REG,California,Pac-12,L,50,57,11,5,L 1,Haas Pavilion,/cbb/schools/colorado/men/2012.html,@,/cbb/schools/california/men/2012.html,/cbb/conferences/pac-12/men/2012.html,13.79,
16,/cbb/boxscores/2012-01-14-stanford.html,"Sat, Jan 14, 2012",REG,Stanford,Pac-12,L,64,84,11,6,L 2,Maples Pavilion,/cbb/schools/colorado/men/2012.html,@,/cbb/schools/stanford/men/2012.html,/cbb/conferences/pac-12/men/2012.html,12.64,
17,/cbb/boxscores/2012-01-19-colorado.html,"Thu, Jan 19, 2012",REG,Arizona State,Pac-12,W,69,54,12,6,W 1,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/arizona-state/men/2012.html,/cbb/conferences/pac-12/men/2012.html,-1.01,
18,/cbb/boxscores/2012-01-21-colorado.html,"Sat, Jan 21, 2012",REG,Arizona,Pac-12,W,64,63,13,6,W 2,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/arizona/men/2012.html,/cbb/conferences/pac-12/men/2012.html,10.91,
19,/cbb/boxscores/2012-01-26-southern-california.html,"Thu, Jan 26, 2012",REG,Southern California,Pac-12,W,74,50,14,6,W 3,Galen Center,/cbb/schools/colorado/men/2012.html,@,/cbb/schools/southern-california/men/2012.html,/cbb/conferences/pac-12/men/2012.html,-0.51,
20,/cbb/boxscores/2012-01-28-ucla.html,"Sat, Jan 28, 2012",REG,UCLA,Pac-12,L,60,77,14,7,L 1,L.A. Sports Arena,/cbb/schools/colorado/men/2012.html,@,/cbb/schools/ucla/men/2012.html,/cbb/conferences/pac-12/men/2012.html,10.53,
21,/cbb/boxscores/2012-02-02-colorado.html,"Thu, Feb 2, 2012",REG,Oregon State,Pac-12,W,82,60,15,7,W 1,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/oregon-state/men/2012.html,/cbb/conferences/pac-12/men/2012.html,8.84,
22,/cbb/boxscores/2012-02-04-colorado.html,"Sat, Feb 4, 2012",REG,Oregon,Pac-12,W,72,71,16,7,W 2,CU Events Center,/cbb/schools/colorado/men/2012.html,,/cbb/schools/oregon/men/2012.html,/cbb/conferences/pac-12/men/2012.html,10.19,
