,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-creighton.html,"Fri, Nov 11, 2011",REG,/cbb/schools/north-carolina-at/men/2012.html,North Carolina A&T,/cbb/conferences/meac/men/2012.html,MEAC,-12.34,W,97,65,1,0,W 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2012.html,,
1,/cbb/boxscores/2011-11-13-creighton.html,"Sun, Nov 13, 2011",REG,/cbb/schools/chicago-state/men/2012.html,Chicago State,/cbb/conferences/great-west/men/2012.html,GWC,-19.30,W,95,61,2,0,W 2,CenturyLink Center Omaha,/cbb/schools/creighton/men/2012.html,,
2,/cbb/boxscores/2011-11-16-alabama-birmingham.html,"Wed, Nov 16, 2011",REG,/cbb/schools/alabama-birmingham/men/2012.html,UAB,/cbb/conferences/cusa/men/2012.html,CUSA,2.61,W,70,60,3,0,W 3,Bartow Arena,/cbb/schools/creighton/men/2012.html,@,
3,/cbb/boxscores/2011-11-20-creighton.html,"Sun, Nov 20, 2011",REG,/cbb/schools/iowa/men/2012.html,Iowa,/cbb/conferences/big-ten/men/2012.html,Big Ten,7.04,W,82,59,4,0,W 4,Wells Fargo Arena,/cbb/schools/creighton/men/2012.html,N,
4,/cbb/boxscores/2011-11-25-creighton.html,"Fri, Nov 25, 2011",REG,/cbb/schools/campbell/men/2012.html,Campbell,/cbb/conferences/big-south/men/2012.html,Big South,-6.06,W,104,81,5,0,W 5,CenturyLink Center Omaha,/cbb/schools/creighton/men/2012.html,,
5,/cbb/boxscores/2011-11-30-san-diego-state.html,"Wed, Nov 30, 2011",REG,/cbb/schools/san-diego-state/men/2012.html,San Diego State,/cbb/conferences/mwc/men/2012.html,MWC,9.04,W,85,83,6,0,W 6,Viejas Arena,/cbb/schools/creighton/men/2012.html,@,
6,/cbb/boxscores/2011-12-04-creighton.html,"Sun, Dec 4, 2011",REG,/cbb/schools/nebraska/men/2012.html,Nebraska,/cbb/conferences/big-ten/men/2012.html,Big Ten,3.52,W,76,66,7,0,W 7,CenturyLink Center Omaha,/cbb/schools/creighton/men/2012.html,,
7,/cbb/boxscores/2011-12-10-saint-josephs.html,"Sat, Dec 10, 2011",REG,/cbb/schools/saint-josephs/men/2012.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.25,L,71,80,7,1,L 1,Hagan Arena,/cbb/schools/creighton/men/2012.html,@,
8,/cbb/boxscores/2011-12-17-creighton.html,"Sat, Dec 17, 2011",REG,/cbb/schools/houston-baptist/men/2012.html,Houston Christian,/cbb/conferences/great-west/men/2012.html,GWC,-16.07,W,97,62,8,1,W 1,CenturyLink Center Omaha,/cbb/schools/creighton/men/2012.html,,
9,/cbb/boxscores/2011-12-19-tulsa.html,"Mon, Dec 19, 2011",REG,/cbb/schools/tulsa/men/2012.html,Tulsa,/cbb/conferences/cusa/men/2012.html,CUSA,5.82,W,83,64,9,1,W 2,Donald W. Reynolds Center,/cbb/schools/creighton/men/2012.html,@,
10,/cbb/boxscores/2011-12-22-creighton.html,"Thu, Dec 22, 2011",REG,/cbb/schools/northwestern/men/2012.html,Northwestern,/cbb/conferences/big-ten/men/2012.html,Big Ten,8.87,W,87,79,10,1,W 3,CenturyLink Center Omaha,/cbb/schools/creighton/men/2012.html,,
