,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs,overtimes
0,/cbb/boxscores/2011-11-11-detroit-mercy.html,"Fri, Nov 11, 2011",REG,Lake Erie,,W,95,57,1,0,W 1,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,,,,
1,/cbb/boxscores/2011-11-14-notre-dame.html,"Mon, Nov 14, 2011",REG,Notre Dame,Big East,L,53,59,1,1,L 1,Purcell Pavilion at the Joyce Center,/cbb/schools/detroit-mercy/men/2012.html,@,/cbb/schools/notre-dame/men/2012.html,/cbb/conferences/big-east/men/2012.html,11.18,
2,/cbb/boxscores/2011-11-18-detroit-mercy.html,"Fri, Nov 18, 2011",REG,Concordia (MI),,W,113,68,2,1,W 1,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,,,,
3,/cbb/boxscores/2011-11-21-detroit-mercy.html,"Mon, Nov 21, 2011",REG,George Washington,A-10,L,73,86,2,2,L 1,Stroh Center,/cbb/schools/detroit-mercy/men/2012.html,N,/cbb/schools/george-washington/men/2012.html,/cbb/conferences/atlantic-10/men/2012.html,-0.63,
4,/cbb/boxscores/2011-11-22-bowling-green-state.html,"Tue, Nov 22, 2011",REG,Bowling Green State,MAC,L,61,67,2,3,L 2,Stroh Center,/cbb/schools/detroit-mercy/men/2012.html,@,/cbb/schools/bowling-green-state/men/2012.html,/cbb/conferences/mac/men/2012.html,1.23,
5,/cbb/boxscores/2011-11-23-austin-peay.html,"Wed, Nov 23, 2011",REG,Austin Peay,OVC,W,94,93,3,3,W 1,Stroh Center,/cbb/schools/detroit-mercy/men/2012.html,N,/cbb/schools/austin-peay/men/2012.html,/cbb/conferences/ovc/men/2012.html,-4.86,OT
6,/cbb/boxscores/2011-11-26-akron.html,"Sat, Nov 26, 2011",REG,Akron,MAC,L,63,81,3,4,L 1,James A. Rhodes Arena,/cbb/schools/detroit-mercy/men/2012.html,@,/cbb/schools/akron/men/2012.html,/cbb/conferences/mac/men/2012.html,6.33,
7,/cbb/boxscores/2011-12-01-detroit-mercy.html,"Thu, Dec 1, 2011",REG,Youngstown State,Horizon,L,61,64,3,5,L 2,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,/cbb/schools/youngstown-state/men/2012.html,/cbb/conferences/horizon/men/2012.html,-1.78,
8,/cbb/boxscores/2011-12-03-detroit-mercy.html,"Sat, Dec 3, 2011",REG,Cleveland State,Horizon,L,61,66,3,6,L 3,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,/cbb/schools/cleveland-state/men/2012.html,/cbb/conferences/horizon/men/2012.html,5.27,
9,/cbb/boxscores/2011-12-05-detroit-mercy.html,"Mon, Dec 5, 2011",REG,St. John's (NY),Big East,W,69,63,4,6,W 1,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,/cbb/schools/st-johns-ny/men/2012.html,/cbb/conferences/big-east/men/2012.html,2.63,
10,/cbb/boxscores/2011-12-08-detroit-mercy.html,"Thu, Dec 8, 2011",REG,Western Michigan,MAC,W,92,81,5,6,W 2,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,/cbb/schools/western-michigan/men/2012.html,/cbb/conferences/mac/men/2012.html,-1.80,
11,/cbb/boxscores/2011-12-11-alabama.html,"Sun, Dec 11, 2011",REG,Alabama,SEC,L,54,62,5,7,L 1,Coleman Coliseum,/cbb/schools/detroit-mercy/men/2012.html,@,/cbb/schools/alabama/men/2012.html,/cbb/conferences/sec/men/2012.html,13.76,
12,/cbb/boxscores/2011-12-17-detroit-mercy.html,"Sat, Dec 17, 2011",REG,Mississippi State,SEC,L,75,80,5,8,L 2,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,/cbb/schools/mississippi-state/men/2012.html,/cbb/conferences/sec/men/2012.html,9.13,
13,/cbb/boxscores/2011-12-22-detroit-mercy.html,"Thu, Dec 22, 2011",REG,Alabama State,SWAC,W,80,56,6,8,W 1,Calihan Hall,/cbb/schools/detroit-mercy/men/2012.html,,/cbb/schools/alabama-state/men/2012.html,/cbb/conferences/swac/men/2012.html,-15.79,
