,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,overtimes
0,/cbb/boxscores/2011-11-17-iona.html,"Thu, Nov 17, 2011",REG,N,/cbb/schools/purdue/men/2012.html,Purdue,/cbb/conferences/big-ten/men/2012.html,Big Ten,13.88,L,90,91,0,1,L 1,José Miguel Agrelot Coliseum,/cbb/schools/iona/men/2012.html,
1,/cbb/boxscores/2011-11-18-iona.html,"Fri, Nov 18, 2011",REG,N,/cbb/schools/western-michigan/men/2012.html,Western Michigan,/cbb/conferences/mac/men/2012.html,MAC,-1.80,W,94,88,1,1,W 1,José Miguel Agrelot Coliseum,/cbb/schools/iona/men/2012.html,
2,/cbb/boxscores/2011-11-20-iona.html,"Sun, Nov 20, 2011",REG,N,/cbb/schools/maryland/men/2012.html,Maryland,/cbb/conferences/acc/men/2012.html,ACC,3.95,W,89,63,2,1,W 2,José Miguel Agrelot Coliseum,/cbb/schools/iona/men/2012.html,
3,/cbb/boxscores/2011-11-23-iona.html,"Wed, Nov 23, 2011",REG,,/cbb/schools/saint-josephs/men/2012.html,Saint Joseph's,/cbb/conferences/atlantic-10/men/2012.html,A-10,8.25,W,104,99,3,1,W 3,Hynes Athletic Center,/cbb/schools/iona/men/2012.html,2OT
4,/cbb/boxscores/2011-11-28-iona.html,"Mon, Nov 28, 2011",REG,,/cbb/schools/long-island-university/men/2012.html,Long Island University,/cbb/conferences/northeast/men/2012.html,NEC,-1.34,W,100,84,4,1,W 4,Hynes Athletic Center,/cbb/schools/iona/men/2012.html,
5,/cbb/boxscores/2011-12-02-canisius.html,"Fri, Dec 2, 2011",REG,@,/cbb/schools/canisius/men/2012.html,Canisius,/cbb/conferences/maac/men/2012.html,MAAC,-14.73,W,69,57,5,1,W 5,Koessler Athletic Center,/cbb/schools/iona/men/2012.html,
6,/cbb/boxscores/2011-12-04-niagara.html,"Sun, Dec 4, 2011",REG,@,/cbb/schools/niagara/men/2012.html,Niagara,/cbb/conferences/maac/men/2012.html,MAAC,-6.67,W,98,62,6,1,W 6,Gallagher Center,/cbb/schools/iona/men/2012.html,
7,/cbb/boxscores/2011-12-07-denver.html,"Wed, Dec 7, 2011",REG,@,/cbb/schools/denver/men/2012.html,Denver,/cbb/conferences/sun-belt/men/2012.html,Sun Belt,6.14,W,80,78,7,1,W 7,Magness Arena,/cbb/schools/iona/men/2012.html,OT
8,/cbb/boxscores/2011-12-11-marshall.html,"Sun, Dec 11, 2011",REG,@,/cbb/schools/marshall/men/2012.html,Marshall,/cbb/conferences/cusa/men/2012.html,CUSA,7.00,L,63,82,7,2,L 1,Cam Henderson Center,/cbb/schools/iona/men/2012.html,
9,/cbb/boxscores/2011-12-14-richmond.html,"Wed, Dec 14, 2011",REG,@,/cbb/schools/richmond/men/2012.html,Richmond,/cbb/conferences/atlantic-10/men/2012.html,A-10,4.71,W,88,79,8,2,W 1,Robins Center,/cbb/schools/iona/men/2012.html,
10,/cbb/boxscores/2011-12-17-vermont.html,"Sat, Dec 17, 2011",REG,@,/cbb/schools/vermont/men/2012.html,Vermont,/cbb/conferences/america-east/men/2012.html,AEC,0.98,W,73,72,9,2,W 2,Roy L. Patrick Gymnasium,/cbb/schools/iona/men/2012.html,
11,/cbb/boxscores/2011-12-21-william-mary.html,"Wed, Dec 21, 2011",REG,@,/cbb/schools/william-mary/men/2012.html,William & Mary,/cbb/conferences/colonial/men/2012.html,CAA,-10.79,W,83,65,10,2,W 3,Kaplan Arena at William and Mary Hall,/cbb/schools/iona/men/2012.html,
12,/cbb/boxscores/2011-12-29-hofstra.html,"Thu, Dec 29, 2011",REG,@,/cbb/schools/hofstra/men/2012.html,Hofstra,/cbb/conferences/colonial/men/2012.html,CAA,-2.98,L,75,83,10,3,L 1,Mack Sports Complex,/cbb/schools/iona/men/2012.html,
13,/cbb/boxscores/2012-01-03-iona.html,"Tue, Jan 3, 2012",REG,N,/cbb/schools/siena/men/2012.html,Siena,/cbb/conferences/maac/men/2012.html,MAAC,-5.71,W,95,59,11,3,W 1,Madison Square Garden (IV),/cbb/schools/iona/men/2012.html,
14,/cbb/boxscores/2012-01-06-iona.html,"Fri, Jan 6, 2012",REG,,/cbb/schools/niagara/men/2012.html,Niagara,/cbb/conferences/maac/men/2012.html,MAAC,-6.67,W,73,61,12,3,W 2,Hynes Athletic Center,/cbb/schools/iona/men/2012.html,
15,/cbb/boxscores/2012-01-08-marist.html,"Sun, Jan 8, 2012",REG,@,/cbb/schools/marist/men/2012.html,Marist,/cbb/conferences/maac/men/2012.html,MAAC,-8.20,W,100,76,13,3,W 3,McCann Arena,/cbb/schools/iona/men/2012.html,
16,/cbb/boxscores/2012-01-12-iona.html,"Thu, Jan 12, 2012",REG,,/cbb/schools/manhattan/men/2012.html,Manhattan,/cbb/conferences/maac/men/2012.html,MAAC,1.46,L,72,75,13,4,L 1,Hynes Athletic Center,/cbb/schools/iona/men/2012.html,
17,/cbb/boxscores/2012-01-15-iona.html,"Sun, Jan 15, 2012",REG,,/cbb/schools/loyola-md/men/2012.html,Loyola (MD),/cbb/conferences/maac/men/2012.html,MAAC,0.37,W,74,63,14,4,W 1,Hynes Athletic Center,/cbb/schools/iona/men/2012.html,
18,/cbb/boxscores/2012-01-20-iona.html,"Fri, Jan 20, 2012",REG,,/cbb/schools/rider/men/2012.html,Rider,/cbb/conferences/maac/men/2012.html,MAAC,-5.40,W,91,71,15,4,W 2,Hynes Athletic Center,/cbb/schools/iona/men/2012.html,
