,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2011-11-12-iowa-state.html,"Sat, Nov 12, 2011",REG,/cbb/schools/lehigh/men/2012.html,Lehigh,/cbb/conferences/patriot/men/2012.html,Patriot,4.27,W,86,77,1,0,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
1,/cbb/boxscores/2011-11-15-drake.html,"Tue, Nov 15, 2011",REG,/cbb/schools/drake/men/2012.html,Drake,/cbb/conferences/mvc/men/2012.html,MVC,2.44,L,65,74,1,1,L 1,Knapp Center,/cbb/schools/iowa-state/men/2012.html,@
2,/cbb/boxscores/2011-11-20-iowa-state.html,"Sun, Nov 20, 2011",REG,/cbb/schools/western-carolina/men/2012.html,Western Carolina,/cbb/conferences/southern/men/2012.html,Southern,-6.57,W,92,60,2,1,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
3,/cbb/boxscores/2011-11-22-iowa-state.html,"Tue, Nov 22, 2011",REG,/cbb/schools/northern-colorado/men/2012.html,Northern Colorado,/cbb/conferences/big-sky/men/2012.html,Big Sky,-6.23,W,90,82,3,1,W 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
4,/cbb/boxscores/2011-11-25-iowa-state.html,"Fri, Nov 25, 2011",REG,/cbb/schools/providence/men/2012.html,Providence,/cbb/conferences/big-east/men/2012.html,Big East,4.16,W,64,54,4,1,W 3,South Padre Island Convention Centre,/cbb/schools/iowa-state/men/2012.html,N
5,/cbb/boxscores/2011-11-26-iowa-state.html,"Sat, Nov 26, 2011",REG,/cbb/schools/rice/men/2012.html,Rice,/cbb/conferences/cusa/men/2012.html,CUSA,1.42,W,90,63,5,1,W 4,South Padre Island Convention Centre,/cbb/schools/iowa-state/men/2012.html,N
6,/cbb/boxscores/2011-11-30-iowa-state.html,"Wed, Nov 30, 2011",REG,/cbb/schools/northern-iowa/men/2012.html,Northern Iowa,/cbb/conferences/mvc/men/2012.html,MVC,6.99,L,62,69,5,2,L 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
7,/cbb/boxscores/2011-12-03-michigan.html,"Sat, Dec 3, 2011",REG,/cbb/schools/michigan/men/2012.html,Michigan,/cbb/conferences/big-ten/men/2012.html,Big Ten,13.19,L,66,76,5,3,L 2,Crisler Center,/cbb/schools/iowa-state/men/2012.html,@
8,/cbb/boxscores/2011-12-06-iowa-state.html,"Tue, Dec 6, 2011",REG,/cbb/schools/prairie-view/men/2012.html,Prairie View,/cbb/conferences/swac/men/2012.html,SWAC,-16.87,W,84,59,6,3,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
9,/cbb/boxscores/2011-12-09-iowa-state.html,"Fri, Dec 9, 2011",REG,/cbb/schools/iowa/men/2012.html,Iowa,/cbb/conferences/big-ten/men/2012.html,Big Ten,7.04,W,86,76,7,3,W 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
10,/cbb/boxscores/2011-12-18-iowa-state.html,"Sun, Dec 18, 2011",REG,/cbb/schools/central-michigan/men/2012.html,Central Michigan,/cbb/conferences/mac/men/2012.html,MAC,-6.74,W,59,52,8,3,W 3,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
11,/cbb/boxscores/2011-12-21-iowa-state.html,"Wed, Dec 21, 2011",REG,/cbb/schools/lipscomb/men/2012.html,Lipscomb,/cbb/conferences/atlantic-sun/men/2012.html,A-Sun,-4.70,W,81,64,9,3,W 4,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
12,/cbb/boxscores/2011-12-31-iowa-state.html,"Sat, Dec 31, 2011",REG,/cbb/schools/mississippi-valley-state/men/2012.html,Mississippi Valley State,/cbb/conferences/swac/men/2012.html,SWAC,-8.03,W,67,65,10,3,W 5,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
13,/cbb/boxscores/2012-01-04-iowa-state.html,"Wed, Jan 4, 2012",REG,/cbb/schools/texas/men/2012.html,Texas,/cbb/conferences/big-12/men/2012.html,Big 12,14.00,W,77,71,11,3,W 6,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
14,/cbb/boxscores/2012-01-07-texas-am.html,"Sat, Jan 7, 2012",REG,/cbb/schools/texas-am/men/2012.html,Texas A&M,/cbb/conferences/big-12/men/2012.html,Big 12,5.57,W,74,50,12,3,W 7,Reed Arena,/cbb/schools/iowa-state/men/2012.html,@
15,/cbb/boxscores/2012-01-11-iowa-state.html,"Wed, Jan 11, 2012",REG,/cbb/schools/missouri/men/2012.html,Missouri,/cbb/conferences/big-12/men/2012.html,Big 12,19.77,L,69,76,12,4,L 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
16,/cbb/boxscores/2012-01-14-kansas.html,"Sat, Jan 14, 2012",REG,/cbb/schools/kansas/men/2012.html,Kansas,/cbb/conferences/big-12/men/2012.html,Big 12,21.72,L,73,82,12,5,L 2,Allen Fieldhouse,/cbb/schools/iowa-state/men/2012.html,@
17,/cbb/boxscores/2012-01-18-iowa-state.html,"Wed, Jan 18, 2012",REG,/cbb/schools/oklahoma-state/men/2012.html,Oklahoma State,/cbb/conferences/big-12/men/2012.html,Big 12,7.02,W,71,68,13,5,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
18,/cbb/boxscores/2012-01-21-texas-tech.html,"Sat, Jan 21, 2012",REG,/cbb/schools/texas-tech/men/2012.html,Texas Tech,/cbb/conferences/big-12/men/2012.html,Big 12,-2.61,W,76,52,14,5,W 2,United Spirit Arena,/cbb/schools/iowa-state/men/2012.html,@
19,/cbb/boxscores/2012-01-24-texas.html,"Tue, Jan 24, 2012",REG,/cbb/schools/texas/men/2012.html,Texas,/cbb/conferences/big-12/men/2012.html,Big 12,14.00,L,55,62,14,6,L 1,Frank Erwin Center,/cbb/schools/iowa-state/men/2012.html,@
20,/cbb/boxscores/2012-01-28-iowa-state.html,"Sat, Jan 28, 2012",REG,/cbb/schools/kansas/men/2012.html,Kansas,/cbb/conferences/big-12/men/2012.html,Big 12,21.72,W,72,64,15,6,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
21,/cbb/boxscores/2012-01-31-iowa-state.html,"Tue, Jan 31, 2012",REG,/cbb/schools/kansas-state/men/2012.html,Kansas State,/cbb/conferences/big-12/men/2012.html,Big 12,14.47,W,72,70,16,6,W 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
22,/cbb/boxscores/2012-02-04-oklahoma.html,"Sat, Feb 4, 2012",REG,/cbb/schools/oklahoma/men/2012.html,Oklahoma,/cbb/conferences/big-12/men/2012.html,Big 12,7.28,W,77,70,17,6,W 3,Lloyd Noble Center,/cbb/schools/iowa-state/men/2012.html,@
23,/cbb/boxscores/2012-02-07-oklahoma-state.html,"Tue, Feb 7, 2012",REG,/cbb/schools/oklahoma-state/men/2012.html,Oklahoma State,/cbb/conferences/big-12/men/2012.html,Big 12,7.02,L,67,69,17,7,L 1,Gallagher-Iba Arena,/cbb/schools/iowa-state/men/2012.html,@
24,/cbb/boxscores/2012-02-11-iowa-state.html,"Sat, Feb 11, 2012",REG,/cbb/schools/texas-am/men/2012.html,Texas A&M,/cbb/conferences/big-12/men/2012.html,Big 12,5.57,W,69,46,18,7,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
25,/cbb/boxscores/2012-02-13-baylor.html,"Mon, Feb 13, 2012",REG,/cbb/schools/baylor/men/2012.html,Baylor,/cbb/conferences/big-12/men/2012.html,Big 12,16.54,L,64,79,18,8,L 1,Ferrell Center,/cbb/schools/iowa-state/men/2012.html,@
26,/cbb/boxscores/2012-02-18-iowa-state.html,"Sat, Feb 18, 2012",REG,/cbb/schools/oklahoma/men/2012.html,Oklahoma,/cbb/conferences/big-12/men/2012.html,Big 12,7.28,W,80,69,19,8,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
27,/cbb/boxscores/2012-02-22-iowa-state.html,"Wed, Feb 22, 2012",REG,/cbb/schools/texas-tech/men/2012.html,Texas Tech,/cbb/conferences/big-12/men/2012.html,Big 12,-2.61,W,72,54,20,8,W 2,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
28,/cbb/boxscores/2012-02-25-kansas-state.html,"Sat, Feb 25, 2012",REG,/cbb/schools/kansas-state/men/2012.html,Kansas State,/cbb/conferences/big-12/men/2012.html,Big 12,14.47,W,65,61,21,8,W 3,Bramlage Coliseum,/cbb/schools/iowa-state/men/2012.html,@
29,/cbb/boxscores/2012-02-29-missouri.html,"Wed, Feb 29, 2012",REG,/cbb/schools/missouri/men/2012.html,Missouri,/cbb/conferences/big-12/men/2012.html,Big 12,19.77,L,72,78,21,9,L 1,Mizzou Arena,/cbb/schools/iowa-state/men/2012.html,@
30,/cbb/boxscores/2012-03-03-iowa-state.html,"Sat, Mar 3, 2012",REG,/cbb/schools/baylor/men/2012.html,Baylor,/cbb/conferences/big-12/men/2012.html,Big 12,16.54,W,80,72,22,9,W 1,James H. Hilton Coliseum,/cbb/schools/iowa-state/men/2012.html,
31,/cbb/boxscores/2012-03-08-iowa-state.html,"Thu, Mar 8, 2012",CTOURN,/cbb/schools/texas/men/2012.html,Texas,/cbb/conferences/big-12/men/2012.html,Big 12,14.00,L,65,71,22,10,L 1,Sprint Center,/cbb/schools/iowa-state/men/2012.html,N
32,/cbb/boxscores/2012-03-15-connecticut.html,"Thu, Mar 15, 2012",NCAA,/cbb/schools/connecticut/men/2012.html,Connecticut,/cbb/conferences/big-east/men/2012.html,Big East,12.27,W,77,64,23,10,W 1,KFC Yum! Center,/cbb/schools/iowa-state/men/2012.html,N
33,/cbb/boxscores/2012-03-17-iowa-state.html,"Sat, Mar 17, 2012",NCAA,/cbb/schools/kentucky/men/2012.html,Kentucky,/cbb/conferences/sec/men/2012.html,SEC,24.73,L,71,87,23,11,L 1,KFC Yum! Center,/cbb/schools/iowa-state/men/2012.html,N
