,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-kansas.html,"Fri, Nov 11, 2011",REG,/cbb/schools/towson/men/2012.html,Towson,/cbb/conferences/colonial/men/2012.html,CAA,-16.71,W,100,54,1,0,W 1,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
1,/cbb/boxscores/2011-11-15-kansas.html,"Tue, Nov 15, 2011",REG,/cbb/schools/kentucky/men/2012.html,Kentucky,/cbb/conferences/sec/men/2012.html,SEC,24.73,L,65,75,1,1,L 1,Madison Square Garden (IV),/cbb/schools/kansas/men/2012.html,N,
2,/cbb/boxscores/2011-11-21-georgetown.html,"Mon, Nov 21, 2011",REG,/cbb/schools/georgetown/men/2012.html,Georgetown,/cbb/conferences/big-east/men/2012.html,Big East,16.81,W,67,63,2,1,W 1,Lahaina Civic Center,/cbb/schools/kansas/men/2012.html,N,
3,/cbb/boxscores/2011-11-22-kansas.html,"Tue, Nov 22, 2011",REG,/cbb/schools/ucla/men/2012.html,UCLA,/cbb/conferences/pac-12/men/2012.html,Pac-12,10.53,W,72,56,3,1,W 2,,/cbb/schools/kansas/men/2012.html,N,
4,/cbb/boxscores/2011-11-23-duke.html,"Wed, Nov 23, 2011",REG,/cbb/schools/duke/men/2012.html,Duke,/cbb/conferences/acc/men/2012.html,ACC,17.05,L,61,68,3,2,L 1,,/cbb/schools/kansas/men/2012.html,N,
5,/cbb/boxscores/2011-11-30-kansas.html,"Wed, Nov 30, 2011",REG,/cbb/schools/florida-atlantic/men/2012.html,Florida Atlantic,/cbb/conferences/sun-belt/men/2012.html,Sun Belt,-2.58,W,77,54,4,2,W 1,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
6,/cbb/boxscores/2011-12-03-kansas.html,"Sat, Dec 3, 2011",REG,/cbb/schools/south-florida/men/2012.html,South Florida,/cbb/conferences/big-east/men/2012.html,Big East,9.20,W,70,42,5,2,W 2,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
7,/cbb/boxscores/2011-12-06-kansas.html,"Tue, Dec 6, 2011",REG,/cbb/schools/long-beach-state/men/2012.html,Long Beach State,/cbb/conferences/big-west/men/2012.html,Big West,9.52,W,88,80,6,2,W 3,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
8,/cbb/boxscores/2011-12-10-kansas.html,"Sat, Dec 10, 2011",REG,/cbb/schools/ohio-state/men/2012.html,Ohio State,/cbb/conferences/big-ten/men/2012.html,Big Ten,23.95,W,78,67,7,2,W 4,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
9,/cbb/boxscores/2011-12-19-davidson.html,"Mon, Dec 19, 2011",REG,/cbb/schools/davidson/men/2012.html,Davidson,/cbb/conferences/southern/men/2012.html,Southern,7.26,L,74,80,7,3,L 1,Sprint Center,/cbb/schools/kansas/men/2012.html,N,
10,/cbb/boxscores/2011-12-22-southern-california.html,"Thu, Dec 22, 2011",REG,/cbb/schools/southern-california/men/2012.html,Southern California,/cbb/conferences/pac-12/men/2012.html,Pac-12,-0.51,W,63,47,8,3,W 1,Galen Center,/cbb/schools/kansas/men/2012.html,@,
11,/cbb/boxscores/2011-12-29-kansas.html,"Thu, Dec 29, 2011",REG,/cbb/schools/howard/men/2012.html,Howard,/cbb/conferences/meac/men/2012.html,MEAC,-14.59,W,89,34,9,3,W 2,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
12,/cbb/boxscores/2011-12-31-kansas.html,"Sat, Dec 31, 2011",REG,/cbb/schools/north-dakota/men/2012.html,North Dakota,/cbb/conferences/great-west/men/2012.html,GWC,-8.76,W,84,58,10,3,W 3,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
13,/cbb/boxscores/2012-01-04-kansas.html,"Wed, Jan 4, 2012",REG,/cbb/schools/kansas-state/men/2012.html,Kansas State,/cbb/conferences/big-12/men/2012.html,Big 12,14.47,W,67,49,11,3,W 4,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
14,/cbb/boxscores/2012-01-07-oklahoma.html,"Sat, Jan 7, 2012",REG,/cbb/schools/oklahoma/men/2012.html,Oklahoma,/cbb/conferences/big-12/men/2012.html,Big 12,7.28,W,72,61,12,3,W 5,Lloyd Noble Center,/cbb/schools/kansas/men/2012.html,@,
15,/cbb/boxscores/2012-01-11-texas-tech.html,"Wed, Jan 11, 2012",REG,/cbb/schools/texas-tech/men/2012.html,Texas Tech,/cbb/conferences/big-12/men/2012.html,Big 12,-2.61,W,81,46,13,3,W 6,United Spirit Arena,/cbb/schools/kansas/men/2012.html,@,
16,/cbb/boxscores/2012-01-14-kansas.html,"Sat, Jan 14, 2012",REG,/cbb/schools/iowa-state/men/2012.html,Iowa State,/cbb/conferences/big-12/men/2012.html,Big 12,13.32,W,82,73,14,3,W 7,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
17,/cbb/boxscores/2012-01-16-kansas.html,"Mon, Jan 16, 2012",REG,/cbb/schools/baylor/men/2012.html,Baylor,/cbb/conferences/big-12/men/2012.html,Big 12,16.54,W,92,74,15,3,W 8,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
18,/cbb/boxscores/2012-01-21-texas.html,"Sat, Jan 21, 2012",REG,/cbb/schools/texas/men/2012.html,Texas,/cbb/conferences/big-12/men/2012.html,Big 12,14.00,W,69,66,16,3,W 9,Frank Erwin Center,/cbb/schools/kansas/men/2012.html,@,
19,/cbb/boxscores/2012-01-23-kansas.html,"Mon, Jan 23, 2012",REG,/cbb/schools/texas-am/men/2012.html,Texas A&M,/cbb/conferences/big-12/men/2012.html,Big 12,5.57,W,64,54,17,3,W 10,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
20,/cbb/boxscores/2012-01-28-iowa-state.html,"Sat, Jan 28, 2012",REG,/cbb/schools/iowa-state/men/2012.html,Iowa State,/cbb/conferences/big-12/men/2012.html,Big 12,13.32,L,64,72,17,4,L 1,James H. Hilton Coliseum,/cbb/schools/kansas/men/2012.html,@,
21,/cbb/boxscores/2012-02-01-kansas.html,"Wed, Feb 1, 2012",REG,/cbb/schools/oklahoma/men/2012.html,Oklahoma,/cbb/conferences/big-12/men/2012.html,Big 12,7.28,W,84,62,18,4,W 1,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
22,/cbb/boxscores/2012-02-04-missouri.html,"Sat, Feb 4, 2012",REG,/cbb/schools/missouri/men/2012.html,Missouri,/cbb/conferences/big-12/men/2012.html,Big 12,19.77,L,71,74,18,5,L 1,Mizzou Arena,/cbb/schools/kansas/men/2012.html,@,
23,/cbb/boxscores/2012-02-08-baylor.html,"Wed, Feb 8, 2012",REG,/cbb/schools/baylor/men/2012.html,Baylor,/cbb/conferences/big-12/men/2012.html,Big 12,16.54,W,68,54,19,5,W 1,Ferrell Center,/cbb/schools/kansas/men/2012.html,@,
24,/cbb/boxscores/2012-02-11-kansas.html,"Sat, Feb 11, 2012",REG,/cbb/schools/oklahoma-state/men/2012.html,Oklahoma State,/cbb/conferences/big-12/men/2012.html,Big 12,7.02,W,81,66,20,5,W 2,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
25,/cbb/boxscores/2012-02-13-kansas-state.html,"Mon, Feb 13, 2012",REG,/cbb/schools/kansas-state/men/2012.html,Kansas State,/cbb/conferences/big-12/men/2012.html,Big 12,14.47,W,59,53,21,5,W 3,Bramlage Coliseum,/cbb/schools/kansas/men/2012.html,@,
26,/cbb/boxscores/2012-02-18-kansas.html,"Sat, Feb 18, 2012",REG,/cbb/schools/texas-tech/men/2012.html,Texas Tech,/cbb/conferences/big-12/men/2012.html,Big 12,-2.61,W,83,50,22,5,W 4,Allen Fieldhouse,/cbb/schools/kansas/men/2012.html,,
