,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-11-lamar.html,"Fri, Nov 11, 2011",REG,/cbb/schools/arkansas-state/men/2012.html,Arkansas State,/cbb/conferences/sun-belt/men/2012.html,Sun Belt,-3.18,W,65,62,1,0,W 1,Montagne Center,/cbb/schools/lamar/men/2012.html,,
1,/cbb/boxscores/2011-11-13-louisville.html,"Sun, Nov 13, 2011",REG,/cbb/schools/louisville/men/2012.html,Louisville,/cbb/conferences/big-east/men/2012.html,Big East,16.19,L,48,68,1,1,L 1,KFC Yum! Center,/cbb/schools/lamar/men/2012.html,@,
2,/cbb/boxscores/2011-11-15-ohio.html,"Tue, Nov 15, 2011",REG,/cbb/schools/ohio/men/2012.html,Ohio,/cbb/conferences/mac/men/2012.html,MAC,7.17,L,78,85,1,2,L 2,Convocation Center,/cbb/schools/lamar/men/2012.html,@,OT
3,/cbb/boxscores/2011-11-19-lamar.html,"Sat, Nov 19, 2011",REG,/cbb/schools/charlotte/men/2012.html,Charlotte,/cbb/conferences/atlantic-10/men/2012.html,A-10,0.99,W,72,54,2,2,W 1,Montagne Center,/cbb/schools/lamar/men/2012.html,,
4,/cbb/boxscores/2011-11-22-tennessee-martin.html,"Tue, Nov 22, 2011",REG,/cbb/schools/tennessee-martin/men/2012.html,Tennessee-Martin,/cbb/conferences/ovc/men/2012.html,OVC,-17.09,W,80,69,3,2,W 2,Skyhawk Arena,/cbb/schools/lamar/men/2012.html,@,
5,/cbb/boxscores/2011-11-25-tennessee-tech.html,"Fri, Nov 25, 2011",REG,/cbb/schools/tennessee-tech/men/2012.html,Tennessee Tech,/cbb/conferences/ovc/men/2012.html,OVC,-3.81,W,85,65,4,2,W 3,Eblen Center,/cbb/schools/lamar/men/2012.html,@,
6,/cbb/boxscores/2011-11-30-texas-christian.html,"Wed, Nov 30, 2011",REG,/cbb/schools/texas-christian/men/2012.html,TCU,/cbb/conferences/mwc/men/2012.html,MWC,1.72,L,72,77,4,3,L 1,Daniel-Meyer Coliseum,/cbb/schools/lamar/men/2012.html,@,
7,/cbb/boxscores/2011-12-03-lamar.html,"Sat, Dec 3, 2011",REG,/cbb/schools/louisiana-lafayette/men/2012.html,Louisiana,/cbb/conferences/sun-belt/men/2012.html,Sun Belt,-3.25,W,80,63,5,3,W 1,Montagne Center,/cbb/schools/lamar/men/2012.html,,
8,/cbb/boxscores/2011-12-05-lamar.html,"Mon, Dec 5, 2011",REG,/cbb/schools/texas-pan-american/men/2012.html,Texas-Rio Grande Valley,/cbb/conferences/great-west/men/2012.html,GWC,-13.66,W,60,49,6,3,W 2,Montagne Center,/cbb/schools/lamar/men/2012.html,,
9,/cbb/boxscores/2011-12-14-lamar.html,"Wed, Dec 14, 2011",REG,,Huston-Tillotson,,,,W,88,59,7,3,W 3,Montagne Center,/cbb/schools/lamar/men/2012.html,,
10,/cbb/boxscores/2011-12-17-rice.html,"Sat, Dec 17, 2011",REG,/cbb/schools/rice/men/2012.html,Rice,/cbb/conferences/cusa/men/2012.html,CUSA,1.42,W,87,81,8,3,W 4,Tudor Fieldhouse,/cbb/schools/lamar/men/2012.html,@,
11,/cbb/boxscores/2011-12-20-ohio-state.html,"Tue, Dec 20, 2011",REG,/cbb/schools/ohio-state/men/2012.html,Ohio State,/cbb/conferences/big-ten/men/2012.html,Big Ten,23.95,L,50,70,8,4,L 1,Value City Arena,/cbb/schools/lamar/men/2012.html,@,
12,/cbb/boxscores/2011-12-28-kentucky.html,"Wed, Dec 28, 2011",REG,/cbb/schools/kentucky/men/2012.html,Kentucky,/cbb/conferences/sec/men/2012.html,SEC,24.73,L,64,86,8,5,L 2,Rupp Arena,/cbb/schools/lamar/men/2012.html,@,
13,/cbb/boxscores/2011-12-31-lamar.html,"Sat, Dec 31, 2011",REG,,Lyon,,,,W,102,58,9,5,W 1,Montagne Center,/cbb/schools/lamar/men/2012.html,,
14,/cbb/boxscores/2012-01-04-texas-am-corpus-christi.html,"Wed, Jan 4, 2012",REG,/cbb/schools/texas-am-corpus-christi/men/2012.html,Texas A&M-Corpus Christi,/cbb/conferences/southland/men/2012.html,Southland,-12.21,W,74,58,10,5,W 2,American Bank Center,/cbb/schools/lamar/men/2012.html,@,
15,/cbb/boxscores/2012-01-07-lamar.html,"Sat, Jan 7, 2012",REG,/cbb/schools/central-arkansas/men/2012.html,Central Arkansas,/cbb/conferences/southland/men/2012.html,Southland,-17.26,W,103,67,11,5,W 3,Montagne Center,/cbb/schools/lamar/men/2012.html,,
16,/cbb/boxscores/2012-01-11-mcneese-state.html,"Wed, Jan 11, 2012",REG,/cbb/schools/mcneese-state/men/2012.html,McNeese State,/cbb/conferences/southland/men/2012.html,Southland,-6.26,L,54,57,11,6,L 1,Burton Coliseum,/cbb/schools/lamar/men/2012.html,@,
17,/cbb/boxscores/2012-01-14-lamar.html,"Sat, Jan 14, 2012",REG,/cbb/schools/texas-arlington/men/2012.html,UT Arlington,/cbb/conferences/southland/men/2012.html,Southland,3.35,L,82,91,11,7,L 2,Montagne Center,/cbb/schools/lamar/men/2012.html,,
