,boxScorelink,date,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,overtimes
0,/cbb/boxscores/2011-11-12-long-beach-state.html,"Sat, Nov 12, 2011",REG,/cbb/schools/idaho/men/2012.html,Idaho,/cbb/conferences/wac/men/2012.html,WAC,0.77,W,69,61,1,0,W 1,The Walter Pyramid,/cbb/schools/long-beach-state/men/2012.html,,
1,/cbb/boxscores/2011-11-16-pittsburgh.html,"Wed, Nov 16, 2011",REG,/cbb/schools/pittsburgh/men/2012.html,Pittsburgh,/cbb/conferences/big-east/men/2012.html,Big East,9.43,W,86,76,2,0,W 2,Petersen Events Center,/cbb/schools/long-beach-state/men/2012.html,@,
2,/cbb/boxscores/2011-11-19-san-diego-state.html,"Sat, Nov 19, 2011",REG,/cbb/schools/san-diego-state/men/2012.html,San Diego State,/cbb/conferences/mwc/men/2012.html,MWC,9.04,L,73,77,2,1,L 1,Viejas Arena,/cbb/schools/long-beach-state/men/2012.html,@,OT
3,/cbb/boxscores/2011-11-22-long-beach-state.html,"Tue, Nov 22, 2011",REG,/cbb/schools/boise-state/men/2012.html,Boise State,/cbb/conferences/mwc/men/2012.html,MWC,3.52,W,72,62,3,1,W 1,The Walter Pyramid,/cbb/schools/long-beach-state/men/2012.html,,
4,/cbb/boxscores/2011-11-26-montana.html,"Sat, Nov 26, 2011",REG,/cbb/schools/montana/men/2012.html,Montana,/cbb/conferences/big-sky/men/2012.html,Big Sky,4.55,L,71,73,3,2,L 1,Dahlberg Arena,/cbb/schools/long-beach-state/men/2012.html,@,
5,/cbb/boxscores/2011-11-28-louisville.html,"Mon, Nov 28, 2011",REG,/cbb/schools/louisville/men/2012.html,Louisville,/cbb/conferences/big-east/men/2012.html,Big East,16.19,L,66,79,3,3,L 2,KFC Yum! Center,/cbb/schools/long-beach-state/men/2012.html,@,
6,/cbb/boxscores/2011-12-02-long-beach-state.html,"Fri, Dec 2, 2011",REG,,Brigham Young-Hawaii,,,,W,79,43,4,3,W 1,The Walter Pyramid,/cbb/schools/long-beach-state/men/2012.html,,
7,/cbb/boxscores/2011-12-06-kansas.html,"Tue, Dec 6, 2011",REG,/cbb/schools/kansas/men/2012.html,Kansas,/cbb/conferences/big-12/men/2012.html,Big 12,21.72,L,80,88,4,4,L 1,Allen Fieldhouse,/cbb/schools/long-beach-state/men/2012.html,@,
8,/cbb/boxscores/2011-12-10-north-carolina.html,"Sat, Dec 10, 2011",REG,/cbb/schools/north-carolina/men/2012.html,North Carolina,/cbb/conferences/acc/men/2012.html,ACC,21.34,L,78,84,4,5,L 2,Dean Smith Center,/cbb/schools/long-beach-state/men/2012.html,@,
9,/cbb/boxscores/2011-12-19-long-beach-state.html,"Mon, Dec 19, 2011",REG,,Eastern New Mexico,,,,W,76,54,5,5,W 1,The Walter Pyramid,/cbb/schools/long-beach-state/men/2012.html,,
