,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,confLink,srs,game_location,overtimes
0,/cbb/boxscores/2011-11-11-michigan.html,"Fri, Nov 11, 2011",REG,Ferris State,,W,59,33,1,0,W 1,Crisler Center,/cbb/schools/michigan/men/2012.html,,,,,
1,/cbb/boxscores/2011-11-14-michigan.html,"Mon, Nov 14, 2011",REG,Towson,CAA,W,64,47,2,0,W 2,Crisler Center,/cbb/schools/michigan/men/2012.html,/cbb/schools/towson/men/2012.html,/cbb/conferences/colonial/men/2012.html,-16.71,,
2,/cbb/boxscores/2011-11-17-michigan.html,"Thu, Nov 17, 2011",REG,Western Illinois,Summit,W,59,55,3,0,W 3,Crisler Center,/cbb/schools/michigan/men/2012.html,/cbb/schools/western-illinois/men/2012.html,/cbb/conferences/summit/men/2012.html,-2.84,,
3,/cbb/boxscores/2011-11-21-memphis.html,"Mon, Nov 21, 2011",REG,Memphis,CUSA,W,73,61,4,0,W 4,Lahaina Civic Center,/cbb/schools/michigan/men/2012.html,/cbb/schools/memphis/men/2012.html,/cbb/conferences/cusa/men/2012.html,16.86,N,
4,/cbb/boxscores/2011-11-22-duke.html,"Tue, Nov 22, 2011",REG,Duke,ACC,L,75,82,4,1,L 1,,/cbb/schools/michigan/men/2012.html,/cbb/schools/duke/men/2012.html,/cbb/conferences/acc/men/2012.html,17.05,N,
5,/cbb/boxscores/2011-11-23-michigan.html,"Wed, Nov 23, 2011",REG,UCLA,Pac-12,W,79,63,5,1,W 1,,/cbb/schools/michigan/men/2012.html,/cbb/schools/ucla/men/2012.html,/cbb/conferences/pac-12/men/2012.html,10.53,N,
6,/cbb/boxscores/2011-11-29-virginia.html,"Tue, Nov 29, 2011",REG,Virginia,ACC,L,58,70,5,2,L 1,John Paul Jones Arena,/cbb/schools/michigan/men/2012.html,/cbb/schools/virginia/men/2012.html,/cbb/conferences/acc/men/2012.html,12.51,@,
7,/cbb/boxscores/2011-12-03-michigan.html,"Sat, Dec 3, 2011",REG,Iowa State,Big 12,W,76,66,6,2,W 1,Crisler Center,/cbb/schools/michigan/men/2012.html,/cbb/schools/iowa-state/men/2012.html,/cbb/conferences/big-12/men/2012.html,13.32,,
8,/cbb/boxscores/2011-12-10-michigan.html,"Sat, Dec 10, 2011",REG,Oakland,Summit,W,90,80,7,2,W 2,,/cbb/schools/michigan/men/2012.html,/cbb/schools/oakland/men/2012.html,/cbb/conferences/summit/men/2012.html,0.29,N,
9,/cbb/boxscores/2011-12-13-michigan.html,"Tue, Dec 13, 2011",REG,Arkansas-Pine Bluff,SWAC,W,63,50,8,2,W 3,Crisler Center,/cbb/schools/michigan/men/2012.html,/cbb/schools/arkansas-pine-bluff/men/2012.html,/cbb/conferences/swac/men/2012.html,-16.77,,
